acid,NSC.491493,
PI398285,3,8
PI398286,2,8
PI398287,2,8
PI398288,4,8
PI398292,4,8
PI398301,4,8
PI398302,3,8
PI398304,2,8
PI398307,4,8
PI398308,1,8
PI398309,2,8
PI398316,4,8
PI398323,2,8
PI398324,1,8
PI398328,4,8
PI398330,1,8
PI398331,1,8
PI398332,5,8
PI398333,2,8
PI398335,3,8
PI398336,1,8
PI398337,2,8
PI398338,1,8
PI398339,3,8
PI398340,2,8
PI398341,2,8
PI398343,3,8
PI398344,3,8
PI398345,3,8
PI398346,2,8
PI398347,1,8
PI398348,1,8
PI398351,3,8
PI398352,1,8
PI398353,1,8
PI398354,2,8
PI398361,1,8
PI398362,1,8
PI398363,1,8
PI398364,1,8
PI398365,2,8
PI398369,1,8
PI398370,2,8
PI398372,4,8
PI398373,1,8
PI398377,1,8
PI398378,1,8
PI398387,1,8
PI398390,1,8
PI398391,5,8
PI398393,3,8
PI398399,1,8
PI398400,2,8
PI398402,1,8
PI398403,3,8
PI398407,1,8
PI398409,1,8
PI398411,2,8
PI398413,1,8
PI398418,1,8
PI398422,1,8
PI398423,3,8
PI398424,2,8
PI398427,1,8
PI398428,4,8
PI398432,3,8
PI398433,3,8
PI398434,1,8
PI398436,3,8
PI398437,3,8
PI398438,3,8
PI398445,1,8
PI398447,3,8
PI398448,3,8
PI398449,2,8
PI398452,2,8
PI398453,2,8
PI398454,3,8
PI398455,2,8
PI398456,3,8
PI398457,1,8
PI398458,4,8
PI398459,2,8
PI398460,1,8
PI398461,1,8
PI398462,2,8
PI398465,4,8
PI398466,1,8
PI398467,2,8
PI398468,2,8
PI398469,1,8
PI398471,4,8
PI398473,5,8
PI398474,1,8
PI398476,1,8
PI398477,1,8
PI398478,1,8
PI398479,1,8
PI398480,4,8
PI398481,1,8
PI398483,1,8
PI398485,2,8
PI398487,3,8
PI398488,2,8
PI398496,1,8
PI398497,1,8
PI398498,2,8
PI398500,4,8
PI398502,3,8
PI398506,3,8
PI398507,2,8
PI398508,1,8
PI398509,2,8
PI398510,5,8
PI398511,5,8
PI398512,1,8
PI398513,2,8
PI398515,1,8
PI398517,1,8
PI398518,2,8
PI398520,3,8
PI398521,2,8
PI398524,5,8
PI398525,4,8
PI398526,2,8
PI398527,3,8
PI398528,4,8
PI398530,4,8
PI398533,3,8
PI398534,2,8
PI398535,4,8
PI398536,2,8
PI398538,4,8
PI398539,5,8
PI398541,4,8
PI398542,4,8
PI398543,2,8
PI398544,2,8
PI398545,1,8
PI398546,4,8
PI398547,1,8
PI398548,4,8
PI398550,1,8
PI398552,5,8
PI398553,4,8
PI398554,5,8
PI398555,3,8
PI398556,2,8
PI398557,1,8
PI398560,4,8
PI398561,1,8
PI398562,4,8
PI398563,1,8
PI398564,4,8
PI398567,3,8
PI398568,4,8
PI398569,4,8
PI398570,2,8
PI398571,1,8
PI398573,4,8
PI398574,5,8
PI398576,5,8
PI398577,4,8
PI398578,1,8
PI398579,5,8
PI398580,1,8
PI398581,1,8
PI398582,1,8
PI398583,2,8
PI398584,5,8
PI398585,1,8
PI398586,1,8
PI398587,1,8
PI398589,4,8
PI398590,4,8
PI398591,3,8
PI398592,5,8
PI398593,5,8
PI398594,5,8
PI398595,5,8
PI398596,4,8
PI398597,3,8
PI398602,5,8
PI398603,4,8
PI398605,3,8
PI398606,5,8
PI398607,5,8
PI398608,5,8
PI398610,5,8
PI398611,4,8
PI398613,5,8
PI398614,2,8
PI398616,1,8
PI398618,1,8
PI398622,3,8
PI398623,4,8
PI398627,4,8
PI398629,5,8
PI398630,2,8
PI398632,4,8
PI398633,4,8
PI398635,1,8
PI398646,5,8
PI398647,5,8
PI398648,5,8
PI398649,4,8
PI398650,2,8
PI398651,2,8
PI398653,4,8
PI398658,1,8
PI398659,1,8
PI398660,1,8
PI398661,1,8
PI398662,1,8
PI398663,2,8
PI398665,1,8
PI398668,2,8
PI398670,5,8
PI398671,2,8
PI398673,3,8
PI398675,5,8
PI398676,1,8
PI398677,1,8
PI398718,4,8
PI398719,4,8
PI398721,1,8
PI398724,1,8
PI398731,1,8
PI398732,5,8
PI398734,5,8
PI398736,4,8
PI398742,1,8
PI398769,4,8
PI398771,5,8
PI398781,5,8
PI398789,1,8
PI398794,1,8
PI398817,5,8
PI398824,1,8
PI398826,1,8
PI398827,1,8
PI398850,1,8
PI398853,5,8
PI398896,1,8
PI398925,1,8
PI398945,1,8
PI398950,1,8
PI398952,1,8
PI398956,1,8
PI398966,5,8
PI398967,1,8
PI398973,1,8
PI398978,5,8
PI398983,5,8
PI398998,1,8
PI398999,1,8
PI399041,1,8
PI399047,1,8
PI399048,1,8
PI399049,1,8
PI399053,1,8
PI399061,5,8
PI399087,5,8
PI399088,5,8
PI399090,5,8
PI399102,1,8
PI399104,1,8
PI407738,1,8
PI407743,1,8
PI407744,1,8
PI407771,1,8
PI407945,1,8
PI407964,5,8
PI407967,5,8
PI407969,1,8
PI407997,5,8
PI408007,5,8
PI408043,1,8
PI408044,1,8
PI408051,1,8
PI408061,1,8
PI408085,1,8
PI408101,1,8
PI408240,1,8
PI408241,1,8
PI408253,1,8
PI408254,4,8
PI408257,4,8
PI408266,1,8
PI408340,1,8
PI408342,1,8
PI416754,1,8
PI416760,1,8
PI416766,1,8
PI416767,4,8
PI416770,1,8
PI416775,1,8
PI416778,2,8
PI416781,1,8
PI416787,1,8
PI416790,1,8
PI416794,1,8
PI416796,5,8
PI416798,1,8
PI416809,1,8
PI416810,1,8
PI416812,1,8
PI416813,1,8
PI416824,5,8
PI416828,1,8
PI416848,4,8
PI416867,1,8
PI416876,5,8
PI416883,1,8
PI416885,1,8
PI416893,1,8
PI416895,1,8
PI416900,1,8
PI416903,4,8
PI416907,5,8
PI416912,1,8
PI416922,5,8
PI416924,1,8
PI416925,4,8
PI416928,1,8
PI416932,1,8
PI416937,1,8
PI416947,1,8
PI416948,1,8
PI416951,1,8
PI416955,1,8
PI416969,1,8
PI416980,1,8
PI417008,1,8
PI417011,3,8
PI417025,1,8
PI417038,5,8
PI417047,1,8
PI417063,1,8
PI417083,1,8
PI417085,1,8
PI417097,1,8
PI417109,1,8
PI417110,1,8
PI417111,1,8
PI417112,5,8
PI417113,4,8
PI417114,1,8
PI417115,1,8
PI417116,4,8
PI417118,1,8
PI417122,1,8
PI417127,1,8
PI417128,1,8
PI417132,1,8
PI417133,1,8
PI417153,1,8
PI417164,1,8
PI417181,1,8
PI417188,1,8
PI417189,5,8
PI417194,3,8
PI417197,1,8
PI417203,1,8
PI417204,1,8
PI417206,1,8
PI417212,1,8
PI417216,1,8
PI417220,2,8
PI417221,1,8
PI417222,1,8
PI417270,1,8
PI417311,1,8
PI417318,5,8
PI417319,4,8
PI417320,1,8
PI417375,1,8
PI417376,2,8
PI417406,1,8
PI417407,1,8
PI417408,5,8
PI417409,1,8
PI417410,1,8
PI417416,1,8
PI417422,1,8
PI417427,2,8
PI417439,1,8
PI417442,4,8
PI417443,1,8
PI417444,1,8
PI417469,4,8
PI417473,2,8
PI417490,1,8
PI417496,1,8
PI417497,1,8
PI417503,1,8
PI417561,1,8
PI417562,1,8
PI417563,1,8
PI423755,2,8
PI423780,3,8
PI423821,1,8
PI423822,1,8
PI423831,1,8
PI423849,5,8
PI423852,1,8
PI423853,1,8
PI423859,1,8
PI423861,4,8
PI423878,1,8
PI423879,1,8
PI423895,3,8
PI423898,2,8
PI423900,1,8
PI423905,1,8
PI423906,1,8
PI423907,4,8
PI423911,1,8
PI423918,1,8
PI423920,1,8
PI423921,4,8
PI423923,1,8
PI423925,2,8
PI423931,2,8
PI423964,1,8
PI423965,3,8
PI423969,1,8
PI423978,1,8
PI423986,3,8
PI424131,5,8
PI424139,3,8
PI424142,1,8
PI424145,5,8
PI424146,4,8
PI424147,3,8
PI424161,1,8
PI424163,1,8
PI424174,4,8
PI424185,4,8
PI424304,1,8
PI424360,1,8
PI424361,1,8
PI424371,3,8
PI424375,4,8
PI424391,1,8
PI424416,1,8
PI424433,2,8
PI424434,4,8
PI424437,1,8
PI424438,1,8
PI424442,3,8
PI424447,1,8
PI424453,1,8
PI424456,3,8
PI424461,3,8
PI424464,2,8
PI424473,1,8
PI424475,1,8
PI424478,5,8
PI424501,1,8
PI424502,1,8
PI424534,5,8
PI424591,1,8
PI424594,1,8
PI424595,1,8
PI429329,1,8
PI434974,1,8
PI434976,1,8
PI436567,1,8
PI437667,1,8
PI437708,1,8
PI437726,4,8
PI437730,1,8
PI438280,1,8
PI438284,1,8
PI438342,1,8
PI438347,5,8
PI438426,5,8
PI438430,4,8
PI438431,3,8
PI438438,1,8
PI438439,1,8
PI441358,1,8
PI442014,4,8
PI442020,4,8
PI445683,1,8
PI458122,3,8
PI458155,1,8
PI458187,1,8
PI458198,1,8
PI458206,1,8
PI458210,1,8
PI458211,1,8
PI458212,1,8
PI458213,1,8
PI458218,1,8
PI458220,1,8
PI458228,1,8
PI458241,1,8
PI458242,1,8
PI458243,2,8
PI458251,1,8
PI458257,1,8
PI458261,1,8
PI464932,1,8
PI468964,1,8
PI468966,1,8
PI468969,1,8
PI468970,5,8
PI468971,5,8
PI468972,1,8
PI468973,1,8
PI471901,1,8
PI471903,5,8
PI471925,1,8
PI471926,1,8
PI471927,1,8
PI471928,1,8
PI471930,1,8
PI471940,1,8
PI476878,1,8
PI476882,1,8
PI476885,1,8
PI476897,5,8
PI476900,1,8
PI476904,5,8
PI476907,1,8
PI476916,1,8
PI476918,1,8
PI476923,1,8
PI476925,1,8
PI476926,5,8
PI476927,1,8
PI476928,1,8
PI476930,1,8
PI476934,1,8
PI481679,1,8
PI481686,1,8
PI481690,1,8
PI483251,1,8
PI486335,1,8
PI494181,5,8
PI494851,5,8
PI548402,1,8
PI548422,1,8
PI548438,1,8
PI548439,1,8
PI548441,4,8
PI548442,1,8
PI548445,1,8
PI548446,1,8
PI548448,1,8
PI548449,1,8
PI548450,1,8
PI548452,1,8
PI548453,1,8
PI548454,5,8
PI548455,1,8
PI548456,1,8
PI548457,1,8
PI548458,3,8
PI548459,1,8
PI548460,4,8
PI548463,1,8
PI548465,2,8
PI548466,3,8
PI548467,1,8
PI548469,1,8
PI548471,1,8
PI548472,1,8
PI548473,1,8
PI548475,1,8
PI548477,1,8
PI548478,1,8
PI548480,1,8
PI548481,1,8
PI548482,1,8
PI548483,1,8
PI548484,1,8
PI548485,2,8
PI548486,1,8
PI548487,1,8
PI548488,2,8
PI548490,2,8
PI548491,5,8
PI548492,2,8
PI548493,1,8
PI548494,2,8
PI548496,1,8
PI548653,1,8
PI548654,1,8
PI548655,3,8
PI548656,1,8
PI548657,1,8
PI548659,1,8
PI548660,5,8
PI548661,5,8
PI548662,5,8
PI548698,1,8
PI081780S,4,9
PI082184S,2,9
PI084632S,1,9
PI085666S,2,9
PI086045S,3,9
PI086113S,4,9
PI088816S,1,9
PI089154S,1,9
PI091159S,4,9
PI093055S,5,9
PI103419A,1,9
PI123577A,5,9
PI157487A,1,9
PI159923A,1,9
PI339863A,1,9
PI339863B,1,9
PI339864B,1,9
PI340021B,4,9
PI340031B,1,9
PI408092C,5,9
PI408109B,4,9
PI408169C,1,9
PI408184B,1,9
PI408191B,1,9
PI408259B,1,9
PI408265C,5,9
PI408296B,1,9
PI408318B,1,9
PI423736B,1,9
PI423930B,1,9
PI424156B,4,9
PI424157A,1,9
PI424157B,3,9
PI424164B,2,9
PI424172B,3,9
PI424172C,1,9
PI424178C,1,9
PI424182B,2,9
PI424182C,4,9
PI430600C,1,9
