acid,PYU,
PI068680-2,5,10
PI068692-2,5,10
PI068732-1,5,10
PI068748-1,5,10
PI068761-3,5,10
PI069507-1,5,10
PI070466-3,5,10
PI070466-4,5,10
PI070469-1,5,10
PI070473-1,5,10
PI071850-1,5,10
PI079691-4,5,10
PI079732-4,5,10
PI079825-1,5,10
PI079848-1,5,10
PI079862-1,5,10
PI079870-1,5,10
PI079870-2,5,10
PI079870-4,5,10
PI079870-6,5,10
PI079874-1,5,10
PI080466-1,5,10
PI080466-2,5,10
PI080471-1,5,10
PI080488-1,5,10
PI080498-1,5,10
PI080828-1,5,10
PI080828-2,5,10
PI080834-1,1,10
PI080834-2,5,10
PI080844-2,5,10
PI080844-3,5,10
PI080845-1,5,10
PI080845-2,5,10
PI080847-2,5,10
PI081029-1,5,10
PI081030-1,5,10
PI081031-1,5,10
PI081031-2,5,10
PI081034-1,1,10
PI081034-2,1,10
PI081037-1,5,10
PI081037-2,5,10
PI081037-3,5,10
PI081037-4,5,10
PI081037-5,5,10
PI081041-1,5,10
PI081042-1,5,10
PI081042-2,5,10
PI081044-1,5,10
PI082263-2,5,10
PI082263-3,1,10
PI083945-1,1,10
PI083945-3,5,10
PI083945-4,5,10
PI084646-2,5,10
PI084666-1,5,10
PI084668-1,5,10
PI084673-1,5,10
PI084908-1,5,10
PI084908-2,5,10
PI084946-1,5,10
PI084946-2,5,10
PI084957-1,5,10
PI084976-1,5,10
PI085009-1,5,10
PI085009-2,5,10
PI085420-1,5,10
PI086026-1,5,10
PI086078-1,1,10
PI086091-1,5,10
PI086112-1,5,10
PI086134-1,5,10
PI086134-2,5,10
PI086134-3,5,10
PI086134-4,5,10
PI086137-1,5,10
PI086449-2,1,10
PI086457-1,1,10
PI086482-1,5,10
PI086490-2,5,10
PI086490-3,5,10
PI086490-4,5,10
PI086878-2,5,10
PI086903-3,5,10
PI086903-4,5,10
PI086904-1,5,10
PI086972-1,5,10
PI086972-2,5,10
PI087465-1,5,10
PI087465-2,5,10
PI087600-1,5,10
PI087600-2,5,10
PI087619-1,5,10
PI087620-1,5,10
PI087631-1,5,10
PI087631-3,5,10
PI088294-1,5,10
PI088295-1,5,10
PI088302-1,5,10
PI088302-2,1,10
PI088306-1,5,10
PI088466-1,5,10
PI088490-1,5,10
PI088490-2,5,10
PI088803-1,1,10
PI088805-2,5,10
PI088805-4,5,10
PI088998-2,5,10
PI089002-2,5,10
PI089003-1,5,10
PI089003-2,5,10
PI089005-5,5,10
PI089006-2,5,10
PI089012-1,5,10
PI089055-1,5,10
PI089056-2,5,10
PI089056-3,5,10
PI089061-1,5,10
PI089061-2,5,10
PI089061-3,5,10
PI089065-2,5,10
PI089154-1,5,10
PI089154-2,5,10
PI090406-1,5,10
PI090479-1,1,10
PI090490-2,5,10
PI090499-1,5,10
PI090499-2,5,10
PI090566-1,1,10
PI090567-1,1,10
PI090576-1,5,10
PI090576-2,5,10
PI091100-3,5,10
PI091100-4,1,10
PI091108-2,1,10
PI091110-1,5,10
PI091120-2,5,10
PI091121-1,5,10
PI091121-2,5,10
PI091132-2,5,10
PI091132-3,5,10
PI091725-3,5,10
PI091732-1,5,10
PI091732-2,5,10
