acid,PYU.11002,
PI181541,5,8
PI181548,5,8
PI181570,5,8
PI184042,5,8
PI184043,5,8
PI184044,5,8
PI184045,5,8
PI184046,5,8
PI189863,5,8
PI189864,5,8
PI189881,5,8
PI189888,5,8
PI189890,5,8
PI189892,5,8
PI189896,5,8
PI189907,5,8
PI189911,5,8
PI189915,5,8
PI189916,5,8
PI189917,5,8
PI189918,5,8
PI189919,5,8
PI189921,5,8
PI189922,5,8
PI189924,5,8
PI189925,5,8
PI189929,5,8
PI189930,5,8
PI189931,5,8
PI189941,5,8
PI189945,5,8
PI189946,5,8
PI189947,5,8
PI189958,5,8
PI189962,5,8
PI189966,5,8
PI189967,5,8
PI189968,5,8
PI196150,5,8
PI196151,5,8
PI196154,5,8
PI196158,5,8
PI196159,5,8
PI196160,5,8
PI196161,5,8
PI196163,5,8
PI196325,5,8
PI200479,5,8
PI200482,5,8
PI200508,5,8
PI200552,5,8
PI200592,5,8
PI200593,5,8
PI200594,5,8
PI200596,5,8
PI204653,5,8
PI205085,5,8
PI205092,5,8
PI227213,5,8
PI227321,5,8
PI227322,5,8
PI227324,5,8
PI227325,5,8
PI227329,5,8
PI227331,5,8
PI227333,5,8
PI227334,5,8
PI227558,5,8
PI227684,5,8
PI229322,1,8
PI229328,5,8
PI229331,5,8
PI229354,5,8
PI232987,5,8
PI232988,5,8
PI232989,5,8
PI232990,5,8
PI232991,5,8
PI232993,5,8
PI238922,5,8
PI238930,1,8
PI248396,5,8
PI248397,5,8
PI248398,1,8
PI248400,5,8
PI248406,5,8
PI248407,5,8
PI248409,5,8
PI248410,5,8
PI250844,5,8
PI251585,5,8
PI251586,5,8
PI261472,1,8
PI261474,1,8
PI068609B,5,9
PI081029N,5,9
PI084683A,5,9
PI088293A,5,9
PI248509A,5,9
PI253650A,5,9
PI253650B,5,9
PI253652C,5,9
PI253652D,5,9
PI253653C,5,9
PI253653D,5,9
PI253658A,5,9
PI253658B,5,9
PI253658C,5,9
PI266085A,5,9
PI266085C,5,9
PI266806A,5,9
PI266806B,5,9
PI266807A,5,9
PI266807B,5,9
PI266807C,5,9
PI054608-1,5,10
PI060296-1,5,10
PI068457-1,5,10
PI068461-1,5,10
PI068465-1,5,10
PI068474-2,5,10
PI068475-1,5,10
PI068484-1,5,10
PI068484-4,5,10
PI068551-2,5,10
PI068551-3,5,10
PI068604-2,5,10
PI068670-1,5,10
PI068670-2,5,10
PI068680-2,5,10
PI070473-1,5,10
PI079862-1,5,10
PI079870-1,5,10
PI080488-1,5,10
PI081037-4,5,10
PI082263-2,5,10
PI082263-3,1,10
PI083945-3,5,10
PI084666-1,5,10
PI084668-1,5,10
PI084673-1,5,10
PI086137-1,5,10
PI086878-2,5,10
PI086972-1,5,10
PI087619-1,5,10
PI088294-1,5,10
PI088295-1,5,10
PI088805-2,5,10
PI088805-4,5,10
PI089003-1,5,10
PI089005-5,5,10
PI089006-2,5,10
PI089055-1,5,10
PI089056-3,5,10
PI089061-1,5,10
PI089065-2,5,10
PI089154-1,5,10
PI091110-1,5,10
PI091120-2,5,10
PI091132-2,5,10
PI091725-3,5,10
PI091732-1,5,10
PI091732-2,5,10
