acid,PRR1.11003,
PI086138,5,8
PI086144,5,8
PI086145,5,8
PI086150,1,8
PI086153,5,8
PI086301,5,8
PI086425,1,8
PI086445,5,8
PI086449,5,8
PI086452,1,8
PI086456,5,8
PI086457,5,8
PI086469,5,8
PI086482,5,8
PI086502,5,8
PI086504,5,8
PI086510,5,8
PI086740,1,8
PI086876,1,8
PI086908,5,8
PI087005,1,8
PI087011,1,8
PI087013,5,8
PI087026,5,8
PI087047,1,8
PI087059,5,8
PI087074,1,8
PI087165,5,8
PI087167,5,8
PI087457,5,8
PI087525,1,8
PI087530,5,8
PI087540,5,8
PI087561,1,8
PI087571,1,8
PI087574,5,8
PI087575,5,8
PI087588,5,8
PI087606,5,8
PI087614,5,8
PI087615,5,8
PI087617,1,8
PI087618,5,8
PI087619,1,8
PI087620,1,8
PI087622,1,8
PI087623,5,8
PI087629,1,8
PI087630,1,8
PI087632,5,8
PI087634,5,8
PI088282,5,8
PI088287,5,8
PI088289,5,8
PI088290,5,8
PI088291,5,8
PI088292,5,8
PI088297,5,8
PI088300,5,8
PI088305,5,8
PI088306,5,8
PI088310,5,8
PI088312,5,8
PI088349,5,8
PI088350,5,8
PI088353,5,8
PI088354,5,8
PI088359,5,8
PI088444,1,8
PI088445,5,8
PI088447,5,8
PI088448,5,8
PI088452,5,8
PI088458,5,8
PI088459,5,8
PI088466,5,8
PI088486,5,8
PI088491,5,8
PI088492,5,8
PI088499,5,8
PI088502,5,8
PI088780,1,8
PI088782,5,8
PI088783,5,8
PI088788,5,8
PI088789,5,8
PI088790,5,8
PI088793,5,8
PI088799,5,8
PI088806,5,8
PI088809,5,8
PI088811,1,8
PI088813,5,8
PI088814,5,8
PI088815,1,8
PI088816,1,8
PI088818,5,8
PI088823,5,8
PI088826,1,8
PI088965,5,8
PI089002,5,8
PI089006,5,8
PI089007,5,8
PI089009,5,8
PI089010,5,8
PI089066,5,8
PI089067,5,8
PI089074,5,8
PI089117,5,8
PI089128,5,8
PI089130,5,8
PI089133,5,8
PI089134,1,8
PI089143,5,8
PI089146,5,8
PI089150,1,8
PI089152,5,8
PI089162,5,8
PI089168,5,8
PI089471,5,8
PI089769,1,8
PI089772,5,8
PI089773,5,8
PI089783,5,8
PI089784,5,8
PI090138,1,8
PI090208,1,8
PI090220,5,8
PI090221,5,8
PI090233,1,8
PI090241,1,8
PI090245,1,8
PI090249,1,8
PI090256,1,8
PI090258,5,8
PI090305,1,8
PI090354,5,8
PI090369,5,8
PI090392,5,8
PI090402,5,8
PI090407,5,8
PI090463,5,8
PI090486,5,8
PI090490,5,8
PI090563,5,8
PI090566,5,8
PI090573,5,8
PI090578,5,8
PI090723,5,8
PI090760,5,8
PI090763,5,8
PI091073,5,8
PI091082,5,8
PI091083,5,8
PI091089,5,8
PI091103,5,8
PI091113,1,8
PI091127,5,8
PI091133,5,8
PI091142,5,8
PI091149,5,8
PI091151,5,8
PI091154,5,8
PI091159,5,8
PI091160,1,8
PI091162,1,8
PI091163,5,8
PI091165,1,8
PI091166,5,8
PI091169,5,8
PI091174,5,8
PI091178,1,8
PI091340,1,8
PI091343,5,8
PI091346,1,8
PI091349,5,8
PI091679,1,8
PI091684,5,8
PI091719,5,8
PI091729,5,8
PI091730,5,8
PI091731,5,8
PI091734,1,8
PI091750,5,8
PI092463,5,8
PI092557,1,8
PI092560,1,8
PI092568,5,8
PI092577,5,8
PI092590,5,8
PI092593,5,8
PI092594,5,8
PI092600,5,8
PI092602,1,8
PI092604,5,8
PI092605,5,8
PI092606,5,8
PI092608,5,8
PI092617,5,8
PI092618,5,8
PI092619,5,8
PI092623,5,8
PI092636,5,8
PI092640,1,8
PI092641,5,8
PI092642,5,8
PI092643,5,8
PI092645,5,8
PI092651,1,8
PI092654,5,8
PI092659,1,8
PI092662,5,8
PI092663,5,8
PI092672,5,8
PI092686,5,8
PI092688,5,8
PI092689,5,8
PI092690,1,8
PI092702,5,8
PI092704,5,8
PI092707,5,8
PI092713,5,8
PI092718,5,8
PI092720,5,8
PI092722,5,8
PI092728,5,8
PI093055,5,8
PI093563,5,8
PI095769,1,8
PI095853,5,8
PI095887,5,8
PI096093,1,8
PI096118,5,8
PI096162,5,8
PI096199,5,8
PI096280,5,8
PI096321,5,8
PI096322,5,8
PI096333,5,8
PI096550,5,8
PI096783,1,8
PI096787,5,8
PI096808,1,8
PI096978,1,8
PI096984,5,8
PI097038,5,8
PI097139,5,8
PI097155,5,8
PI097222,5,8
PI097225,1,8
PI097627,5,8
PI098243,5,8
FC003654-1,5,10
PI103080,1,8
PI103088,1,8
PI103091,1,8
PI103415,5,8
PI104708,5,8
PI105579,5,8
PI123578,5,8
PI124871,1,8
PI153231,5,8
PI153243,5,8
PI153292,5,8
PI153309,1,8
PI153321,1,8
PI157395,5,8
PI157396,5,8
PI157398,1,8
PI157401,1,8
PI157402,1,8
PI157404,1,8
PI157408,5,8
PI157409,1,8
PI157410,1,8
PI157414,5,8
PI157417,1,8
PI157419,5,8
PI157421,5,8
PI157424,5,8
PI157428,1,8
PI157429,5,8
PI157431,1,8
PI157434,5,8
PI157435,1,8
PI157436,5,8
PI157437,5,8
PI157438,5,8
PI157439,1,8
PI157442,5,8
PI157445,5,8
PI157446,5,8
PI157447,1,8
PI157448,1,8
PI157449,1,8
PI157450,5,8
PI157452,5,8
PI157453,1,8
PI157456,5,8
PI157457,1,8
PI157459,1,8
PI157460,5,8
PI157462,1,8
PI157468,1,8
PI157471,5,8
PI157472,1,8
PI157474,5,8
PI157477,5,8
PI157482,5,8
PI157485,1,8
PI157490,5,8
PI157491,5,8
PI157492,1,8
PI158765,5,8
PI167240,5,8
PI167277,5,8
PI170380,5,8
PI171427,5,8
PI171428,5,8
PI171429,5,8
PI171431,5,8
PI171432,5,8
PI171433,5,8
PI171434,5,8
PI171449,5,8
PI171450,1,8
PI171454,5,8
PI171652,5,8
PI172901,1,8
PI173994,5,8
PI173995,5,8
PI179826,5,8
PI181535,5,8
PI181539,1,8
PI181540,5,8
PI181542,1,8
PI181549,1,8
PI181551,1,8
PI181552,5,8
PI181553,1,8
PI181554,1,8
PI187152,5,8
PI189891,5,8
PI189920,5,8
PI189926,5,8
PI189928,5,8
PI189935,5,8
PI189969,1,8
PI196148,1,8
PI196149,1,8
PI196152,1,8
PI196153,5,8
PI196155,1,8
PI196156,1,8
PI196157,1,8
PI196164,5,8
PI196165,5,8
PI196170,5,8
PI196171,5,8
PI196172,5,8
PI200453,5,8
PI200457,1,8
PI200458,5,8
PI200460,1,8
PI200463,5,8
PI200470,5,8
PI200471,5,8
PI200478,1,8
PI200480,5,8
PI200485,5,8
PI200495,5,8
PI200496,1,8
PI200499,1,8
PI200517,1,8
PI200518,1,8
PI200522,1,8
PI200533,5,8
PI200535,5,8
PI200541,1,8
PI200545,1,8
PI200548,5,8
PI205086,5,8
PI205087,1,8
PI205088,1,8
PI205089,1,8
PI209332,5,8
PI209334,1,8
PI209335,5,8
PI219783,1,8
PI219784,5,8
PI224271,1,8
PI224272,1,8
PI224275,5,8
PI226589,5,8
PI226590,5,8
PI226591,1,8
PI227212,5,8
PI227320,5,8
PI227560,1,8
PI227563,1,8
PI227566,1,8
PI227685,1,8
PI227686,5,8
PI229312,1,8
PI229313,1,8
PI229314,1,8
PI229316,1,8
PI229317,1,8
PI229319,5,8
PI229327,1,8
PI229333,5,8
PI229334,1,8
PI229336,5,8
PI229340,5,8
PI229341,1,8
PI229342,1,8
PI229343,1,8
PI229344,1,8
PI229349,1,8
PI229351,1,8
PI229352,1,8
PI229353,1,8
PI229356,1,8
PI229357,5,8
PI229359,1,8
PI229360,1,8
PI229361,1,8
PI229362,1,8
PI229738,1,8
PI232992,1,8
PI235335,5,8
PI235340,5,8
PI235344,5,8
PI235346,5,8
PI238926,5,8
PI238931,1,8
PI238933,1,8
PI243514,1,8
PI243515,5,8
PI243516,5,8
PI243518,1,8
PI243520,1,8
PI243522,1,8
PI243523,1,8
PI243524,1,8
PI243525,1,8
PI243528,5,8
PI243529,1,8
PI243530,1,8
PI243531,1,8
PI243532,1,8
PI243533,1,8
PI243535,1,8
PI243536,5,8
PI243537,5,8
PI243538,1,8
PI243540,5,8
PI243541,1,8
PI243544,1,8
PI243545,1,8
PI243546,5,8
PI243548,1,8
PI243549,1,8
PI243551,5,8
PI246366,1,8
PI246367,1,8
PI246369,1,8
PI248402,5,8
PI248511,1,8
PI248513,5,8
PI253654,1,8
PI253655,5,8
PI261466,1,8
PI261467,1,8
PI261468,1,8
PI262181,1,8
PI264555,5,8
PI548297,5,8
PI548298,1,8
PI548299,1,8
PI548301,5,8
PI548302,5,8
PI548309,1,8
PI548313,5,8
PI548314,5,8
PI548315,5,8
PI548316,5,8
PI548317,5,8
PI548318,5,8
PI548321,5,8
PI548323,5,8
PI548326,1,8
PI548327,5,8
PI548330,5,8
PI548333,5,8
PI548334,1,8
PI548335,5,8
PI548339,5,8
PI548340,5,8
PI548342,1,8
PI548343,5,8
PI548344,5,8
PI548346,1,8
PI548347,1,8
PI548348,1,8
PI548349,5,8
PI548350,5,8
PI548351,5,8
PI548352,5,8
PI548358,5,8
PI548359,1,8
PI548361,5,8
PI548362,5,8
PI548364,5,8
PI548365,5,8
PI548366,5,8
PI548373,5,8
PI548376,5,8
PI548377,5,8
PI548381,5,8
PI548383,5,8
PI548386,5,8
PI548388,5,8
PI548390,5,8
PI548392,5,8
PI548397,5,8
PI548400,5,8
PI548401,5,8
PI548402,5,8
PI548403,5,8
PI548408,1,8
PI548409,1,8
PI548410,5,8
PI548412,5,8
PI548413,5,8
PI548415,5,8
PI548421,5,8
PI548422,1,8
PI548427,5,8
PI548429,5,8
PI548432,5,8
PI548434,5,8
PI548502,5,8
PI548503,5,8
PI548514,5,8
PI548532,1,8
PI548533,5,8
PI548548,5,8
PI548552,5,8
PI548562,5,8
PI548586,5,8
PI548587,5,8
PI548603,5,8
PI548612,1,8
PI548613,5,8
PI548626,5,8
PI548628,5,8
PI068609A,5,9
PI082312N,1,9
PI084669N,5,9
PI084987A,5,9
PI088820N,5,9
PI089061N,1,9
PI090479P,5,9
PI090495N,5,9
PI092641B,5,9
PI093565A,5,9
PI094159B,1,9
PI096169B,5,9
PI096194P,5,9
FC019976-1,5,10
FC019976-2,1,10
FC019979-2,1,10
FC019979-3,5,10
FC019979-4,5,10
FC019979-5,5,10
FC031572-3,5,10
PI103419B,5,9
PI159923B,1,9
PI248509B,5,9
PI253651B,1,9
PI253651C,5,9
PI253651D,5,9
PI253652A,5,9
PI253652B,1,9
PI253653A,5,9
PI253653B,5,9
PI253656B,1,9
PI253660A,5,9
PI253660B,5,9
PI253661B,5,9
PI253661C,5,9
PI253665A,5,9
PI253665B,5,9
PI253665C,5,9
PI253665D,5,9
PI253666A,5,9
PI253666B,5,9
PI266806C,5,9
PI266807D,1,9
PI054606-1,1,10
PI054606-2,5,10
PI054608-2,5,10
PI054608-3,5,10
PI054608-4,5,10
PI054608-5,5,10
PI054610-4,5,10
PI054615-1,1,10
PI054615-2,5,10
PI054620-2,5,10
PI055089-1,1,10
PI060269-2,5,10
PI060296-2,5,10
PI062202-2,5,10
PI068521-1,5,10
PI068530-2,5,10
PI068533-1,5,10
PI068533-2,5,10
PI068604-1,5,10
PI068679-2,5,10
PI068692-2,5,10
PI068732-1,5,10
PI068748-1,5,10
PI068761-3,5,10
PI069507-1,5,10
PI070242-2,5,10
PI070466-3,5,10
PI070466-4,1,10
PI070469-1,5,10
PI071850-1,5,10
PI079691-4,5,10
PI079732-3,5,10
PI079732-4,5,10
PI079825-1,5,10
PI079848-1,5,10
PI079870-2,1,10
PI079870-4,5,10
PI079870-6,5,10
PI079874-1,5,10
PI080466-1,5,10
PI080466-2,1,10
PI080498-1,1,10
PI080828-1,1,10
PI080828-2,1,10
PI080834-1,5,10
PI080834-2,5,10
PI080844-2,5,10
PI080844-3,5,10
PI080845-1,5,10
PI080845-2,5,10
PI080847-1,1,10
PI080847-2,5,10
PI081029-1,5,10
PI081030-1,1,10
PI081031-1,5,10
PI081031-2,1,10
PI081034-1,5,10
PI081034-2,5,10
PI081037-1,5,10
PI081037-2,5,10
PI081037-5,1,10
PI081042-1,5,10
PI081042-2,5,10
PI081044-1,5,10
PI081044-2,5,10
PI082246-1,1,10
PI082263-1,5,10
PI084908-1,5,10
PI084908-2,5,10
PI084946-1,1,10
PI084946-2,5,10
PI084957-1,1,10
PI084976-1,5,10
PI085009-1,5,10
PI085009-2,5,10
PI086026-1,5,10
PI086078-1,1,10
PI086091-1,5,10
PI086112-1,5,10
PI086134-1,5,10
PI086134-2,5,10
PI086134-4,1,10
PI086449-2,5,10
PI086457-1,5,10
PI086482-1,5,10
PI086490-2,5,10
PI086490-3,5,10
PI086490-4,5,10
PI086903-3,5,10
PI086903-4,5,10
PI086904-1,5,10
PI086972-2,1,10
PI087465-1,5,10
PI087465-2,5,10
PI087600-1,5,10
PI087600-2,5,10
PI087631-3,5,10
PI088302-1,5,10
PI088302-2,5,10
PI088303-1,5,10
PI088306-1,5,10
PI088447-3,5,10
PI088466-1,1,10
PI088490-1,5,10
PI088803-1,5,10
PI088998-1,5,10
PI088998-2,5,10
PI089002-2,5,10
PI089005-4,5,10
PI089009-2,5,10
PI089012-1,5,10
PI089056-2,5,10
PI089061-2,5,10
PI089061-3,5,10
PI089154-2,5,10
PI090406-1,5,10
PI090490-2,5,10
PI090499-1,5,10
PI090499-2,5,10
PI090566-1,5,10
PI090567-1,5,10
PI090576-1,1,10
PI091100-1,5,10
PI091100-2,5,10
PI091100-3,5,10
PI091108-1,5,10
PI091108-2,5,10
PI091120-3,5,10
PI091121-1,5,10
PI091132-3,1,10
PI091153-1,5,10
PI091153-7,5,10
PI091178-1,5,10
PI091725-2,1,10
PI091725-4,1,10
PI091730-1,5,10
PI091731-1,5,10
PI091733-1,5,10
PI092601-1,5,10
PI092601-2,1,10
PI092601-5,1,10
PI092688-2,5,10
PI092707-2,5,10
PI092718-2,1,10
PI094159-3,5,10
PI096194-3,5,10
PI096786-1,5,10
