acid,SCN14,SCN14code,
PI458166,5,5,8
PI458167,5,5,8
PI458168,5,4.400000095,8
PI458170,5,5,8
PI458173,5,4.800000191,8
PI458174,5,4.300000191,8
PI458176,5,5,8
PI458177,5,5,8
PI458178,5,5,8
PI458179,5,5,8
PI458180,5,5,8
PI458181,5,5,8
PI458182,5,4.699999809,8
PI458183,5,5,8
PI458184,5,5,8
PI458185,5,4.800000191,8
PI458186,4,3.900000095,8
PI458187,5,5,8
PI458188,5,5,8
PI458190,5,5,8
PI458191,5,5,8
PI458192,5,4.5,8
PI458193,5,4.5,8
PI458194,5,5,8
PI458195,5,5,8
PI458196,5,4,8
PI458197,5,5,8
PI458198,5,5,8
PI458199,4,,8
PI458200,5,4.800000191,8
PI458201,5,5,8
PI458204,5,5,8
PI458205,5,5,8
PI458206,5,4.5,8
PI458207,5,5,8
PI458208,5,5,8
PI458209,5,5,8
PI458210,5,4.300000191,8
PI458211,5,4,8
PI458212,5,4.699999809,8
PI458213,5,4.300000191,8
PI458214,4,3.599999905,8
PI458215,5,4.599999905,8
PI458216,5,5,8
PI458217,5,4.8,8
PI458218,5,5,8
PI458219,5,4.5,8
PI458220,5,4,8
PI458221,5,4.2,8
PI458222,5,5,8
PI458223,4,3.5,8
PI458224,5,5,8
PI458225,5,4.699999809,8
PI458226,5,5,8
PI458227,5,4.6,8
PI458228,5,4.599999905,8
PI458229,5,5,8
PI458231,5,5,8
PI458232,5,5,8
PI458233,5,5,8
PI458234,5,5,8
PI458235,5,4.7,8
PI458237,5,5,8
PI458239,5,4.5,8
PI458241,5,4.699999809,8
PI458242,5,5,8
PI458243,5,4.5,8
PI458245,5,4.300000191,8
PI458247,5,5,8
PI458248,5,5,8
PI458249,5,5,8
PI458250,5,4.599999905,8
PI458251,5,4.699999809,8
PI458252,5,5,8
PI458253,4,3.5,8
PI458254,5,5,8
PI458255,5,5,8
PI458256,5,4.699999809,8
PI458257,5,5,8
PI458258,5,4,8
PI458259,5,5,8
PI458260,4,3.900000095,8
PI458261,5,4.800000191,8
PI458262,5,5,8
PI458263,5,4,8
PI458264,5,4.199999809,8
PI458265,4,3.400000095,8
PI458266,5,5,8
PI458267,4,3.700000048,8
PI458268,5,4.300000191,8
PI458269,5,5,8
PI458270,5,4.5,8
PI458271,4,3.200000048,8
PI458272,5,4.300000191,8
PI458274,5,5,8
PI458275,5,4.400000095,8
PI458276,5,5,8
PI458277,5,5,8
PI458279,4,3.299999952,8
PI458280,5,5,8
PI458282,5,5,8
PI458284,4,3.599999905,8
PI458285,4,2.799999952,8
PI458286,5,5,8
PI458287,5,5,8
PI458288,5,5,8
PI458289,5,4.800000191,8
PI458290,5,5,8
PI458291,4,2.799999952,8
PI458292,4,3.599999905,8
PI458293,5,4.599999905,8
PI458294,5,5,8
PI458295,5,5,8
PI458296,5,5,8
PI458297,4,3.400000095,8
PI458298,5,5,8
PI458299,5,5,8
PI458300,5,4.800000191,8
PI458301,5,5,8
PI458302,5,5,8
PI458303,5,5,8
PI458304,5,4.8,8
PI458305,4,3.400000095,8
PI458505,5,4.4,8
PI458506,5,4,8
PI458507,4,3.8,8
PI458509,5,5,8
PI458510,5,5,8
PI458511,5,4.4,8
PI458512,5,5,8
PI458515,5,4.7,8
PI458517,5,4.8,8
PI458520,2,,8
PI458521,5,5,8
