acid,SDS.493026,
PI438437,5,8
PI438450,5,8
PI438484,5,8
PI438485,5,8
PI438486,5,8
PI438487,5,8
PI438488,5,8
PI438491,5,8
PI438495,5,8
PI438497,5,8
PI438498,5,8
PI438499,5,8
PI438500,5,8
PI438501,5,8
PI438505,5,8
PI438506,5,8
PI438508,5,8
PI442005,5,8
PI442006,5,8
PI442008,5,8
PI442010,5,8
PI442011,5,8
PI442013,5,8
PI442016,5,8
PI442018,5,8
PI442019,5,8
PI445796,5,8
PI445814,5,8
PI445844,5,8
PI445845,5,8
PI446893,5,8
PI458018,5,8
PI458019,5,8
PI458020,5,8
PI458021,2,8
PI458022,5,8
PI458023,5,8
PI458026,5,8
PI458029,5,8
PI458030,5,8
PI458031,5,8
PI458034,5,8
PI458035,5,8
PI458036,5,8
PI458037,5,8
PI458038,5,8
PI458039,5,8
PI458040,5,8
PI458041,5,8
PI458042,5,8
PI458043,5,8
PI458046,5,8
PI458047,5,8
PI458049,5,8
PI458050,5,8
PI458052,5,8
PI458055,5,8
PI458056,5,8
PI458057,5,8
PI458063,5,8
PI458064,5,8
PI458066,5,8
PI458071,5,8
PI458075,5,8
PI458077,5,8
PI458078,5,8
PI458079,5,8
PI458080,5,8
PI458082,5,8
PI458084,5,8
PI458086,5,8
PI458087,5,8
PI458088,5,8
PI458089,5,8
PI458095,2,8
PI458098,5,8
PI458101,5,8
PI458103,5,8
PI458104,5,8
PI458105,5,8
PI458106,5,8
PI458109,5,8
PI458110,5,8
PI458111,5,8
PI458113,5,8
PI458114,5,8
PI458115,5,8
PI458116,5,8
PI458117,5,8
PI458118,5,8
PI458119,5,8
PI458120,5,8
PI458121,5,8
PI458125,5,8
PI458129,5,8
PI458131,5,8
PI458132,2,8
PI458134,5,8
PI458135,5,8
PI458136,5,8
PI458137,5,8
PI458138,5,8
PI458139,5,8
PI458140,5,8
PI458141,5,8
PI458142,5,8
PI458144,2,8
PI458145,5,8
PI458147,5,8
PI458148,5,8
PI458149,5,8
PI458151,5,8
PI458152,5,8
PI458156,5,8
PI458157,5,8
PI458158,5,8
PI458160,5,8
PI458163,5,8
PI458165,5,8
PI458166,5,8
PI458176,5,8
PI458177,5,8
PI458178,5,8
PI458179,5,8
PI458181,5,8
PI458184,5,8
PI458188,5,8
PI458190,5,8
PI458191,5,8
PI458194,5,8
PI458195,5,8
PI458197,5,8
PI458199,5,8
PI458201,5,8
PI458204,5,8
PI458205,5,8
PI458207,5,8
PI458208,5,8
PI458209,5,8
PI458216,5,8
PI458217,5,8
PI458221,5,8
PI458222,5,8
PI458224,5,8
PI458226,5,8
PI458227,5,8
PI458229,5,8
PI458231,5,8
PI458232,5,8
PI458233,5,8
PI458234,5,8
PI458235,5,8
PI458237,5,8
PI458247,5,8
PI458248,5,8
PI458249,5,8
PI458252,5,8
PI458254,5,8
PI458255,5,8
PI458259,5,8
PI458262,5,8
PI458266,5,8
PI458269,5,8
PI458276,5,8
PI458277,5,8
PI458280,5,8
PI458282,5,8
PI458286,5,8
PI458287,5,8
PI458288,5,8
PI458290,5,8
PI458294,5,8
PI458295,5,8
PI458296,5,8
PI458298,5,8
PI458299,5,8
PI458301,5,8
PI458302,5,8
PI458303,5,8
PI458304,5,8
PI458505,5,8
PI458506,5,8
PI458507,5,8
PI458509,5,8
PI458510,5,8
PI458511,5,8
PI458512,5,8
PI458515,5,8
PI458517,5,8
PI458520,5,8
PI458521,5,8
PI458522,5,8
PI458828,5,8
PI458829,5,8
PI461419,5,8
PI461508,5,8
PI464877,5,8
PI464878,5,8
PI464879,5,8
PI464880,5,8
PI464884,5,8
PI464887,5,8
PI464893,5,8
PI464894,5,8
PI464899,5,8
PI464901,5,8
PI464904,5,8
PI464905,5,8
PI464909,5,8
PI464912,5,8
PI464913,5,8
PI464916,5,8
PI464917,5,8
PI464921,5,8
PI464922,5,8
PI464924,5,8
PI464931,5,8
PI464940,5,8
PI464941,5,8
PI467310,5,8
PI467312,5,8
PI467316,5,8
PI467325,5,8
PI467326,5,8
PI467327,5,8
PI467329,5,8
PI467330,5,8
PI467331,5,8
PI467332,5,8
PI467337,5,8
PI467338,5,8
PI467340,5,8
PI467341,5,8
PI467347,5,8
PI468381,5,8
PI468384,5,8
PI468385,5,8
PI468903,5,8
PI468914,5,8
PI468915,5,8
PI468919,5,8
PI468923,5,8
PI470221,5,8
PI470222,5,8
PI470223,5,8
PI470224,5,8
PI470225,5,8
PI470226,5,8
PI471899,5,8
PI475784,5,8
PI475785,5,8
PI475810,5,8
PI475814,5,8
PI475815,5,8
PI475816,5,8
PI475818,5,8
PI475819,5,8
PI475820,5,8
PI475823,5,8
PI475826,5,8
PI475828,5,8
PI476344,5,8
PI476880,5,8
PI476881,5,8
PI476887,5,8
PI476899,5,8
PI476911,5,8
PI476914,5,8
PI476922,5,8
PI476936,5,8
PI476938,5,8
PI476939,5,8
PI476942,5,8
PI479711,5,8
PI479713,5,8
PI479717,5,8
PI479720,5,8
PI479721,5,8
PI479722,5,8
PI479723,5,8
PI479727,5,8
PI479729,5,8
PI479730,5,8
PI479732,5,8
PI479735,5,8
PI479737,5,8
PI479738,5,8
PI479740,5,8
PI479741,5,8
PI479742,5,8
PI479743,5,8
PI483084,5,8
PI486353,5,8
PI486355,5,8
PI490765,5,8
PI490766,5,8
PI490767,5,8
PI490768,5,8
PI490769,5,8
PI491548,5,8
PI495020,5,8
PI499957,5,8
PI503333,5,8
PI503334,5,8
PI503338,5,8
PI503340,5,8
PI504480,5,8
PI504481,5,8
PI504482,5,8
PI504486,5,8
PI504487,5,8
PI504488,5,8
PI504489,5,8
PI504490,5,8
PI504493,5,8
PI504496,5,8
PI504497,5,8
PI504498,5,8
PI504500,5,8
PI504501,5,8
PI504503,5,8
PI504504,5,8
PI504508,5,8
PI504509,5,8
PI504812,5,8
PI506420,5,8
PI506476,5,8
PI506477,5,8
PI506478,5,8
PI506479,5,8
PI506480,5,8
PI506481,5,8
PI506482,5,8
PI506498,5,8
PI506511,5,8
PI506515,5,8
PI506516,5,8
PI506519,5,8
PI506520,5,8
PI506521,5,8
PI506523,5,8
PI506524,5,8
PI506525,5,8
PI506526,5,8
PI506527,5,8
PI506528,5,8
PI506529,5,8
PI506560,5,8
PI506562,5,8
PI506563,5,8
PI506572,5,8
PI506573,5,8
PI506574,5,8
PI506576,5,8
PI506587,5,8
PI506588,5,8
PI506592,5,8
PI506596,5,8
PI506601,5,8
PI506602,5,8
PI506610,5,8
PI506631,5,8
PI506634,5,8
PI506635,5,8
PI506637,5,8
PI506641,5,8
PI506642,5,8
PI506652,5,8
PI506654,5,8
PI506655,5,8
PI506657,5,8
PI506658,5,8
PI506661,5,8
PI506663,5,8
PI506669,5,8
PI506671,5,8
PI506673,5,8
PI506674,5,8
PI506681,5,8
PI506685,5,8
PI506692,5,8
PI506693,5,8
PI506698,5,8
PI506699,5,8
PI506701,5,8
PI506703,5,8
PI506705,5,8
PI506709,5,8
PI506710,5,8
PI506715,5,8
PI506716,5,8
PI506720,5,8
PI506721,5,8
PI506722,5,8
PI506723,5,8
PI506724,5,8
PI506726,5,8
PI506727,5,8
PI506728,5,8
PI506731,5,8
PI506732,5,8
PI506734,5,8
PI506758,5,8
PI506759,5,8
PI506765,5,8
PI506766,5,8
PI506769,5,8
PI506770,5,8
PI506771,5,8
PI506779,5,8
PI506782,5,8
PI506784,5,8
PI506785,5,8
PI506787,5,8
PI506788,5,8
PI506789,5,8
PI506790,5,8
PI506799,5,8
PI506803,5,8
PI506808,5,8
PI506809,5,8
PI506814,5,8
PI506815,5,8
PI506816,5,8
PI506818,5,8
PI506819,5,8
PI506820,5,8
PI506821,5,8
PI506823,5,8
PI506825,5,8
PI506833,5,8
PI506836,5,8
PI506837,5,8
PI506839,5,8
PI506841,5,8
PI506842,5,8
PI506843,5,8
PI506847,5,8
PI506848,5,8
PI506849,5,8
PI506850,5,8
PI506852,5,8
PI506853,5,8
PI506855,5,8
PI506857,5,8
PI506858,5,8
PI506859,5,8
PI506860,5,8
PI506862,5,8
PI506863,5,8
PI506865,5,8
PI506866,5,8
PI506867,5,8
PI506868,5,8
PI506869,5,8
PI506870,5,8
PI506872,5,8
PI506873,5,8
PI506874,5,8
PI506876,5,8
PI506881,5,8
PI506883,5,8
PI506887,5,8
PI506892,5,8
PI506894,5,8
PI506896,5,8
PI506897,5,8
PI506900,5,8
PI506901,5,8
PI506903,5,8
PI506906,5,8
PI506911,5,8
PI506912,5,8
PI506913,5,8
PI506916,5,8
PI506917,5,8
PI506918,5,8
PI506920,5,8
PI506927,5,8
PI506928,5,8
PI506929,5,8
PI506930,5,8
PI506931,5,8
PI506932,5,8
PI506933,5,8
PI506935,5,8
PI506937,5,8
PI506942,5,8
PI506943,5,8
PI506945,5,8
PI506951,5,8
PI506954,5,8
PI506973,5,8
PI506982,5,8
PI506987,5,8
PI506989,5,8
PI506992,5,8
PI506993,5,8
PI506994,5,8
PI506995,5,8
PI506998,5,8
PI507015,5,8
PI507016,5,8
PI507019,5,8
PI507021,5,8
PI507022,5,8
PI507025,5,8
PI507026,5,8
PI507027,5,8
PI507028,5,8
PI507029,5,8
PI507047,5,8
PI507051,5,8
PI507053,5,8
PI507054,5,8
PI507060,5,8
PI507061,5,8
PI507063,5,8
PI507064,5,8
PI507065,5,8
PI507066,5,8
PI507067,5,8
PI507072,5,8
PI507073,5,8
PI507080,5,8
PI507086,5,8
PI507090,5,8
PI507091,5,8
PI507092,5,8
PI507093,5,8
PI507094,5,8
PI507097,5,8
PI507100,5,8
PI507104,5,8
PI507106,5,8
PI507107,5,8
PI507108,5,8
PI507123,5,8
PI507125,5,8
PI507130,5,8
PI507131,5,8
PI507133,5,8
PI507134,5,8
PI507141,5,8
PI507145,5,8
PI507147,5,8
PI507148,5,8
PI507149,5,8
PI507150,5,8
PI507151,5,8
PI507152,5,8
PI507153,5,8
PI507155,5,8
PI507158,5,8
PI507160,5,8
PI507162,5,8
PI507163,5,8
PI507164,5,8
PI507165,5,8
PI507166,5,8
PI507168,5,8
PI507169,5,8
PI507171,5,8
PI507172,5,8
PI507173,5,8
PI507174,5,8
PI507175,5,8
PI507176,5,8
PI507178,5,8
PI507179,5,8
PI507180,5,8
PI507181,5,8
PI507182,5,8
PI507188,5,8
PI507190,5,8
PI507191,5,8
PI507195,5,8
PI507196,5,8
PI507198,5,8
PI507199,5,8
PI507200,5,8
PI507204,5,8
PI507213,5,8
PI507221,2,8
PI507222,5,8
PI507237,5,8
PI507238,5,8
PI507239,5,8
PI507240,5,8
PI507241,5,8
PI507244,5,8
PI507245,5,8
PI507248,5,8
PI507253,5,8
PI507255,5,8
PI507265,5,8
PI507267,5,8
PI507268,5,8
PI507271,5,8
PI507272,5,8
PI507273,5,8
PI507277,5,8
PI507279,5,8
PI507280,5,8
PI507281,5,8
PI507282,5,8
PI507291,5,8
PI507295,5,8
PI507296,5,8
PI507297,5,8
PI507303,5,8
PI507309,5,8
PI507311,5,8
PI507312,5,8
PI507313,5,8
PI507316,5,8
PI507317,5,8
PI507318,5,8
PI507323,5,8
PI507325,5,8
PI507332,5,8
PI507334,5,8
PI507339,5,8
PI507341,5,8
PI507344,5,8
PI507347,5,8
PI507348,5,8
PI507349,5,8
PI507352,5,8
PI507353,5,8
PI507362,5,8
PI507363,5,8
PI507364,5,8
PI507365,5,8
PI507366,5,8
PI507367,5,8
PI507368,5,8
PI507369,5,8
PI507370,5,8
PI507379,5,8
PI507382,5,8
PI507383,5,8
PI507384,5,8
PI507385,5,8
PI507386,5,8
PI507387,5,8
PI507390,5,8
PI507392,5,8
PI507395,5,8
PI507396,5,8
PI507398,5,8
PI507400,5,8
PI507404,5,8
PI507405,5,8
PI507407,5,8
PI507408,5,8
PI507411,5,8
PI507412,5,8
PI507413,5,8
PI507415,5,8
PI507418,5,8
PI507419,5,8
PI507424,5,8
PI507425,5,8
PI507429,5,8
PI507430,5,8
PI507431,5,8
PI507432,5,8
PI507434,5,8
PI507435,5,8
PI507436,5,8
PI507439,5,8
PI507440,5,8
PI507443,5,8
PI507445,5,8
PI507446,5,8
PI507447,5,8
PI507448,5,8
PI507449,5,8
PI507455,5,8
PI507456,5,8
PI507458,5,8
PI507460,5,8
PI507461,5,8
PI507464,5,8
PI507465,5,8
PI507466,5,8
PI507467,5,8
PI507468,5,8
PI507471,5,8
PI507473,5,8
PI507480,5,8
PI507481,5,8
PI507483,5,8
PI507487,5,8
PI507491,5,8
PI507492,5,8
PI507493,5,8
PI507494,5,8
PI507501,5,8
PI507502,5,8
PI507515,5,8
PI507516,5,8
PI507517,5,8
PI507519,5,8
PI507520,5,8
PI507523,5,8
PI507526,5,8
PI507527,5,8
PI507528,5,8
PI507530,5,8
PI507531,2,8
PI507535,5,8
PI507540,5,8
PI507541,5,8
PI507543,5,8
PI507544,5,8
PI507548,5,8
PI507552,5,8
PI507553,5,8
PI507554,5,8
PI507555,5,8
PI507563,5,8
PI507564,5,8
PI507569,5,8
PI507570,5,8
PI507571,5,8
PI507573,5,8
PI507671,5,8
PI507676,5,8
PI507684,5,8
PI507694,5,8
PI507699,5,8
PI507707,5,8
PI507708,5,8
PI507716,5,8
PI508293,5,8
PI509075,5,8
PI509079,5,8
PI509083,5,8
PI509085,5,8
PI509087,5,8
PI509088,5,8
PI509089,5,8
PI509105,5,8
PI509107,5,8
PI509111,5,8
PI509112,5,8
PI518283,5,8
PI518287,5,8
PI518290,5,8
PI518708,5,8
PI518711,2,8
PI518712,5,8
PI518715,5,8
PI518716,5,8
PI518719,5,8
PI518720,5,8
PI518751,5,8
PI518757,5,8
PI522191,5,8
PI524993,5,8
PI525492,5,8
PI532434,5,8
PI532437,5,8
PI532442,5,8
PI532443,5,8
PI532448,5,8
PI532456,5,8
PI532457,5,8
PI532459,5,8
PI532464,5,8
PI532465,5,8
PI532472,5,8
PI532473,5,8
PI538375,5,8
PI538376,5,8
PI538377,5,8
PI538378,5,8
PI538380,5,8
PI538381,5,8
PI538382,5,8
PI538383,5,8
PI538387,5,8
PI538389,5,8
PI538390,5,8
PI538394,5,8
PI538397,5,8
PI538400,5,8
PI549017,5,8
PI549022,5,8
PI549029,5,8
PI549031,5,8
PI549040,5,8
PI549043,5,8
PI549053,5,8
PI549056,5,8
PI549058,5,8
PI549063,5,8
PI549064,5,8
PI549065,5,8
PI549071,5,8
PI556948,5,8
PI556949,5,8
PI556950,5,8
PI561230,5,8
PI561240,5,8
PI561288,5,8
PI561289,5,8
PI561293,5,8
PI561297,5,8
PI561298,5,8
PI561303,5,8
PI561310,5,8
PI561312,5,8
PI561313,5,8
PI561316,5,8
PI561320,5,8
PI561321,5,8
PI561322,5,8
PI561323,5,8
PI561324,5,8
PI561325,5,8
PI561326,5,8
PI561328,5,8
PI561329,5,8
PI561334,5,8
PI561335,5,8
PI561336,5,8
PI561339,5,8
PI561340,5,8
PI561347,5,8
PI561349,5,8
PI561364,5,8
PI561365,5,8
PI561370,5,8
PI561371,5,8
PI561394,5,8
PI567004,5,8
PI567153,5,8
PI567160,5,8
PI567161,5,8
PI567162,5,8
PI567166,5,8
PI567168,5,8
PI567197,5,8
PI567198,5,8
PI567199,5,8
PI567202,5,8
PI567237,5,8
PI567239,5,8
PI567240,5,8
PI567241,5,8
PI567243,5,8
PI567244,5,8
PI567245,5,8
PI567246,5,8
PI567247,5,8
PI567248,5,8
PI567249,5,8
PI567251,5,8
PI567252,5,8
PI567253,5,8
PI567254,5,8
PI567258,5,8
PI567259,5,8
PI567260,5,8
PI567263,5,8
PI567265,5,8
PI567275,5,8
PI567276,5,8
PI567277,5,8
PI567278,5,8
PI567280,2,8
PI573008,5,8
PI574477,5,8
PI574481,5,8
PI574482,5,8
PI574483,5,8
PI574484,5,8
PI574485,5,8
PI574486,5,8
PI577798,5,8
PI578057,5,8
PI578360,5,8
PI578362,5,8
PI578363,5,8
PI578364,5,8
PI578365,5,8
PI578366,5,8
PI578367,5,8
PI578368,5,8
PI578369,5,8
PI578370,5,8
PI578376,5,8
PI578378,5,8
PI578379,5,8
PI578383,5,8
PI578390,5,8
PI578399,5,8
PI578402,5,8
PI578403,5,8
PI578405,5,8
PI578406,5,8
PI578410,5,8
PI578411,5,8
PI578412,5,8
PI578413,5,8
PI578414,5,8
PI578416,5,8
PI578439,5,8
PI578440,5,8
PI578479,5,8
PI578486,5,8
PI578490,5,8
PI578492,5,8
PI578493,5,8
PI578495,5,8
PI578500,5,8
PI578502,5,8
PI578504,5,8
PI578505,2,8
PI583366,5,8
PI583835,5,8
PI583837,5,8
PI584441,5,8
PI584469,5,8
PI584470,5,8
PI586980,5,8
PI586981,5,8
PI587185,5,8
PI590931,5,8
PI590932,5,8
PI592901,5,8
PI592908,5,8
PI592910,5,8
PI592913,5,8
PI592927,5,8
PI592928,5,8
PI592929,5,8
PI592930,5,8
PI592932,5,8
PI592933,5,8
PI592934,5,8
PI592935,5,8
PI592936,5,8
PI592937,5,8
PI592938,5,8
PI592939,5,8
PI592940,5,8
PI592941,5,8
PI592942,5,8
PI592944,5,8
PI592945,5,8
PI592946,5,8
PI592947,5,8
PI592948,5,8
PI592949,5,8
PI592950,5,8
PI592951,5,8
PI592952,5,8
PI592953,5,8
PI592954,5,8
PI592959,5,8
PI592968,5,8
PI592969,5,8
PI592971,5,8
PI592972,5,8
PI592973,5,8
PI592974,5,8
PI592978,5,8
PI592979,5,8
PI592980,5,8
PI592981,5,8
PI593256,5,8
PI593258,5,8
PI593259,5,8
PI593463,5,8
PI593654,5,8
PI593958,5,8
PI593959,5,8
PI593960,5,8
PI593962,5,8
PI593963,5,8
PI593964,5,8
PI593966,5,8
PI594001,5,8
PI594010,5,8
PI594011,5,8
PI594018,5,8
PI594019,5,8
PI594020,5,8
PI594022,5,8
PI594146,5,8
PI594148,5,8
PI594153,5,8
PI594156,5,8
PI594158,5,8
PI594160,5,8
PI594164,5,8
PI594166,5,8
PI594167,5,8
PI594188,5,8
PI594208,5,8
PI594215,5,8
PI594235,5,8
PI594238,5,8
PI594247,5,8
PI594250,5,8
PI594254,5,8
PI594255,5,8
PI594282,5,8
PI594283,5,8
PI594286,5,8
PI594288,5,8
PI594289,5,8
PI594295,5,8
PI594297,5,8
PI594298,5,8
PI594308,5,8
PI594901,5,8
PI594902,5,8
PI595081,5,8
PI595363,5,8
PI595753,5,8
PI595754,5,8
PI595843,5,8
PI595926,5,8
PI596407,5,8
PI597381,5,8
PI597382,5,8
PI597386,5,8
PI597387,5,8
PI597408,5,8
PI597412,5,8
PI597413,5,8
PI597441,5,8
PI597464,5,8
PI597474,5,8
PI597477,5,8
PI597479,5,8
PI597481,5,8
PI597482,5,8
PI597483,5,8
PI597484,5,8
PI597485,5,8
PI597486,5,8
PI598124,5,8
PI598222,5,8
PI599509,5,8
PI602059,5,8
PI602060,5,8
PI602490,5,8
PI602491,5,8
PI602492,5,8
PI602499,5,8
PI602501,5,8
PI602993,5,8
PI603155,5,8
PI603156,5,8
PI603157,5,8
PI603158,5,8
PI603159,5,8
PI603160,5,8
PI603162,5,8
PI603166,5,8
PI603167,5,8
PI603168,5,8
PI603170,5,8
PI603171,5,8
PI603172,5,8
PI603175,5,8
PI603303,5,8
PI603333,5,8
PI603336,5,8
PI603340,5,8
PI603347,5,8
PI603364,5,8
PI603365,5,8
PI603366,5,8
PI603368,5,8
PI603370,5,8
PI603372,5,8
PI603374,5,8
PI603384,5,8
PI603385,5,8
PI603386,5,8
PI603387,5,8
PI603389,5,8
PI603391,5,8
PI603392,5,8
PI603393,5,8
PI603394,5,8
PI603395,5,8
PI603396,5,8
PI603397,5,8
PI603399,5,8
PI603401,5,8
PI603402,5,8
PI603403,5,8
PI603404,5,8
PI603406,5,8
PI603407,5,8
PI603409,5,8
PI603410,5,8
PI603411,5,8
PI603413,5,8
PI603414,5,8
PI603415,5,8
PI603416,5,8
PI603417,5,8
PI603420,5,8
PI603425,5,8
PI603434,5,8
PI603441,5,8
PI603442,5,8
PI603446,5,8
PI603448,5,8
PI603449,5,8
PI603450,5,8
PI603452,5,8
PI603453,5,8
PI603454,5,8
PI603456,5,8
PI603459,5,8
PI603460,5,8
PI603462,5,8
PI603463,5,8
PI603464,5,8
PI603467,5,8
PI603468,5,8
PI603469,5,8
PI603470,5,8
PI603471,5,8
PI603473,5,8
PI603474,5,8
PI603475,5,8
PI603476,5,8
PI603478,5,8
PI603480,5,8
PI603481,5,8
PI603482,5,8
PI603483,5,8
PI603484,5,8
PI603485,5,8
PI603486,5,8
PI603488,5,8
PI603489,5,8
PI603490,5,8
PI603491,5,8
PI603492,5,8
PI603493,5,8
PI603494,5,8
PI603497,5,8
PI603501,5,8
PI603504,5,8
PI603505,5,8
PI603515,5,8
PI603526,5,8
PI603533,5,8
PI603542,5,8
PI603547,5,8
PI603549,5,8
PI603550,5,8
PI603552,5,8
PI603553,5,8
PI603555,5,8
PI603556,5,8
PI603557,5,8
PI603558,5,8
PI603559,5,8
PI603560,5,8
PI603568,5,8
PI603574,5,8
PI603575,5,8
PI603579,5,8
PI603582,5,8
PI603583,5,8
PI603586,5,8
PI603589,5,8
PI603592,5,8
PI603593,5,8
PI603596,5,8
PI603597,5,8
PI603612,5,8
PI603613,5,8
PI603620,5,8
PI603623,5,8
PI603645,5,8
PI603647,5,8
PI603648,5,8
PI603653,5,8
PI603654,5,8
PI603655,5,8
PI603656,5,8
PI603658,5,8
PI603660,5,8
PI603663,5,8
PI603664,5,8
PI603670,5,8
PI603671,5,8
PI603674,5,8
PI603675,5,8
PI603676,5,8
PI603679,5,8
PI603682,5,8
PI603683,5,8
PI603684,5,8
PI603686,5,8
PI603690,2,8
PI603691,5,8
PI603692,5,8
PI603707,5,8
PI603715,5,8
PI603716,5,8
PI603717,5,8
PI603721,5,8
PI603723,5,8
PI603725,5,8
PI603726,5,8
PI603728,5,8
PI603729,5,8
PI603738,5,8
PI603744,5,8
PI603745,5,8
PI603746,2,8
PI603747,5,8
PI603748,5,8
PI603749,5,8
PI603752,5,8
PI603756,5,8
PI603760,5,8
PI603908,5,8
PI603912,5,8
PI603914,5,8
PI603916,5,8
PI603917,5,8
PI604100,5,8
PI606748,5,8
PI610670,5,8
PI610671,5,8
PI611112,5,8
PI612930,5,8
PI612931,5,8
PI612932,5,8
FC003654N,5,9
FC004002B,5,9
FC004002N,5,9
FC004007A,5,9
FC004007B,5,9
PI068609A,5,9
PI068609B,5,9
PI081029N,5,9
PI082312N,5,9
PI083881A,5,9
PI084669N,5,9
PI084683A,5,9
PI084987A,5,9
PI086109B,5,9
PI086138R,5,9
PI088293A,5,9
PI088820N,5,9
PI089061N,5,9
PI090479P,5,9
PI090495N,5,9
PI091108N,5,9
PI092641B,5,9
PI093565A,5,9
PI094159B,5,9
PI096169B,5,9
PI096194P,5,9
PI103419B,5,9
PI123577B,5,9
PI157487B,5,9
PI159923B,5,9
PI248509B,5,9
PI253650A,5,9
PI253650B,5,9
PI253651A,5,9
PI253651B,5,9
PI253651C,5,9
PI253651D,5,9
PI253652A,5,9
PI253652B,5,9
PI253653A,5,9
PI253653B,5,9
PI253656A,5,9
PI253656B,5,9
PI253660A,5,9
PI253660B,5,9
PI253661A,5,9
PI253661B,5,9
PI253661C,5,9
PI253665A,5,9
PI253665B,5,9
PI253665C,5,9
PI253665D,5,9
PI253666A,5,9
PI253666B,5,9
PI266085A,5,9
PI266085B,5,9
PI266085C,5,9
PI266806A,5,9
PI266806B,5,9
PI266806C,5,9
PI266806D,5,9
PI266807A,5,9
PI266807B,5,9
PI266807D,5,9
PI273483A,5,9
PI273483B,5,9
PI273483C,5,9
PI273483D,5,9
PI273483E,5,9
PI273483F,5,9
PI290126B,5,9
PI291293A,5,9
PI291293B,5,9
PI291302A,5,9
PI291302B,5,9
PI291302C,5,9
PI291306A,5,9
PI291306B,5,9
PI291309A,5,9
PI291309B,5,9
PI291309D,5,9
PI291310B,5,9
PI291310C,5,9
PI317334B,5,9
PI323586B,5,9
PI339864A,5,9
PI339865A,5,9
PI339865B,5,9
PI339868B,5,9
PI339868C,5,9
PI339868D,5,9
PI339868E,5,9
PI339868F,5,9
PI340021A,5,9
PI340031A,5,9
PI340053A,5,9
PI340053B,5,9
PI347539A,5,9
PI347539B,5,9
PI358317B,5,9
PI358318A,5,9
PI361062B,5,9
PI361065B,5,9
PI361112B,5,9
PI370057B,5,9
PI372404C,5,9
PI372415A,5,9
PI372415B,5,9
PI372416B,5,9
PI378670B,5,9
PI378682A,5,9
PI378682B,5,9
PI378682C,5,9
PI379559C,5,9
PI379559D,5,9
PI379562A,5,9
PI379562B,5,9
PI391581A,5,9
PI393541A,5,9
PI393541B,5,9
PI404160A,5,9
PI404160B,5,9
PI404169B,5,9
PI404173A,5,9
PI404173B,5,9
PI404179A,5,9
PI404179B,5,9
PI404188A,5,9
PI404188B,5,9
PI404196A,5,9
PI404196B,5,9
PI404198A,5,9
PI404198B,5,9
PI407655B,2,9
PI407655C,5,9
PI407658A,5,9
PI407658B,5,9
PI407658C,5,9
PI407659A,5,9
PI407659B,5,9
PI407706B,5,9
PI407711A,5,9
PI407711B,5,9
PI407772A,5,9
PI407772B,5,9
PI407773A,5,9
PI407773B,5,9
PI407778A,5,9
PI407778B,5,9
PI407778C,5,9
PI407781A,5,9
PI407781B,5,9
PI407786A,5,9
PI407788A,5,9
PI407788B,5,9
PI407795A,5,9
PI407795B,5,9
PI407805A,5,9
PI407805B,5,9
PI407805C,5,9
PI407805D,5,9
PI407806A,5,9
PI407806B,5,9
PI407818A,5,9
PI407818B,5,9
PI407821A,5,9
PI407832A,5,9
PI407832B,5,9
PI407833A,5,9
PI407845A,5,9
PI407845B,5,9
PI407861A,5,9
PI407861B,5,9
PI407861C,5,9
PI407867A,5,9
PI407867B,5,9
PI407868A,5,9
PI407868B,5,9
PI407869A,5,9
PI407869B,5,9
PI407872A,5,9
PI407872C,5,9
PI407875A,5,9
PI407875B,5,9
PI407877A,5,9
PI407877B,5,9
PI407892A,5,9
PI407892C,5,9
PI407898A,5,9
PI407902A,5,9
PI407902B,5,9
PI407903A,5,9
PI407903B,5,9
PI407907A,5,9
PI407907B,5,9
PI407913A,5,9
PI407913B,5,9
PI407914A,5,9
PI407914B,5,9
PI407914C,5,9
PI407914D,5,9
PI407918A,5,9
PI407918B,5,9
PI407926A,5,9
PI407926B,5,9
PI407927A,5,9
PI407927B,5,9
PI407932A,5,9
PI407932B,5,9
PI407939A,5,9
PI407939B,5,9
PI407952A,5,9
PI407952B,5,9
PI407959A,5,9
PI407959B,5,9
PI407960A,5,9
PI407960B,5,9
PI407966A,5,9
PI407966B,5,9
PI407972A,5,9
PI407972B,5,9
PI407972C,5,9
PI407973A,5,9
PI407974A,5,9
PI407974B,5,9
PI407975A,5,9
PI407976A,5,9
PI407976B,5,9
PI407981A,5,9
PI407981B,5,9
PI407981C,5,9
PI407986A,5,9
PI407988A,5,9
PI407988B,5,9
PI407998A,5,9
PI407998C,5,9
PI408016A,5,9
PI408016B,5,9
PI408019A,5,9
PI408019B,5,9
PI408019C,5,9
PI408020A,5,9
PI408020B,5,9
PI408020C,5,9
PI408020D,5,9
PI408032A,5,9
PI408032B,5,9
PI408048A,5,9
PI408048B,5,9
PI408050A,5,9
PI408050B,5,9
PI408052A,5,9
PI408052B,5,9
PI408052C,5,9
PI408055A,5,9
PI408055B,5,9
PI408055C,5,9
PI408066A,5,9
PI408067A,5,9
PI408068A,5,9
PI408068B,5,9
PI408070A,5,9
PI408070B,5,9
PI408074A,5,9
PI408074B,5,9
PI408074C,5,9
PI408076A,5,9
PI408076B,5,9
PI408079A,5,9
PI408083A,5,9
PI408084B,5,9
PI408092A,5,9
PI408092B,5,9
PI408095A,5,9
PI408095B,5,9
PI408100B,5,9
PI408105A,5,9
PI408105B,5,9
