acid,RUST,
PI567377A,4,9
PI567382B,2.8,9
PI567389A,3,9
PI567389B,3,9
PI567394A,3,9
PI567396A,2.3,9
PI567404A,2.5,9
PI567404E,4,9
PI567406A,3.3,9
PI567409A,2.3,9
PI567410A,3.3,9
PI567415A,3.5,9
PI567417A,3,9
PI567418C,2.7,9
PI567419A,3,9
PI567424A,3,9
PI567425B,3.5,9
PI567429B,4,9
PI567429C,3,9
PI567429E,4.5,9
PI567435A,3.3,9
PI567441C,3,9
PI567469A,4,9
PI567473A,2.7,9
PI567473C,2.5,9
PI567488C,2.7,9
PI567489A,2,9
PI567489B,2.7,9
PI567491B,2.7,9
PI567507A,3.3,9
PI567507B,2,9
PI567507C,4,9
PI567507D,4,9
PI567508A,3,9
PI567510A,4,9
PI567512A,3,9
PI567516A,3.3,9
PI567520A,3,9
PI567522A,3,9
PI567528A,3,9
PI567538B,3,9
PI567540A,3,9
PI567543C,3.3,9
PI567549A,3,9
PI567554A,2,9
PI567568A,3,9
PI567568B,3.7,9
PI567586B,3.7,9
PI567588B,3,9
PI567593A,3.3,9
PI567595B,3.3,9
PI567597A,3.3,9
PI567598B,3,9
PI567603A,3.7,9
PI567607A,3,9
PI567610A,4,9
PI567610B,3.5,9
PI567614B,3,9
PI567614D,3.5,9
PI567617A,3,9
PI567618A,3.5,9
PI567620B,3,9
PI567621A,3,9
PI567628A,3,9
PI567632B,3.5,9
PI567648A,2.7,9
PI567648B,3.5,9
PI567648C,3,9
PI567660A,2.7,9
PI567661A,3,9
PI567661B,3,9
PI567667A,3.3,9
PI567667B,4,9
PI567671B,3.7,9
PI567673A,3,9
PI567676A,5,9
PI567679B,4,9
PI567679C,2,9
PI567683A,2.7,9
PI567684B,3,9
PI567688A,4.3,9
PI567696B,4,9
PI567716A,3,9
PI567727A,3,9
PI567727B,3.7,9
PI567738A,3.3,9
PI567751A,3,9
PI567765A,3,9
PI567767A,3,9
PI567767C,3.5,9
PI567771B,3.3,9
PI567771E,3,9
PI567775B,3,9
PI567780A,2.3,9
PI567780B,3.7,9
PI574476A,4,9
PI574478B,3,9
PI574478C,4,9
PI574479A,2.5,9
PI574479B,3.5,9
PI574480A,2,9
PI578305B,2.5,9
PI578306B,2.7,9
PI578307A,3.3,9
PI578307B,3.3,9
PI578308A,3.3,9
PI578313A,2.5,9
PI578316C,2.7,9
PI578318D,4,9
PI578319A,3.3,9
PI578319C,3.7,9
PI578323A,2.5,9
PI578323B,3,9
PI578324B,3,9
PI578324E,3.7,9
PI578324H,4,9
PI578328B,4,9
PI578328C,3,9
PI578329B,4,9
PI578332C,3.7,9
PI578388A,4.7,9
PI578392A,3.7,9
PI578392B,3,9
PI578401D,4,9
PI578417A,4,9
PI578417B,3,9
PI578437A,3.7,9
PI578444B,3,9
PI578446B,3.3,9
PI578457A,2.7,9
PI578457B,3.3,9
PI578471A,4,9
PI578482A,4,9
PI578482C,3.3,9
PI587553A,4,9
PI587555A,3.7,9
PI587555B,3.7,9
PI587559B,3.7,9
PI587566A,3.7,9
PI587574B,3,9
PI587577F,4,9
PI587583A,4,9
PI587583B,4,9
PI587585A,3.5,9
PI587585B,4,9
PI587595C,3.5,9
PI587598A,2.5,9
PI587601C,4,9
PI587603D,4,9
PI587604B,3.5,9
PI587604D,3,9
PI587606E,3.6,9
PI587612A,3,9
PI587612B,4,9
PI587618A,3,9
PI587618B,4.5,9
PI587618C,4,9
PI587625A,3.7,9
PI587630A,3.5,9
PI587631B,3.7,9
PI587664B,3.7,9
PI587684A,4.5,9
PI587687A,3,9
PI587692A,3.7,9
PI587700A,3,9
PI587703B,3.7,9
PI587705B,3,9
PI587709B,4,9
PI587719A,3.3,9
PI587721C,4.3,9
PI587742C,4.3,9
PI587753B,4,9
PI587757B,3,9
PI587767A,3.5,9
PI587767B,2.7,9
PI587788A,3.7,9
PI587788B,3.5,9
PI587790B,4,9
PI587808A,3.7,9
PI587808B,3.3,9
PI587809B,2.7,9
PI587812A,4,9
PI587814A,3.3,9
PI587814B,3.7,9
PI587814C,2.5,9
PI587814F,3.3,9
PI587814G,3.7,9
PI587815A,3,9
PI587820B,3,9
PI587825A,4,9
PI587825B,4.3,9
PI587830A,3,9
PI587830B,3.3,9
PI587839A,3.3,9
PI587839B,3.5,9
PI587841B,3.7,9
PI587844A,3.3,9
PI587846A,3.7,9
PI587851A,4.3,9
PI587862D,3,9
PI587863B,3,9
PI587880A,2.7,9
PI587880B,3.3,9
PI587887A,3.3,9
PI587887B,3.5,9
PI587891A,3.3,9
PI587900A,3.7,9
PI587900B,4,9
PI587903A,4,9
PI587903B,3.7,9
PI587915C,5,9
PI587916D,3.3,9
PI587973B,3,9
PI587976A,3.3,9
PI587976B,3,9
PI587976D,3.7,9
PI587982A,3.3,9
PI587982B,3.3,9
PI587983A,4,9
PI587983B,4,9
PI587984B,3.3,9
PI587985A,4,9
PI587986A,3,9
PI587987A,3.5,9
PI587989B,3.3,9
PI587992A,3,9
PI587992B,4,9
PI587992F,3,9
PI587992G,3.5,9
PI587996B,3.3,9
PI587998A,3.7,9
PI587998B,4,9
PI587998C,3.3,9
PI587998D,3.5,9
PI587998E,3.5,9
PI587998F,3,9
PI587998H,4.3,9
PI587999B,4,9
PI588011E,3.3,9
PI588014A,3,9
PI588014C,3.7,9
PI588019B,3.7,9
PI588021A,3.5,9
PI588021B,3,9
PI588023B,3,9
PI588027B,3.5,9
PI588027D,3.3,9
PI588032A,3.3,9
PI588032B,3.7,9
PI588033C,3.3,9
PI592907A,2,9
PI592907D,3.7,9
PI592956C,3,9
PI592962B,2.3,9
PI593949B,3.7,9
PI593950A,4,9
PI593950B,3.3,9
PI593956A,3,9
PI593993A,3.3,9
PI594014A,3,9
PI594172A,2.7,9
PI594172C,3.3,9
PI594217C,4,9
PI594397A,3,9
PI594397B,4,9
PI594398B,3,9
PI594399A,4,9
PI594414B,3,9
PI594415B,4,9
PI594418C,3,9
PI594426A,3.3,9
PI594426B,4,9
PI594430B,3,9
PI594430E,3,9
PI594433C,3.7,9
PI594439A,3.7,9
PI594439B,4,9
PI594448A,3.3,9
PI594448B,3,9
PI594454A,3.3,9
PI594454B,3,9
PI594455A,3.7,9
PI594455B,3.3,9
PI594456A,3.3,9
PI594461B,3.3,9
PI594463A,3.3,9
PI594471B,3,9
PI594471D,3,9
PI594475B,4,9
PI594492B,3.3,9
PI594494A,3,9
PI594498A,3,9
PI594501B,2.7,9
PI594505B,3.3,9
PI594509A,3.3,9
PI594510A,4,9
PI594510B,3,9
PI594511B,3.7,9
PI594512C,4,9
PI594555B,4,9
PI594557B,3,9
PI594562A,3,9
PI594567A,3,9
PI594568A,4,9
PI594568B,4,9
PI594570A,3.3,9
PI594591A,3.3,9
PI594618A,3.5,9
PI594618B,3.3,9
PI594618C,3.3,9
PI594652B,3.3,9
PI594659A,3,9
PI594659C,3.7,9
PI594660A,3.5,9
PI594660D,3.3,9
PI594662A,4,9
PI594662B,4,9
PI594708B,3,9
PI594738A,3,9
PI594738B,3.3,9
PI594739A,2.7,9
PI594740A,3,9
PI594740B,3.3,9
PI594751A,3.3,9
PI594753C,3.3,9
PI594758A,3,9
PI594784A,3.3,9
PI594802C,3,9
PI594805A,3,9
PI594810B,4,9
PI594826A,3.3,9
PI594828B,3,9
PI594832B,3,9
PI594835A,3,9
PI594839A,3.3,9
PI594858A,3,9
PI594882A,2.8,9
PI597405D,3.3,9
PI597407B,4,9
PI597411A,3.5,9
PI597427B,3.5,9
PI597430A,3.3,9
PI597440B,3,9
PI597440C,3.5,9
PI597478A,3,9
PI597480A,2.3,9
PI602497B,2.7,9
PI603151A,3,9
PI603165A,2.5,9
PI603174A,2.7,9
PI603176A,3,9
PI603176B,3,9
PI603293A,4,9
PI603293B,2.3,9
PI603301B,4,9
PI603337A,3,9
PI603346B,3,9
PI603348B,2.7,9
PI603348C,4,9
PI603358A,2,9
PI603381A,3.7,9
PI603381C,3.7,9
PI603382A,4.3,9
PI603398B,4.3,9
PI603419A,2,9
PI603419B,2.8,9
PI603426B,3.3,9
PI603426C,3.7,9
PI603427B,3,9
PI603428C,4,9
PI603429B,3.3,9
PI603429D,2.5,9
PI603432A,4,9
PI603432B,4,9
PI603435A,3.3,9
PI603437C,3.7,9
PI603440A,4.3,9
PI603443A,3.3,9
PI603455B,3.5,9
PI603457B,4.3,9
PI603457C,3,9
PI603458A,3.5,9
PI603458B,4,9
PI603465B,2.3,9
PI603465C,4.7,9
PI603465D,5,9
PI603466A,4,9
PI603466B,4,9
PI603472A,3,9
PI603477B,4.5,9
PI603487B,3.7,9
PI603487C,3.3,9
PI603496B,3.3,9
PI603511A,4,9
PI603546A,3.7,9
PI603551A,3.3,9
PI603562B,3.7,9
PI603564A,2.3,9
PI603564B,3.3,9
PI603567A,3.3,9
PI603569A,3,9
PI603569B,3.7,9
PI603570A,3.3,9
PI603570C,4,9
PI603570D,3.4,9
PI603571B,2.7,9
PI603571C,4,9
PI603585B,3,9
PI603587B,3,9
PI603598A,3.3,9
PI603599A,3.5,9
PI603662B,3.7,9
PI603673G,3,9
PI603678A,4.5,9
PI603678B,4,9
PI603681A,3,9
PI603687B,2.7,9
PI603694B,3.3,9
PI603698A,4.3,9
PI603698B,3,9
PI603698E,3,9
PI603698G,3.5,9
PI603702B,3,9
PI603704A,2.5,9
PI603737A,3,9
PI603742A,3,9
PI603750A,4.3,9
PI603750B,4,9
PI603751A,3.5,9
PI603753A,3.8,9
PI603753B,3.7,9
PI603755A,3,9
PI603755B,3.7,9
PI603757A,3.7,9
PI603758A,3.7,9
PI603758C,2.7,9
PI603764B,3.7,9
PI603909C,3,9
PI603910B,4,9
PI603910C,3.6,9
PI603910D,4.3,9
PI603913D,2.7,9
PI603915D,3.5,9
PI603915E,3.3,9
PI605758A,4,9
PI605758D,3.3,9
PI605764B,3,9
PI605779A,3.7,9
PI605779E,3.5,9
PI605781A,3.2,9
PI605781B,3,9
PI605781C,3.2,9
PI605781D,3.7,9
PI605781E,3.3,9
PI605786A,3.5,9
PI605786B,3.5,9
PI605787A,3.7,9
PI605787B,3.3,9
PI605787C,3,9
PI605787D,4,9
PI605789A,3.3,9
PI605789C,3.3,9
PI605789D,3.7,9
PI605791A,3.7,9
PI605791B,3.3,9
PI605792B,3.7,9
PI605792D,3.7,9
PI605805A,3,9
PI605809A,3,9
PI605810A,3.7,9
PI605817A,3.3,9
PI605817C,3.3,9
PI605817D,3.7,9
PI605818B,3.8,9
PI605821A,3,9
PI605821B,3.5,9
PI605821C,3.7,9
PI605824A,3,9
PI605825C,3,9
PI605826C,3.4,9
PI605826D,3.5,9
PI605827B,3.5,9
PI605827C,3.7,9
PI605828A,3.2,9
PI605828B,4,9
PI605828C,4,9
PI605830A,2.9,9
PI605830B,3.5,9
PI605831A,3,9
PI605831B,3.5,9
PI605831C,3.7,9
PI605832A,3,9
PI605832B,3,9
PI605834A,3,9
PI605834B,3.2,9
PI605834C,3,9
PI605837B,4,9
PI605837C,3,9
PI605839A,3.3,9
PI605839B,3.3,9
PI605839C,3,9
PI605840A,3.5,9
PI605840B,3.3,9
PI605840C,3,9
PI605840D,3,9
PI605840E,3.7,9
PI605840F,3.3,9
PI605840G,3.3,9
PI605842C,3,9
PI605844E,3.3,9
PI605845C,3.3,9
PI605846E,3.7,9
PI605850A,3.3,9
PI605850B,3,9
PI605854A,3.3,9
PI605854B,2.7,9
PI605859A,3,9
PI605862A,3.7,9
PI605862C,3.7,9
PI605863A,3,9
PI605863B,3,9
PI605865A,3.3,9
PI605865B,3.3,9
PI605869A,3.2,9
PI605870A,3.2,9
PI605870B,3.3,9
PI605871A,3,9
PI605871C,3.6,9
PI605876A,3.4,9
PI605876B,3,9
PI605876D,3,9
PI605876E,3,9
PI605877A,3.4,9
PI605877B,3.3,9
PI605877C,3.3,9
PI605877D,3.3,9
PI605877F,3.3,9
PI605882A,3,9
PI605882B,4,9
PI605884A,3.2,9
PI605884B,3.7,9
PI605884C,3.3,9
PI605884D,3.5,9
PI605884E,3.5,9
PI605885A,3.5,9
PI605885B,2.8,9
PI605885C,2.5,9
PI605886A,3.3,9
PI605886B,3.3,9
PI605886C,3.3,9
PI605886D,3,9
PI605886E,3,9
PI605887A,3,9
PI605890A,4,9
PI605891A,3.6,9
PI605891B,2.5,9
PI605891C,3,9
PI605891D,3,9
PI605897A,4,9
PI605897C,3,9
PI606382A,3.3,9
PI606382B,4,9
PI606390B,4.3,9
PI606432A,3.3,9
PI606432B,3.5,9
PI606438A,3.7,9
PI612612B,3.8,9
PI612617B,4.3,9
PI612708B,4.3,9
PI612713B,3,9
PI612714B,3,9
PI612721B,4,9
PI612753A,3.3,9
PI612753B,2.5,9
PI612758A,2.7,9
PI612758B,3.3,9
PI612759B,3,9
PI612759C,2.7,9
PI612759D,3,9
PI068475-1,4.3,10
PI068680-2,3.7,10
PI085009-1,3.7,10
PI086091-1,4.3,10
PI086903-3,4,10
PI090576-1,4,10
PI091100-4,4.3,10
PI091725-2,3.3,10
PI407790-1,3,10
PI407808-1,2.7,10
PI407814-1,3.5,10
PI407859-1,2,10
PI407859-2,4,10
PI407874-1,3.7,10
PI407874-2,3,10
PI407890-1,4,10
PI407946-1,3,10
PI407950-2,4.7,10
PI407961-1,3.7,10
PI407962-1,3.5,10
PI407962-2,4,10
PI407999-2,3,10
PI408004-1,4,10
PI408180-1,3.3,10
PI408180-2,3.7,10
PI408293-2,3,10
PI408311-2,4.7,10
PI424337-2,4,10
PI438440-1,3.3,10
PI438440-2,3.5,10
