acid,RUST,
PI398302,3.3,8
PI398303,3,8
PI398304,4.5,8
PI398308,3,8
PI398310,3,8
PI398326,2.7,8
PI398328,3.3,8
PI398332,4,8
PI398333,4,8
PI398335,2,8
PI398340,3,8
PI398343,4,8
PI398344,4,8
PI398347,4,8
PI398356,3.3,8
PI398359,2,8
PI398368,3.3,8
PI398377,2.7,8
PI398378,3,8
PI398385,3,8
PI398399,2.5,8
PI398400,3.7,8
PI398409,3.5,8
PI398440,3.3,8
PI398458,4.5,8
PI398469,3,8
PI398477,3.3,8
PI398480,4,8
PI398482,2.3,8
PI398488,3,8
PI398495,2.7,8
PI398500,2.5,8
PI398502,4,8
PI398513,4,8
PI398516,4.7,8
PI398537,3.3,8
PI398558,2.7,8
PI398560,3.3,8
PI398567,4,8
PI398571,3.7,8
PI398574,3.3,8
PI398575,3.5,8
PI398587,3.3,8
PI398590,3.5,8
PI398592,3,8
PI398593,3.3,8
PI398600,4.3,8
PI398606,3.5,8
PI398609,3.3,8
PI398619,4.3,8
PI398624,3,8
PI398633,4.3,8
PI398636,4,8
PI398639,2.7,8
PI398655,4,8
PI398659,3.7,8
PI398663,3,8
PI398671,3.3,8
PI398681,4,8
PI398690,3,8
PI398692,3,8
PI398694,3.7,8
PI398708,3.3,8
PI398709,3.3,8
PI398712,4.3,8
PI398716,3.7,8
PI398725,3,8
PI398726,2.7,8
PI398728,3,8
PI398734,2,8
PI398741,3.3,8
PI398749,4.7,8
PI398756,3.7,8
PI398804,4,8
PI398843,3.7,8
PI398847,4.3,8
PI398849,4.7,8
PI398859,4,8
PI398862,3,8
PI398863,3.7,8
PI398885,4.7,8
PI398902,3,8
PI398903,3.3,8
PI398911,3,8
PI398913,4,8
PI398924,4.3,8
PI398927,4,8
PI398930,3.7,8
PI398933,4.7,8
PI398935,3,8
PI398936,4.7,8
PI398937,2.7,8
PI398939,5,8
PI398946,4,8
PI398950,3,8
PI398960,3,8
PI398963,4,8
PI398975,3.7,8
PI398984,4,8
PI398985,3.5,8
PI398988,4,8
PI398997,4.7,8
PI398998,3,8
PI399003,4.3,8
PI399025,3.3,8
PI399033,3,8
PI399044,4,8
PI399054,4,8
PI399059,3,8
PI399066,3,8
PI399069,4,8
PI399070,2.5,8
PI404156,3,8
PI404162,3.5,8
PI404163,4.3,8
PI404174,3.7,8
PI404176,4.3,8
PI404193,5,8
PI407653,3.3,8
PI407656,3,8
PI407710,3.7,8
PI407713,3,8
PI407714,4,8
PI407715,2.7,8
PI407716,3.3,8
PI407717,3.7,8
PI407720,3,8
PI407730,1.5,8
PI407734,5,8
PI407738,4.5,8
PI407747,3.5,8
PI407765,3,8
PI407766,3,8
PI407775,3.7,8
PI407783,3,8
PI407792,3.5,8
PI407794,3,8
PI407798,4,8
PI407799,2,8
PI407801,3,8
PI407802,3.5,8
PI407804,3.7,8
PI407807,3,8
PI407815,3.5,8
PI407816,3,8
PI407819,2,8
PI407822,2.5,8
PI407825,4,8
PI407836,2.5,8
PI407837,4.7,8
PI407840,3.7,8
PI407841,3,8
PI407843,3,8
PI407846,2.5,8
PI407849,4,8
PI407854,3,8
PI407855,4,8
PI407857,3.7,8
PI407858,2.3,8
PI407865,3,8
PI407866,4,8
PI407873,4.5,8
PI407876,3.5,8
PI407879,3.5,8
PI407881,2.3,8
PI407882,2.7,8
PI407889,3,8
PI407891,3,8
PI407908,3,8
PI407909,3,8
PI407920,3,8
PI407929,3.7,8
PI407943,3,8
PI407948,3,8
PI407968,3,8
PI407978,3,8
PI407980,4,8
PI407984,4,8
PI407987,2,8
PI407989,2.7,8
PI407990,3.3,8
PI408002,4,8
PI408017,3,8
PI408034,2,8
PI408044,3.3,8
PI408053,3.7,8
PI408059,2.3,8
PI408077,3.3,8
PI408081,3,8
PI408085,2,8
PI408086,3.5,8
PI408087,3.5,8
PI408088,2.3,8
PI408090,2.7,8
PI408096,3,8
PI408106,2.7,8
PI408107,3,8
PI408122,3,8
PI408133,2.7,8
PI408149,3.5,8
PI408155,3.5,8
PI408156,4,8
PI408163,3.3,8
PI408164,3.7,8
PI408165,3,8
PI408168,4,8
PI408177,4,8
PI408179,3.7,8
PI408185,3.3,8
PI408199,3.5,8
PI408210,3,8
PI408251,3.7,8
PI408268,2.7,8
PI408271,4,8
PI408274,3,8
PI408278,4.3,8
PI408282,4,8
PI408283,2.7,8
PI408286,4.3,8
PI408305,4.3,8
PI408322,3.7,8
PI408324,3,8
PI408337,4,8
PI408345,3,8
PI416764,4,8
PI416767,4,8
PI416771,3.3,8
PI416772,4,8
PI416774,4,8
PI416778,3,8
PI416782,2.5,8
PI416783,3.5,8
PI416790,4,8
PI416803,3.7,8
PI416804,3.7,8
PI416807,3,8
PI416809,3,8
PI416811,4,8
PI416815,3.3,8
PI416818,3.5,8
PI416827,3.5,8
PI416841,2.7,8
PI416845,4,8
PI416851,3,8
PI416852,3.7,8
PI416854,3.7,8
PI416860,3.5,8
PI416865,4,8
PI416878,3,8
PI416886,3,8
PI416895,3,8
PI416898,2,8
PI416900,2.7,8
PI416903,3.3,8
PI416910,4.3,8
PI416915,2.3,8
PI416929,3.3,8
