acid,SCN5,
PI083940,5,8
PI083942,5,8
PI083944,5,8
PI083946,5,8
PI084509,5,8
PI084578,5,8
PI084579,5,8
PI084580,5,8
PI084581,5,8
PI084594,5,8
PI084609,5,8
PI084610,5,8
PI084611,5,8
PI084619,5,8
PI084628,5,8
PI084631,5,8
PI084632,5,8
PI084633,5,8
PI084637,5,8
PI084639,5,8
PI084644,5,8
PI084646,5,8
PI084656,5,8
PI084657,5,8
PI084660,5,8
PI084662,5,8
PI084664,4,8
PI084665,4,8
PI084666,5,8
PI084668,5,8
PI084669,5,8
PI084671,4,8
PI084673,5,8
PI084674,4,8
PI084679,5,8
PI084680,5,8
PI084681,5,8
PI084682,4,8
PI084683,5,8
PI084686,5,8
PI084713,5,8
PI084724,5,8
PI084734,5,8
PI084742,4,8
PI084750,5,8
PI084751,5,8
PI084757,5,8
PI084807,5,8
PI084810,5,8
PI084874,5,8
PI084896,5,8
PI084910,5,8
PI084912,5,8
PI084914,5,8
PI084921,5,8
PI084928,5,8
PI084939,5,8
PI084944,5,8
PI084949,5,8
PI084954,5,8
PI084957,5,8
PI084959,5,8
PI084960,5,8
PI084964,5,8
PI084965,4,8
PI084967,5,8
PI084970,5,8
PI084973,4,8
PI084976,5,8
PI084979,5,8
PI084985,4,8
PI084987,5,8
PI084992,5,8
PI085010,5,8
PI085012,5,8
PI085014,5,8
PI085019,5,8
PI085021,5,8
PI085089,5,8
PI085252,5,8
PI085272,5,8
PI085340,5,8
PI085342,5,8
PI085355,5,8
PI085356,5,8
PI085407,5,8
PI085420,5,8
PI085424,5,8
PI085437,5,8
PI085441,5,8
PI085456,5,8
PI085465,5,8
PI085469,4,8
PI085476,5,8
PI085490,4,8
PI085492,5,8
PI085505,5,8
PI085506,5,8
PI085508,5,8
PI085519,5,8
PI085550,5,8
PI085559,5,8
PI085590,5,8
PI085619,5,8
PI085624,5,8
PI085625,5,8
PI085626,5,8
PI085630,5,8
PI085658,5,8
PI085663,5,8
PI085665,5,8
PI085666,5,8
PI085668,5,8
PI085671,5,8
PI085878,4,8
PI085897,5,8
PI085903,5,8
PI086002,5,8
PI086004,4,8
PI086006,5,8
PI086007,5,8
PI086021,5,8
PI086022,5,8
PI086023,5,8
PI086024,5,8
PI086026,4,8
PI086027,5,8
PI086028,4,8
PI086029,5,8
PI086031,5,8
PI086032,5,8
PI086038,5,8
PI086045,5,8
PI086046,4,8
PI086050,4,8
PI086053,5,8
PI086060,4,8
PI086062,4,8
PI086063,5,8
PI086069,4,8
PI086071,5,8
PI086073,5,8
PI086075,5,8
PI086078,5,8
PI086081,5,8
PI086084,5,8
PI086089,5,8
PI086091,5,8
PI086098,5,8
PI086102,5,8
PI086103,5,8
PI086109,5,8
PI086111,5,8
PI086112,5,8
PI086113,5,8
PI086114,5,8
PI086115,5,8
PI086116,5,8
PI086122,5,8
PI086123,5,8
PI086128,5,8
PI086133,4,8
PI086136,5,8
PI086137,5,8
PI086138,5,8
PI086142,5,8
PI086144,5,8
PI086145,5,8
PI086146,5,8
PI086150,5,8
PI086153,5,8
PI086154,5,8
PI086301,5,8
PI086410,5,8
PI086411,5,8
PI086416,5,8
PI086425,5,8
PI086443,5,8
PI086445,5,8
PI086449,5,8
PI086452,5,8
PI086454,5,8
PI086456,5,8
PI086457,5,8
PI086463,5,8
PI086465,5,8
PI086469,5,8
PI086482,5,8
PI086490,4,8
PI086491,5,8
PI086502,5,8
PI086504,5,8
PI086510,5,8
PI086543,5,8
PI086737,5,8
PI086740,5,8
PI086741,5,8
PI086876,5,8
PI086878,5,8
PI086892,5,8
PI086904,5,8
PI086908,5,8
PI086978,5,8
PI086982,5,8
PI087002,4,8
PI087005,5,8
PI087011,5,8
PI087013,5,8
PI087026,5,8
PI087029,5,8
PI087037,5,8
PI087047,5,8
PI087059,5,8
PI087065,5,8
PI087074,5,8
PI087076,5,8
PI087165,5,8
PI087167,5,8
PI087457,5,8
PI087524,5,8
PI087525,5,8
PI087530,5,8
PI087531,5,8
PI087540,5,8
PI087542,5,8
PI087561,5,8
PI087571,5,8
PI087574,5,8
PI087575,5,8
PI087588,5,8
PI087606,5,8
PI087614,5,8
PI087615,5,8
PI087617,5,8
PI087618,5,8
PI087619,5,8
PI087620,5,8
PI087622,5,8
PI087623,5,8
PI087628,5,8
PI087629,5,8
PI087630,5,8
PI087631,5,8
PI087632,5,8
PI087634,5,8
PI087968,5,8
PI088282,5,8
PI088287,5,8
PI088288,5,8
PI088289,5,8
PI088290,5,8
PI088291,5,8
PI088292,5,8
PI088293,5,8
PI088294,5,8
PI088295,5,8
PI088296,5,8
PI088297,5,8
PI088298,5,8
PI088300,5,8
PI088301,5,8
PI088303,5,8
PI088304,5,8
PI088305,5,8
PI088306,5,8
PI088307,5,8
PI088308,4,8
PI088309,5,8
PI088310,4,8
PI088311,5,8
PI088312,5,8
PI088313,5,8
PI088349,5,8
PI088350,5,8
PI088351,5,8
PI088352,5,8
PI088353,4,8
PI088354,5,8
PI088355,4,8
PI088356,5,8
PI088357,5,8
PI088358,5,8
PI088359,5,8
PI088442,4,8
PI088443,5,8
PI088444,5,8
PI088445,4,8
PI088447,5,8
PI088448,5,8
PI088452,5,8
PI088455,5,8
PI088458,5,8
PI088459,5,8
PI088461,4,8
PI088466,5,8
PI088468,5,8
PI088479,4,8
PI088484,5,8
PI088486,5,8
PI088490,4,8
PI088491,4,8
PI088492,4,8
PI088495,4,8
PI088497,5,8
PI088499,4,8
PI088502,4,8
PI088508,4,8
PI088777,5,8
PI088780,5,8
PI088782,5,8
PI088783,5,8
PI088787,4,8
PI088788,4,8
PI088789,5,8
PI088790,5,8
PI088793,5,8
PI088797,5,8
PI088798,5,8
PI088799,5,8
PI088803,5,8
PI088804,5,8
PI088806,5,8
PI088809,5,8
PI088810,5,8
PI088811,5,8
PI088813,5,8
PI088814,5,8
PI088815,5,8
PI088816,5,8
PI088818,5,8
PI088820,5,8
PI088823,5,8
PI088825,5,8
PI088826,5,8
PI088886,5,8
PI088965,5,8
PI088997,5,8
PI089000,5,8
PI089001,5,8
PI089002,5,8
PI089004,5,8
PI089006,5,8
PI089007,5,8
PI089008,5,8
PI089009,5,8
PI089010,5,8
PI089012,5,8
PI089013,5,8
PI089014,5,8
PI089053,5,8
PI089055,5,8
PI089057,5,8
PI089058,5,8
PI089059,5,8
PI089060,5,8
PI089061,5,8
PI089063,5,8
PI089064,5,8
PI089065,5,8
PI089066,5,8
PI089067,5,8
PI089070,5,8
PI089072,5,8
PI089073,5,8
PI089074,5,8
PI089075,5,8
PI089117,5,8
PI089128,5,8
PI089130,5,8
PI089133,5,8
PI089134,5,8
PI089138,5,8
PI089143,5,8
PI089146,5,8
PI089150,5,8
PI089152,5,8
PI089153,5,8
PI089154,5,8
PI089156,5,8
PI089162,4,8
PI089167,5,8
PI089168,5,8
PI089170,5,8
PI089171,5,8
PI089469,5,8
PI089471,5,8
PI089769,5,8
PI089772,1,8
PI089773,5,8
PI089775,5,8
PI089783,4,8
PI089784,5,8
PI090138,5,8
PI090180,5,8
PI090208,5,8
PI090220,5,8
PI090221,5,8
PI090233,5,8
PI090241,5,8
PI090243,5,8
PI090245,5,8
PI090249,5,8
PI090251,5,8
PI090256,5,8
PI090258,5,8
PI090305,4,8
PI090354,5,8
PI090369,5,8
PI090392,5,8
PI090401,5,8
PI090402,5,8
PI090406,4,8
PI090407,5,8
PI090463,5,8
PI090481,5,8
PI090486,5,8
PI090490,5,8
PI090495,4,8
PI090499,5,8
PI090560,5,8
PI090563,5,8
PI090566,5,8
PI090567,5,8
PI090570,5,8
PI090573,5,8
PI090574,5,8
PI090575,5,8
PI090577,5,8
PI090578,5,8
PI090579,5,8
PI090723,5,8
PI090760,5,8
PI090763,1,8
PI091073,5,8
PI091082,5,8
PI091083,5,8
PI091089,5,8
PI091091,5,8
PI091100,5,8
PI091102,5,8
PI091103,5,8
PI091104,5,8
PI091107,5,8
PI091109,5,8
PI091110,5,8
PI091113,5,8
PI091114,5,8
PI091115,5,8
PI091116,5,8
PI091117,5,8
PI091119,5,8
PI091120,5,8
PI091123,5,8
PI091124,5,8
PI091126,5,8
PI091127,5,8
PI091129,5,8
PI091133,5,8
PI091138,5,8
PI091141,5,8
PI091142,5,8
PI091144,5,8
PI091149,5,8
PI091150,5,8
PI091151,4,8
PI091152,5,8
PI091153,5,8
PI091154,5,8
PI091156,5,8
PI091159,5,8
PI091160,5,8
PI091161,5,8
PI091162,5,8
PI091163,5,8
PI091164,5,8
PI091165,5,8
PI091166,5,8
PI091167,5,8
PI091169,5,8
PI091171,5,8
PI091174,5,8
PI091178,5,8
PI091180,5,8
PI091340,5,8
PI091341,5,8
PI091343,4,8
PI091346,5,8
PI091349,5,8
PI091557,5,8
PI091559,5,8
PI091646,5,8
PI091679,5,8
PI091684,5,8
PI091702,5,8
PI091719,5,8
PI091725,4,8
PI091729,5,8
PI091730,5,8
PI091731,5,8
PI091733,5,8
PI091734,5,8
PI091750,5,8
PI092109,5,8
PI092460,5,8
PI092463,5,8
PI092464,5,8
PI092465,5,8
PI092466,5,8
PI092468,5,8
PI092469,5,8
PI092470,5,8
PI092557,5,8
PI092560,5,8
PI092561,5,8
PI092563,5,8
PI092565,5,8
PI092568,5,8
PI092569,5,8
PI092570,5,8
PI092571,5,8
PI092572,5,8
PI092573,5,8
PI092576,5,8
PI092577,4,8
PI092580,5,8
PI092582,5,8
PI092583,5,8
PI092589,5,8
PI092590,5,8
PI092592,5,8
PI092593,5,8
PI092594,4,8
PI092595,1,8
PI092596,4,8
PI092598,5,8
PI092600,5,8
PI092601,5,8
PI092602,5,8
PI092603,5,8
PI092604,5,8
PI092605,5,8
PI092606,5,8
PI092607,5,8
PI092608,5,8
PI092611,5,8
PI092617,5,8
PI092618,5,8
PI092619,5,8
PI092623,5,8
PI092625,5,8
PI092627,5,8
PI092629,5,8
PI092630,5,8
PI092633,5,8
PI092636,5,8
PI092639,5,8
PI092640,5,8
PI092641,5,8
PI092642,5,8
PI092643,5,8
PI092645,5,8
PI092649,5,8
PI092651,5,8
PI092654,5,8
PI092659,5,8
PI092660,5,8
PI092661,5,8
PI092662,5,8
PI092663,5,8
PI092671,5,8
PI092672,5,8
PI092677,5,8
PI092681,5,8
PI092683,4,8
PI092684,5,8
PI092686,4,8
PI092687,5,8
PI092688,5,8
PI092689,4,8
PI092690,5,8
PI092691,4,8
PI092694,5,8
PI092696,5,8
PI092698,4,8
PI092702,5,8
PI092704,5,8
PI092705,5,8
PI092706,5,8
PI092707,5,8
PI092713,5,8
PI092717,4,8
PI092718,5,8
PI092719,5,8
PI092720,5,8
PI092722,5,8
PI092728,5,8
PI092733,4,8
PI092734,5,8
PI092743,5,8
PI092748,5,8
PI093055,5,8
PI093217,4,8
PI093559,5,8
PI093560,5,8
PI093563,4,8
PI093565,5,8
PI094159,4,8
PI095740,5,8
PI095769,5,8
PI095780,5,8
PI095801,5,8
PI095853,5,8
PI095860,5,8
PI095887,5,8
PI095959,5,8
PI095960,5,8
PI096089,5,8
PI096093,5,8
PI096118,5,8
PI096152,5,8
PI096162,5,8
PI096169,5,8
PI096171,5,8
PI096188,4,8
PI096193,5,8
PI096195,5,8
PI096199,5,8
PI096201,5,8
PI096257,4,8
PI096280,5,8
PI096321,5,8
PI096322,5,8
PI096333,5,8
PI096354,4,8
PI096549,1,8
PI096550,5,8
PI096783,5,8
PI096786,5,8
PI096787,5,8
PI096808,5,8
PI096927,4,8
PI096978,5,8
PI096983,5,8
PI096984,5,8
PI097038,5,8
PI097066,5,8
PI097081,4,8
PI097100,5,8
PI097139,5,8
PI097155,5,8
PI097220,5,8
PI097222,5,8
PI097225,5,8
PI097235,5,8
PI097605,5,8
PI097627,4,8
PI098243,5,8
PI103079,5,8
PI103080,4,8
PI103088,5,8
PI103091,5,8
PI103414,4,8
PI103415,4,8
PI104708,4,8
PI105579,5,8
PI123439,5,8
PI123440,5,8
PI123578,5,8
PI123587,5,8
PI123590,5,8
PI124871,4,8
PI131531,4,8
PI132201,4,8
PI132203,4,8
PI132204,4,8
PI132205,4,8
PI132206,4,8
PI132207,4,8
PI132214,5,8
PI132215,4,8
PI132217,5,8
PI133226,5,8
PI135589,5,8
PI135590,4,8
PI142491,5,8
PI145079,5,8
PI148259,5,8
PI148260,4,8
PI151249,5,8
PI152361,5,8
PI152573,5,8
PI153203,5,8
PI153208,5,8
PI153209,4,8
PI153210,5,8
PI153211,5,8
PI153212,4,8
PI153213,5,8
PI153214,5,8
PI153215,4,8
PI153216,5,8
PI153217,4,8
PI153218,5,8
PI153219,4,8
PI153221,4,8
PI153222,4,8
PI153223,5,8
PI153225,5,8
PI153226,4,8
PI153227,4,8
PI153229,1,8
PI153230,5,8
PI153231,4,8
PI153233,5,8
PI153234,5,8
PI153235,4,8
PI153236,4,8
PI153237,5,8
PI153238,5,8
PI153239,5,8
PI153240,5,8
PI153241,5,8
PI153242,5,8
PI153243,5,8
PI153244,5,8
PI153245,5,8
PI153246,5,8
PI153247,5,8
PI153249,5,8
PI153250,5,8
PI153251,5,8
PI153252,5,8
PI153253,5,8
PI153255,5,8
PI153259,5,8
PI153261,5,8
PI153262,5,8
PI153263,5,8
PI153264,4,8
PI153265,4,8
PI153266,5,8
PI153267,5,8
PI153270,5,8
PI153271,5,8
PI153272,4,8
PI153273,5,8
PI153274,5,8
PI153275,4,8
PI153276,5,8
PI153277,5,8
PI153278,5,8
PI153279,5,8
PI153280,5,8
PI153281,5,8
PI153282,5,8
PI153283,5,8
PI153284,5,8
PI153285,5,8
PI153286,5,8
PI153287,5,8
PI153288,5,8
PI153289,5,8
PI153290,5,8
PI153291,5,8
PI153292,4,8
PI153293,5,8
PI153294,5,8
PI153296,4,8
PI153297,4,8
PI153299,5,8
PI153300,5,8
PI153301,5,8
PI153302,4,8
PI153303,5,8
PI153304,5,8
PI153305,5,8
PI153306,5,8
PI153308,5,8
PI153309,5,8
PI153310,5,8
PI153311,5,8
PI153313,5,8
PI153314,5,8
PI153315,5,8
PI153316,5,8
PI153317,5,8
PI153318,5,8
PI153319,5,8
PI153320,5,8
PI153321,5,8
PI153681,5,8
PI153682,5,8
PI154189,5,8
PI154190,5,8
PI154191,5,8
PI154192,5,8
PI154193,5,8
PI154194,5,8
PI154195,5,8
PI154196,5,8
PI154197,5,8
PI154198,5,8
PI154199,5,8
PI154200,5,8
PI157394,5,8
PI157395,5,8
PI157396,5,8
PI157397,5,8
PI157398,5,8
PI157401,5,8
PI157402,5,8
PI157404,4,8
PI157405,4,8
PI157406,4,8
PI157408,5,8
PI157409,5,8
PI157410,5,8
PI157413,5,8
