acid,Fe2
PI424408,1
PI424423,1
PI424425,1
PI424463,1
PI424563,1
PI274210,1
PI339865B,1
PI339987,1
PI339997,1
PI340039,1
PI340040,1
PI340054,1
PI398197,1
PI398211,1
PI398221,1
PI398236,1
PI398257,1
PI398289,1
PI398327,1
PI398342,1
PI398379,1
PI398392,1
PI398408,1
PI398412,1
PI398425,1
PI398426,1
PI398430,1
PI398439,1
PI398441,1
PI398443,1
PI398450,1
PI398489,1
PI398501,1
PI398523,1
PI398529,1
PI398558,1
PI398588,1
PI398644,1
PI398705,1
PI398716,1
PI398738,1
PI398743,1
PI398753,1
PI398758,1
PI398759,1
PI398768,1
PI398801,1
PI398802,1
PI398838,1
PI399046,1
PI399070,1
PI406709,1
PI407860,1
PI407902B,1
PI407972C,1
PI408006,1
PI408013,1
PI408032A,1
PI408033,1
PI408039,1
PI408069,1
PI408070B,1
PI408071,1
PI408083A,1
PI408084B,1
PI408109A,1
PI408116,1
PI408126B,1
PI408133,1
PI408137B,1
PI408166A,1
PI408171,1
PI408174,1
PI408197B,1
PI408203A,1
PI408209B,1
PI408217B,1
PI408228B,1
PI408229A,1
PI408232,1
PI408233A,1
PI408233B,1
PI408234B,1
PI408235,1
PI408249,1
PI408256,1
PI408260C,1
PI408262C,1
PI408262D,1
PI408263,1
PI408271,1
PI408285B,1
PI408290,1
PI408314,1
PI417345B,1
PI423729,1
PI423746,1
PI423748C,1
PI423749,1
PI423750,1
PI423752A,1
PI423763,1
PI423765,1
PI423766,1
PI423768,1
PI423770,1
PI423778,1
PI423795,1
PI423800,1
PI423803,1
PI423809,1
PI423813,1
PI423816,1
PI423819,1
PI423825,1
PI423833B,1
PI423835,1
PI423841,1
PI423845B,1
PI423846,1
PI423851,1
PI424211,1
PI424216,1
PI424217A,1
PI424217B,1
PI424220A,1
PI424220B,1
PI424232B,1
PI424235,1
PI424236,1
PI424243,1
PI424250A,1
PI424253,1
PI424257A,1
PI424260,1
PI424262,1
PI424267,1
PI424270A,1
PI424270B,1
PI424271,1
PI424272B,1
PI424274B,1
PI424284B,1
PI424287,1
PI424288,1
PI424289,1
PI424296B,1
PI424299B,1
PI424301,1
PI424309A,1
PI424310,1
PI424311,1
PI424314,1
PI424315,1
PI424326,1
PI424327,1
PI424328,1
PI424330,1
PI424369,1
PI424379,1
PI424383,1
PI424384,1
PI424387,1
PI424395,1
PI424399,1
PI424401,1
PI424407,1
PI424421,1
PI424427,1
PI424428,1
PI424465,1
PI424469,1
PI424470,1
PI424472A,1
PI424472B,1
PI424497,1
PI398832,1
PI407851,1
PI274206,1
PI339985,1
PI339990,1
PI339994,1
PI340005,1
PI340020,1
PI340021A,1
PI340038,1
PI340041,1
PI340047,1
PI340053A,1
PI398182,1
PI398199,1
PI398222,1
PI398229,1
PI398232,1
PI398233,1
PI398234,1
PI398235,1
PI398271,1
PI398291,1
PI398310,1
PI398313,1
PI398314,1
PI398318,1
PI398319,1
PI398322,1
PI398326,1
PI398329,1
PI398366,1
PI398374,1
PI398382,1
PI398383,1
PI398384,1
PI398385,1
PI398396,1
PI398404,1
PI398410,1
PI398415,1
PI398446,1
PI398475,1
PI398490,1
PI398532,1
PI398549,1
PI398566,1
PI398599,1
PI398617,1
PI398704,1
PI398730,1
PI398735,1
PI398744,1
PI398746,1
PI398754,1
PI398757,1
PI398823,1
PI398839,1
PI398871,1
PI398872,1
PI398879,1
PI398883,1
PI398906,1
PI398910,1
PI399034,1
PI399094,1
PI404167,1
PI404179A,1
PI404181,1
PI404190,1
PI404194,1
PI404199,1
PI406707,1
PI407735,1
PI407795A,1
PI407805B,1
PI407868A,1
PI407898A,1
PI407902A,1
PI407914B,1
PI407927A,1
PI407958,1
PI407972A,1
PI408025,1
PI408028,1
PI408066A,1
PI408073,1
PI408126A,1
PI408136,1
PI408138B,1
PI408175,1
PI408209A,1
PI408217A,1
PI408222A,1
PI408234A,1
PI408237,1
PI408261,1
PI408262A,1
PI408262B,1
PI408264,1
PI408272A,1
PI408273,1
PI408285A,1
PI408312B,1
PI408327A,1
PI416854,1
PI417382,1
PI423721,1
PI423728B,1
PI423730A,1
PI423733,1
PI423735,1
PI423736A,1
PI423747B,1
PI423753A,1
PI423757,1
PI423771,1
PI423777,1
PI423779,1
PI423783,1
PI423793,1
PI423794,1
PI423796A,1
PI423796B,1
PI423797,1
PI423799A,1
PI423812,1
PI423830B,1
PI424227A,1
PI424231,1
PI424232A,1
PI424233,1
PI424234C,1
PI424249E,1
PI424252,1
PI424255A,1
PI424256,1
PI424258,1
PI424263,1
PI424265,1
PI424269A,1
PI424272A,1
PI424273A,1
PI424273B,1
PI424274A,1
PI424280,1
PI424281A,1
PI424283,1
PI424284A,1
PI424286,1
PI424291,1
PI424295,1
PI424296A,1
PI424299A,1
PI424303,1
PI424306,1
PI424318,1
PI424335A,1
PI424336,1
PI424347A,1
PI424347B,1
PI424348A,1
PI424357A,1
PI424364A,1
PI424364B,1
PI424372,1
PI424386A,1
PI424386B,1
PI424402A,1
PI424402B,1
PI424411,1
PI424432,1
PI424444C,1
PI424459,1
PI424462A,1
PI424467,1
PI424471,1
PI424481A,1
PI424484A,1
PI424485,1
PI424488B,1
PI424227B,1
PI417189,1
PI360841,1
PI339981,1
PI360845,1
PI360846,1
PI342004,1
PI378682B,1
PI423870,1
PI423885,1
PI423896,1
PI423933,1
PI423939,1
PI423941,1
PI423946,1
PI423948B,1
PI423951,1
PI423974,1
PI423987B,1
PI274456,1
PI417162,1
PI423932,1
PI423877,1
PI423902,1
PI423910,1
PI423983,1
PI424255C,1
PI424344,1
PI379560,1
PI399028,1
PI423893,1
PI417230,1
PI423890B,1
PI423977,1
PI423979,1
PI378682C,1
PI379556,1
PI398440,1
PI398495,1
PI398773,1
PI398790,1
PI423930A,1
PI393537,1
PI393538,1
PI393540,1
PI398741,1
PI398765,1
PI378682A,1
PI416753,1
PI416868B,1
PI416889,1
PI416898,1
PI417032,1
PI417186,1
PI416773,1
PI416784,1
PI416791,1
PI416830,1
PI416856,1
PI416862,1
PI416863,1
PI416866,1
PI416875,1
PI416892,1
PI416896,1
PI416916,1
PI416920,1
PI416929,1
PI416952,1
PI416953,1
PI416954,1
PI416967,1
PI416991,1
PI416993,1
PI417010,1
PI417020,1
PI417042,1
PI417050,1
PI417062,1
PI417087,1
PI417101,1
PI417137,1
PI417142,1
PI417151,1
PI417152,1
PI417154,1
PI417161,1
PI417173,1
PI417175,1
PI417177,1
PI417178,1
PI417185,1
PI417191,1
PI417218,1
PI417229,1
PI417244,1
PI417246,1
PI417255,1
PI417268,1
PI417274,1
PI417303,1
PI417315,1
PI417354,1
PI417355A,1
PI417355B,1
PI417364,1
PI417393,1
PI417455,1
PI417485,1
PI417487,1
PI407867A,1
PI408064,1
PI416769A,1
PI416779,1
PI416801,1
PI416839,1
PI416840,1
PI416859,1
PI416864,1
PI416872,1
PI416950,1
PI416958,1
PI416959,1
PI417102A,1
PI417102B,1
PI417207,1
PI417371,1
PI417431,1
PI416918,1
PI407805C,1
PI408269B,1
PI416769C,1
PI416829,1
PI416841,1
PI416857,1
PI416869,1
PI416913,1
PI416914,1
PI416965,1
PI416968,1
PI416983,1
PI416984,1
PI416987,1
PI416992,1
PI416997,1
PI417001,1
PI417002,1
PI417003,1
PI417004,1
PI417022,1
PI417033B,1
PI417035,1
PI417056,1
PI417070,1
PI417092,1
PI417176,1
PI417180,1
PI417198,1
PI417200,1
PI417202,1
PI417231,1
PI417254,1
PI417279,1
PI417283,1
PI417298,1
PI417324B,1
PI417367,1
PI417368,1
PI417400,1
PI417414B,1
PI417417,1
PI417424,1
PI417479,1
PI417480,1
PI417488,1
PI423871,1
PI424580,1
PI274455,1
PI281850,1
PI360959,1
PI360836,1
PI342005,1
PI360842,1
PI360848,1
PI274423,1
PI360838,1
PI423865,1
PI393535,1
PI417147,1
PI424312,1
PI424492,1
PI274420,1
PI379562B,1
PI423798B,1
PI423914A,1
PI423973,1
PI416763,1
PI416789,1
PI416817,1
PI416832,1
PI416833,1
PI416852,1
PI416868A,1
PI416870,1
PI416943,1
PI417017,1
PI417077,1
PI417323,1
PI317334B,1
PI340011,1
PI340031A,1
PI358313,1
PI358318A,1
PI360835,1
PI360837,1
PI379559C,1
PI379559D,1
PI379561,1
PI391577,1
PI391586,1
PI398516,1
PI398637,1
PI398672,1
PI416748,1
PI416749,1
PI416750,1
PI416752,1
PI416774,1
PI416802,1
PI416816,1
PI416818,1
PI416853,1
PI416865,1
PI416891,1
PI416897,1
PI416917,1
PI416956,1
PI416966,1
PI416986,1
PI416989,1
PI416990,1
PI416994,1
PI416996,1
PI416998,1
PI417018,1
PI417023,1
PI417027,1
PI417029,1
PI417044,1
PI417045,1
PI417051,1
PI417060,1
PI417064,1
PI417066,1
PI417067,1
PI417072,1
PI417075,1
PI417100,1
PI417145,1
PI417148,1
PI417167,1
PI417170,1
PI417174,1
PI417183,1
PI417201,1
PI417214,1
PI417219,1
PI417225,1
PI417257,1
PI417282,1
PI417285,1
PI417304,1
PI417321,1
PI417325,1
PI417333,1
PI417334,1
PI417338,1
PI417343,1
PI417344,1
PI417353,1
PI417362,1
PI417384,1
PI417425,1
PI417436,1
PI417447,1
PI417452,1
PI417454,1
PI417456,1
PI417460,1
PI417461,1
PI417482,1
PI423892,1
PI423935,1
PI423936,1
PI423938,1
PI423940,1
PI423945,1
PI423948A,1
PI423950,1
PI360847,1
PI273484,1
PI340042,1
PI398357,1
PI398360,1
PI398537,1
PI398559,1
PI398652,1
PI398767,1
PI398916,1
PI398923,1
PI399054,1
PI408065,1
PI408070A,1
PI408179,1
PI408332A,1
PI416755,1
PI416756,1
PI416837,1
PI416842,1
PI416855,1
PI416882,1
PI416888,1
PI416919,1
PI416939,1
PI416995,1
PI417179B,1
PI417199,1
PI417276,1
PI417293,1
PI417301,1
PI417413,1
PI417435,1
PI417437,1
PI417472C,1
PI423926,1
PI424282,1
PI424323,1
PI424449,1
PI424564,1
PI339734,1
PI339736,1
PI385942,1
PI398201,1
PI398367,1
PI398431,1
PI398470,1
PI398522,1
PI398531,1
PI398626,1
PI398685,1
PI398909,1
PI398920,1
PI398922,1
PI398929,1
PI398933,1
PI398934,1
PI398995,1
PI398997,1
PI407905,1
PI408260A,1
PI416769B,1
PI416772,1
PI416786,1
PI416831,1
PI416858,1
PI416879,1
PI416884,1
PI416934,1
PI416945,1
PI416971,1
PI417006,1
PI417007,1
PI417019,1
PI417021,1
PI417028,1
PI417033A,1
PI417054,1
PI417057,1
PI417065,1
PI417086A,1
PI417096,1
PI417107,1
PI417163,1
PI417168,1
PI417171,1
PI417179A,1
PI417195,1
PI417217,1
PI417232,1
PI417249,1
PI417269,1
PI417278,1
PI417287,1
PI417309A,1
PI417324A,1
PI417339,1
PI417340,1
PI417397,1
PI417429,1
PI417433,1
PI417468,1
PI417472A,1
PI417472B,1
PI417495,1
PI417577,1
PI417580,1
PI423740,1
PI423888,1
PI423890C,1
PI424255B,1
PI424281B,1
PI424335B,1
PI424377,1
PI360955A,1
PI417565,1
PI399074,1
PI423706,1
PI361078,1
PI417512A,1
PI417514,1
PI407716,1
PI424148,1
PI297552,1
PI347551,1
PI378679,1
PI424242,1
PI290114,1
PI291312,1
PI297501,1
PI297516,1
PI297519,1
PI319536C,1
PI319538,1
PI339868A,1
PI347540B,1
PI347549,1
PI360954,1
PI361059A,1
PI361068,1
PI361069,1
PI361070,1
PI361073,1
PI361082,1
PI361083,1
PI361086,1
PI361100,1
PI361102,1
PI361114,1
PI372408,1
PI372410,1
PI372412,1
PI372420,1
PI378675A,1
PI378680A,1
PI378680B,1
PI417511,1
PI417513A,1
PI290126A,1
PI290134,1
PI291304,1
PI291305,1
PI291322,1
PI297514,1
PI347552A,1
PI347560,1
PI361088A,1
PI361115,1
PI378677C,1
PI378680D,1
PI404192B,1
PI416904C,1
PI417294,1
PI417509,1
PI417515,1
PI417516,1
PI417572A,1
PI417095,1
PI423954,1
PI379563,1
PI423949,1
PI416930,1
PI360957,1
PI416845,1
PI416890,1
PI416976,1
PI417512B,1
PI423864,1
PI416757,1
PI416776,1
PI416805,1
PI416878,1
PI416910,1
PI416911,1
PI416915,1
PI416923,1
PI416963,1
PI416978,1
PI416985,1
PI417012,1
PI417143,1
PI417210,1
PI417228,1
PI417296,1
PI417300,1
PI417391,1
PI417453,1
PI417187,1
PI423868,1
PI423872,1
PI360953,1
PI379559A,1
PI342435A,1
PI342435B,1
PI358316A,1
PI358316B,1
PI358318B,1
PI379559B,1
PI417476,1
PI317337,1
PI423942,1
PI423943,1
PI423955,1
PI317336,1
PI358316C,1
PI360963A,1
PI360963B,1
PI361111,1
PI372423,1
PI416746,1
PI416964,1
PI417046,1
PI417381,1
PI417446,1
PI417449,1
PI417450,1
PI423867,1
PI423869,1
PI358314,1
PI317334A,1
PI342437,1
PI416747,1
PI416751,1
PI416782,1
PI416887,1
PI416906,1
PI416921,1
PI416940,1
PI416974,1
PI417024,1
PI417043,1
PI417144,1
PI417196A,1
PI417196B,1
PI417299,1
PI417326,1
PI417327,1
PI417451,1
PI423880,1
PI423891,1
PI423947,1
PI423953,1
PI423987A,1
PI423897,1
PI424358,1
PI398935,1
PI424348B,1
PI407788A,1
PI407939A,1
PI407981C,1
PI398878,1
PI398927,1
PI407903A,1
PI398421,1
PI424245,1
PI398601,1
PI417412,1
PI417245,1
PI379562A,1
PI399043,1
PI417458,1
PI340034,1
PI398251,1
PI398249,1
PI398281,1
PI398258,1
PI274211,1
PI398256,1
PI398260,1
PI398265,1
PI398274,1
PI424385,1
PI398243,1
PI398248,1
PI417297,1
PI548353,1
PI347540A,1
PI317333,1
PI360958,1
PI360844,1
PI407946-2,1
PI339865A,1
PI417150,1
PI398752,1
PI398312,1
PI398643,1
PI398693,1
PI424219A,1
PI398223,1
PI398359,1
PI398664,1
PI398706,1
PI407926A,1
PI407900,1
PI407914D,1
PI407924,1
PI408062,1
PI408068B,1
PI408288,1
PI407821A,1
PI407908,1
PI408111,1
PI407974B,1
PI407937-1,1
PI407975A,1
PI407977,1
PI408097,1
PI408125B,1
PI424241,1
PI398356,1
PI273483E,1
PI398296,1
PI398684,1
PI398687,1
PI398708,1
PI398709,1
PI407903B,1
PI417241,1
PI417576,1
PI398350,1
PI398358,1
PI398472,1
PI398519,1
PI398657,1
PI398698,1
PI398788,1
PI398912,1
PI398926,1
PI407858,1
PI407972B,1
PI424370B,1
PI398226,1
PI398368,1
PI398492,1
PI398655,1
PI398695,1
PI398696,1
