acid,PRR25
PI424570,1
PI407863,1
PI424024,1
PI424605A,1
PI424255C,1
PI423979,1
PI398656,1
PI416913,1
PI417033B,1
PI417459,1
PI567424B,1
PI407914C,1
PI407918B,1
PI408227,1
PI407979,1
PI423808A,1
PI424349B,1
PI424349C,1
PI408194,1
PI408216B,1
PI408269A,1
PI408318A,1
PI424292,1
PI417082,1
PI416866,1
PI417355A,1
PI416958,1
PI423814A,1
PI398841,1
PI398227,1
PI398230,1
PI398297,1
PI398702,1
PI398763,1
PI423734,1
PI424214A,1
PI424244,1
PI398206,1
PI398245,1
PI398250,1
PI398375,1
PI423788,1
PI423802,1
PI424489A,1
PI424489B,1
PI398225,1
PI399092,1
PI423784,1
PI424249D,1
PI398884,1
PI408050A,1
PI398919,1
PI407904,1
PI407918A,1
PI408114,1
PI408198,1
PI408201A,1
PI408335B,1
PI424426,1
PI407796,1
PI408076A,1
PI408172,1
PI408310A,1
PI427106,1
PI408021,1
PI408230,1
PI424140,1
PI424566,1
PI424579,1
PI424617,1
PI408050B,1
PI420338,1
PI424517A,1
PI424524,1
PI424535A,1
PI408295B,1
PI408296A,1
PI408312A,1
PI424155A,1
PI424587,1
PI423870,1
PI423896,1
PI423941,1
PI423946,1
PI423932,1
PI417230,1
PI379556,1
PI416784,1
PI416863,1
PI416896,1
PI416991,1
PI416993,1
PI417010,1
PI417087,1
PI417151,1
PI417178,1
PI417191,1
PI417218,1
PI417274,1
PI417364,1
PI417485,1
PI417487,1
PI416779,1
PI416801,1
PI416859,1
PI416864,1
PI416872,1
PI416950,1
PI417102A,1
PI417102B,1
PI417371,1
PI417431,1
PI408269B,1
PI416769C,1
PI416829,1
PI416992,1
PI417001,1
PI417002,1
PI417035,1
PI417056,1
PI417070,1
PI417198,1
PI417200,1
PI417231,1
PI417279,1
PI417298,1
PI417488,1
PI424580,1
PI417328,1
PI417192,1
PI398251,1
PI398244,1
PI407981C,1
PI417012,1
PI423706,1
PI417560,1
PI417227,1
PI417210,1
PI417300,1
PI416911,1
PI423872,1
PI384467,1
PI399074,1
PI423718,1
PI361078,1
PI417512A,1
PI417514,1
PI417552,1
PI417564,1
PI424207,1
PI424148,1
PI379563,1
PI417512B,1
PI423864,1
PI416805,1
PI567288A,1
PI171442,1
PI567678,1
PI567742A,1
PI547862,1
PI591510,1
PI591511,1
PI587913B,1
PI567727A,1
PI567696C,1
PI567719,1
PI567614A,1
PI567435A,1
PI567499,1
PI567469A,1
PI567358,1
PI594448B,1
PI594453,1
PI594454B,1
PI594781,1
PI594888,1
PI594459,1
PI594415B,1
PI594439B,1
PI594402,1
PI594409B,1
PI594409A,1
PI594427C,1
PI594430C,1
PI594433A,1
PI594466,1
PI594496,1
PI594511A,1
PI594549C,1
PI594553,1
PI594556,1
PI594595,1
PI594696A,1
PI594696B,1
PI594701,1
PI594717B,1
PI594760A,1
PI594820B,1
PI547764,1
PI547874,1
PI547876,1
PI594758A,5
PI594430E,5
PI594846,5
PI594485,5
PI594513,5
PI594599,5
PI594844,5
PI594618C,5
PI594490,5
PI594659C,5
PI594814,5
PI594475B,5
PI594662A,5
PI594878,5
PI594401C,5
PI594461A,5
PI594464,5
PI594477,5
PI594480C,5
PI594486A,5
PI594489,5
PI594493,5
PI594505A,5
PI594572A,5
PI594586B,5
PI594586C,5
PI594600,5
PI594605B,5
PI594607,5
PI594608B,5
PI594609,5
PI594610,5
PI594611,5
PI594625,5
PI594627A,5
PI594627B,5
PI594631B,5
PI594635C,5
PI594638A,5
PI594638B,5
PI594671,5
PI594672,5
PI594677,5
PI594678,5
PI594691,5
PI594759B,5
PI594759C,5
PI594759D,5
PI594778,5
PI594792B,5
PI594799A,5
PI594805B,5
PI594809A,5
PI594809B,5
PI594810A,5
PI594812,5
PI594833,5
PI594835B,5
PI594843,5
PI594853,5
PI594854,5
PI594860,5
PI594882B,5
PI594492A,5
PI594790C,5
PI594794B,5
PI594512C,5
PI594501B,5
PI594452,5
PI594509A,5
PI594707,5
PI594436,5
PI594444B,5
PI594470C,5
PI594471C,5
PI594495,5
PI594557A,5
PI594617,5
PI594622,5
PI594626,5
PI594634,5
PI594635A,5
PI594675,5
PI594697,5
PI594699,5
PI594700A,5
PI594711B,5
PI594753A,5
PI594845,5
PI587719A,5
PI587790B,5
PI587631A,5
PI587603A,5
PI587790A,5
PI587687A,5
PI587759,5
PI587830A,5
PI587743,5
PI587885,5
PI587629,5
PI587618A,5
PI587818,5
PI587740,5
PI587814A,5
PI588002,5
PI587703B,5
PI587814B,5
PI587816,5
PI587825A,5
PI587583A,5
PI587760,5
PI587742C,5
PI587634A,5
PI587634B,5
PI587719C,5
PI587802,5
PI587824,5
PI588009,5
PI588026B,5
PI587562,5
PI587563A,5
PI587577H,5
PI587606D,5
PI587645,5
PI587646,5
PI587663,5
PI587665,5
PI587683,5
PI587684B,5
PI587687B,5
PI587693,5
PI587705A,5
PI587720,5
PI587721B,5
PI587723A,5
PI587726B,5
PI587732,5
PI587733,5
PI587735,5
PI587747,5
PI587788C,5
PI587815B,5
PI587570B,5
PI587698C,5
PI587726A,5
PI587670A,5
PI587765,5
PI587813,5
PI587580A,5
PI587577B,5
PI587603C,5
PI587994A,5
PI587606B,5
PI587662B,5
PI587736A,5
PI587772,5
PI587736B,5
PI587841A,5
PI587722,5
PI587851A,5
PI588019A,5
PI587612D,5
PI587656,5
PI587858,5
PI587608A,5
PI587873,5
PI587986B,5
PI587913A,5
PI339981,5
PI340034,5
PI342004,5
PI291309D,5
PI587752,5
PI587559B,5
PI587560A,5
PI587700C,5
PI588017A,5
PI587838,5
PI587603B,5
PI587674B,5
PI587758,5
PI587574B,5
PI587748,5
PI587768,5
PI587778,5
PI587762,5
PI587582,5
PI587625A,5
PI587867,5
PI587626,5
PI587799,5
PI587553B,5
PI587564B,5
PI587716C,5
PI587723B,5
PI587725C,5
PI587731,5
PI587739A,5
PI587848,5
PI587853,5
PI587854A,5
PI587569,5
PI587579B,5
PI587863B,5
PI587783,5
PI587657,5
PI587573B,5
PI587620D,5
PI588026C,5
PI588024A,5
PI587734,5
PI588025,5
PI587559A,5
PI587716A,5
PI588015A,5
PI587630C,5
PI587560B,5
PI587596B,5
PI587557C,5
PI291331,5
PI587684A,5
PI587823,5
PI587658B,5
PI587641A,5
PI587725A,5
PI587983B,5
PI587606C,5
PI587980C,5
PI587664B,5
PI587705B,5
PI588014A,5
PI587847,5
PI587766,5
PI587788B,5
PI587606E,5
PI587788A,5
PI587575B,5
PI587694,5
PI587698B,5
PI587749,5
PI587915D,5
PI587988B,5
PI587727,5
PI587844B,5
PI587586,5
PI588011E,5
PI587698A,5
PI587797,5
PI587659B,5
PI587898,5
PI587616,5
PI587976B,5
PI587982B,5
PI587821A,5
PI587560C,5
PI587575A,5
PI587588A,5
PI587592A,5
PI587649,5
PI587676,5
PI587700B,5
PI588011A,5
PI587667,5
PI587767A,5
PI587812A,5
PI588031,5
PI587613,5
PI587821B,5
PI587639,5
PI587692A,5
PI587602,5
PI587974,5
PI587604B,5
PI587604A,5
PI588013,5
PI587820B,5
PI587830B,5
PI587982A,5
PI587573A,5
PI587597B,5
PI587620A,5
PI587809A,5
PI587820A,5
PI587966B,5
PI587968C,5
PI587987B,5
PI587993,5
PI588008D,5
PI588011D,5
PI588015B,5
PI588015D,5
PI588050A,5
PI588052A,5
PI588052B,5
PI588032A,5
PI587880A,5
PI587905,5
PI587886,5
PI587794,5
PI587718,5
PI587865,5
PI587868,5
PI587973B,5
PI587750,5
PI587761,5
PI587803,5
PI587833,5
PI587855,5
PI587871,5
PI587976A,5
PI587989B,5
PI587998C,5
PI588020,5
PI587829,5
PI587585A,5
PI587630A,5
PI587998E,5
PI588014C,5
PI587566A,5
PI587581,5
PI587584,5
PI587685,5
PI587846A,5
PI587901,5
PI588032B,5
PI587585B,5
PI587635,5
PI587709B,5
PI587710,5
PI587785,5
PI587870,5
PI587998B,5
PI587721C,5
PI588005C,5
PI587552,5
PI587558A,5
PI587563B,5
PI587564A,5
PI587567A,5
PI587572A,5
PI587577C,5
PI587578,5
PI587579C,5
PI587593,5
PI587600A,5
PI587600B,5
PI587601E,5
PI587607B,5
PI587608C,5
PI587622A,5
PI587622B,5
PI587627B,5
PI587630B,5
PI587633A,5
PI587634C,5
PI587641B,5
PI587643B,5
PI587644,5
PI587647B,5
PI587648,5
PI587650,5
PI587654,5
PI587661A,5
PI587668A,5
PI587677,5
PI587679,5
PI587680,5
PI587687D,5
PI587690,5
PI587692B,5
PI587695,5
PI587701,5
PI587702,5
PI587707,5
PI587708,5
PI587709A,5
PI587715,5
PI587725B,5
PI587728,5
PI587729,5
PI587755,5
PI587773,5
PI587780,5
PI587781,5
PI587796,5
PI587804,5
PI587805,5
PI587806A,5
PI587807,5
PI587819,5
PI587844C,5
PI587854B,5
PI587859,5
PI587860,5
PI587862A,5
PI587862B,5
PI587864A,5
PI587864B,5
PI587866,5
PI587888,5
PI587892A,5
PI587892B,5
PI587892C,5
PI587895,5
PI587896,5
PI587899,5
PI587904,5
PI587968B,5
PI587970A,5
PI587972,5
PI587977,5
PI587978A,5
PI587979A,5
PI587980A,5
PI587980B,5
PI587991,5
PI587992D,5
PI587992E,5
PI587995,5
PI587997A,5
PI587997B,5
PI587998G,5
PI588003,5
PI588004,5
PI588005A,5
PI588005B,5
PI588007A,5
PI588007B,5
PI588039,5
PI588051,5
PI588053A,5
PI587647A,5
PI587666,5
PI587795,5
PI587617,5
PI587828,5
PI587633D,5
PI587688,5
PI587862C,5
PI587863A,5
PI587976C,5
PI587999C,5
PI588001,5
PI588008C,5
PI588011B,5
PI587640,5
PI587998D,5
PI587998A,5
PI587561,5
PI587604C,5
PI587614,5
PI587651,5
PI587724,5
PI587827,5
PI587846B,5
PI587990,5
PI588026A,5
PI588030,5
PI588050B,5
PI588008A,5
PI587857,5
PI587809B,5
PI587631B,5
PI587660B,5
PI587643A,5
PI587668B,5
PI588010A,5
PI587554,5
PI587587A,5
PI587632B,5
PI587642A,5
PI587988A,5
PI587558C,5
PI548631,5
PI587976D,5
PI587686A,5
PI587686B,5
PI587681,5
PI587817,5
PI587986A,5
PI587984B,5
PI588027A,5
PI587887B,5
PI587887C,5
PI587738,5
PI587754,5
PI587763,5
PI587737,5
PI587741,5
PI587742A,5
PI587579A,5
PI587999A,5
PI587615,5
PI588014B,5
PI587985A,5
PI587603D,5
PI408140B,5
PI408079A,5
PI567374,5
PI417268,5
PI567683A,5
PI567534,5
PI407998C,5
PI567607A,5
PI408124B,5
PI407783,5
PI567544,5
PI567606,5
PI407778C,5
PI567539,5
PI424506,5
PI423975,5
PI398985,5
PI424561,5
PI398930,5
PI407805D,5
PI408138A,5
PI424175,5
PI424567,5
PI398636,5
PI417380,5
PI393541A,5
PI567535A,5
PI398717,5
PI567533,5
PI567536,5
PI423808B,5
PI398621,5
PI398867,5
PI424305,5
PI399119,5
PI404169B,5
PI407776,5
PI408020B,5
PI408275,5
PI408281A,5
PI407658B,5
PI407833A,5
PI408135B,5
PI427088E,5
PI424523B,5
PI424143,5
