acid,bp488001,
PI507307,3,8
PI507308,3,8
PI507310,3,8
PI507314,3,8
PI507321,3,8
PI507322,3,8
PI507324,3,8
PI507326,3,8
PI507327,3,8
PI507329,1,8
PI507330,3,8
PI507331,3,8
PI507333,3,8
PI507335,3,8
PI507336,1,8
PI507337,3,8
PI507338,3,8
PI507340,1,8
PI507342,2,8
PI507343,3,8
PI507345,1,8
PI507346,3,8
PI507356,3,8
PI507357,3,8
PI507358,3,8
PI507359,3,8
PI507360,3,8
PI507361,3,8
PI507371,1,8
PI507372,3,8
PI507374,3,8
PI507375,3,8
PI507376,3,8
PI507377,3,8
PI507378,3,8
PI507380,3,8
PI507381,3,8
PI507388,3,8
PI507389,3,8
PI507391,3,8
PI507393,3,8
PI507394,3,8
PI507397,3,8
PI507399,1,8
PI507401,3,8
PI507402,3,8
PI507403,3,8
PI507409,3,8
PI507410,3,8
PI507414,3,8
PI507416,3,8
PI507417,3,8
PI507420,3,8
PI507421,3,8
PI507422,3,8
PI507423,3,8
PI507426,3,8
PI507427,3,8
PI507428,3,8
PI507433,3,8
PI507437,3,8
PI507438,3,8
PI507444,2,8
PI507450,3,8
PI507451,3,8
PI507452,3,8
PI507453,3,8
PI507454,3,8
PI507457,3,8
PI507459,3,8
PI507462,3,8
PI507463,3,8
PI507469,3,8
PI507470,1,8
PI507474,3,8
PI507475,3,8
PI507476,3,8
PI507477,3,8
PI507478,1,8
PI507479,1,8
PI507482,3,8
PI507484,3,8
PI507485,3,8
PI507486,3,8
PI507488,3,8
PI507489,3,8
PI507490,3,8
PI507495,3,8
PI507496,3,8
PI507497,3,8
PI507498,3,8
PI507499,3,8
PI507503,1,8
PI507504,1,8
PI507505,1,8
PI507506,1,8
PI507507,3,8
PI507508,3,8
PI507510,3,8
PI507511,1,8
PI507512,1,8
PI507514,3,8
PI507518,3,8
PI507532,3,8
PI507533,3,8
PI507534,3,8
PI507536,3,8
PI507537,3,8
PI507538,1,8
PI507539,3,8
PI507542,3,8
PI507545,3,8
PI507546,1,8
PI507549,3,8
PI507550,3,8
PI507551,3,8
PI507556,3,8
PI507557,3,8
PI507558,1,8
PI507559,1,8
PI507560,3,8
PI507561,3,8
PI507562,3,8
PI507566,3,8
PI507568,2,8
PI507572,3,8
PI507574,3,8
PI507575,3,8
PI507576,3,8
PI507577,3,8
PI507578,3,8
PI507579,3,8
PI507690,1,8
PI508266,1,8
PI508267,1,8
PI508268,1,8
PI508294,2,8
PI508295,2,8
PI508297,1,8
PI508298,2,8
PI509076,1,8
PI509077,2,8
PI509078,1,8
PI509080,1,8
PI509081,1,8
PI509082,2,8
PI509084,1,8
PI509086,2,8
PI509090,2,8
PI509091A,3,9
PI509091B,3,9
PI509092,1,8
PI509093,2,8
PI509094,1,8
PI509095,1,8
PI509096,2,8
PI509097,3,8
PI509098,2,8
PI509099,2,8
PI509100,1,8
PI509101,2,8
PI509102,2,8
PI509103,1,8
PI509104,2,8
PI509106,1,8
PI509108,2,8
PI509109,1,8
PI509113,3,8
PI515960,1,8
PI518284,2,8
PI518285,3,8
PI518286,2,8
PI518288,1,8
PI518295,1,8
PI518296,1,8
PI518297,3,8
PI518665,1,8
PI518721,2,8
PI518722,2,8
PI518723,1,8
PI518726,2,8
PI518727,1,8
PI518728,1,8
PI518729,1,8
PI518756,1,8
PI518772,2,8
PI518825,2,8
PI518833,2,8
PI522236,1,8
PI527704,1,8
PI531068,1,8
PI533602,1,8
PI533604,1,8
PI533605,1,8
PI536637,1,8
PI548402S,5,9
PI548422S,5,9
PI548436,3,8
PI548437,2,8
PI548438,5,8
PI548439,5,8
PI548440,4,8
PI548441,5,8
PI548442,3,8
PI548443,2,8
PI548444,4,8
PI548445,1,8
PI548446,5,8
PI548447,3,8
PI548448,5,8
PI548449,5,8
PI548450,5,8
PI548451,3,8
PI548452,4,8
PI548453,4,8
PI548454,5,8
PI548455,5,8
PI548456,5,8
PI548457,5,8
PI548458,5,8
PI548459,3,8
PI548460,5,8
PI548461,4,8
PI548462,3,8
PI548463,4,8
PI548464,4,8
PI548465,2,8
PI548466,5,8
PI548467,3,8
PI548468,4,8
PI548469,5,8
PI548470,3,8
PI548471,4,8
PI548472,5,8
PI548473,5,8
PI548474,3,8
PI548475,5,8
PI548476,4,8
PI548477,3,8
PI548478,3,8
PI548479,3,8
PI548480,5,8
PI548481,4,8
PI548482,5,8
PI548483,5,8
PI548484,5,8
PI548485,5,8
PI548486,5,8
PI548487,4,8
PI548488,5,8
PI548489,4,8
PI548490,4,8
PI548491,5,8
PI548492,5,8
PI548493,4,8
PI548494,5,8
PI548495,3,8
PI548496,5,8
PI548497,4,8
PI548653,3,8
PI548654,1,8
PI548655,1,8
PI548656,1,8
PI548657,5,8
PI548658,1,8
PI548659,1,8
PI548660,1,8
PI548661,1,8
PI548662,1,8
PI548663,1,8
PI548664,1,8
PI548665,1,8
PI548666,1,8
