acid,SCN3.491576,SCN3code.491576
PI464914A,5,4.8
PI464914B,5,4.3
PI464931,5,4.7
PI467338,5,4.8
PI468408A,5,5
PI532459,5,4.7
PI532460A,5,4.5
PI538389,5,4.8
PI464901,5,4.4
PI475783A,5,4.4
PI475783B,5,4.4
PI475784,5,5
PI475785,5,4.3
PI475812B,5,4.4
PI475818,5,5
PI475822B,5,5
PI475822C,5,5
PI490765,5,5
PI490766,5,5
PI490767,5,5
PI491548,5,5
PI503338,5,5
PI518719,5,4.7
PI538385B,5,5
PI458062A,5,5
PI458149,5,5
PI458190,5,4.8
PI461419,5,4.8
PI464877,5,4.8
PI464878,5,5
PI464879,5,5
PI464880,5,4.8
PI464884,5,4.6
PI464893,5,4.7
PI464894,5,5
PI464904,5,5
PI464905,5,5
PI464913,5,4.7
PI464916,5,5
PI464921,5,5
PI464922,5,5
PI464924,5,4.7
PI464940,5,4.8
PI464941,5,4.7
PI466749A,5,5
PI466749B,5,4.5
PI467316,5,4
PI467318B,5,5
PI467325,5,4.6
PI467326,5,4.4
PI467330,5,4
PI467331,5,4.3
PI467334A,5,5
PI467334B,5,5
PI467335B,5,5
PI467337,5,4.8
PI467340,5,5
PI467341,5,5
PI467347,5,4.7
PI468385,5,4.8
PI468408B,5,4.7
PI468408C,5,5
PI468914,5,4
PI470221,5,4.6
PI470222,5,5
PI470223,5,5
PI470225,5,5
PI470226,5,4.7
PI475811A,5,5
PI475811B,5,4.8
PI475812A,5,5
PI475813B,5,5
PI475815,5,5
PI475816,5,5
PI475819,5,5
PI475820,5,5
PI475823,5,5
PI475824B,5,5
PI475828,5,5
PI475829A,5,5
PI476344,5,5
PI476352A,5,4.8
PI476352B,5,4.8
PI476352C,5,4.8
PI476881,5,4.9
PI476899,5,5
PI479711,5,5
PI479713,5,5
PI479717,5,5
PI479718B,5,4.8
PI479720,5,5
PI479721,5,4.8
PI479723,5,5
PI479725A,5,5
PI479725B,5,4.8
PI479729,5,5
PI479730,5,4.8
PI479732,5,5
PI479738,5,5
PI479741,5,5
PI483082A,5,5
PI483082B,5,5
PI486353,5,5
PI486354A,5,5
PI486354B,5,4.6
PI486355,5,4.3
PI503333,5,5
PI503340,5,5
PI504480,5,5
PI504482,5,5
PI504489,5,5
PI504490,5,5
PI504496,5,5
PI504497,5,5
PI504500,5,5
PI504509,5,5
PI504812,5,5
PI506420,5,4.8
PI507544,5,4.7
PI507681B,5,5
PI507684,5,5
PI507692A,5,5
PI507692B,5,5
PI507694,5,5
PI507696A,5,5
PI507699,5,5
PI507707,5,5
PI507718A,5,4.9
PI507718B,5,4.5
PI508293,5,4.7
PI508296C,5,5
PI508296D,5,5
PI508296E,5,5
PI508296F,5,5
PI509075,5,5
PI509079,5,5
PI509087,5,5
PI509088,5,4.6
PI509105,5,5
PI509111,5,5
PI518290,5,5
PI518708,5,4.5
PI518715,5,5
PI518718B,5,5
PI518720,5,5
PI524993,5,5
PI532442,5,4.7
PI532443,5,5
PI532448,5,4.5
PI532455A,5,4.8
PI532455B,5,5
PI532456,5,5
PI532460B,5,4.9
PI532466A,5,5
PI532466B,5,5
PI536547B,5,5
PI536547C,5,5
PI538394,5,5
PI538397,5,5
PI538400,5,5
PI506820,5,5
PI507295,5,5
PI506476,5,4.9
PI506478,5,4.9
PI506479,5,4.4
PI506480,5,4.5
PI506481,5,4.8
PI506498,5,5
PI506515,5,5
PI506516,5,5
PI506519,5,5
PI506520,5,5
PI506521,5,5
PI506526,5,4.9
PI506527,5,4.8
PI506529,5,4.4
PI506560,5,5
PI506562,5,5
PI506563,5,5
PI506574,5,5
PI506575A,5,5
PI506575B,5,5
PI506576,5,5
PI506581A,5,5
PI506581B,5,5
PI506581C,5,5
PI506587,5,5
PI506588,5,5
PI506590A,5,5
PI506590B,5,5
PI506590C,5,5
PI506590D,5,5
PI506595B,5,5
PI506596,5,5
PI506601,5,5
PI506602,5,5
PI506610,5,5
PI506631,5,5
PI506634,5,4.8
PI506637,5,5
PI506641,5,5
PI506642,5,5
PI506652,5,5
PI506654,5,5
PI506655,5,4.8
PI506657,5,5
PI506661,5,5
PI506669,5,5
PI506671,5,5
PI506673,5,5
PI506674,5,5
PI506681,5,5
PI506685,5,5
PI506692,5,5
PI506693,5,5
PI506699,5,5
PI506701,5,5
PI506705,5,5
PI506709,5,5
PI506710,5,4.7
PI506711A,5,4.7
PI506715,5,5
PI506716,5,5
PI506720,5,5
PI506721,5,5
PI506722,5,5
PI506723,5,5
PI506724,5,5
PI506726,5,5
PI506727,5,5
PI506728,5,5
PI506731,5,5
PI506732,5,5
PI506733A,5,5
PI506734,5,5
PI506758,5,5
PI506759,5,5
PI506762A,5,5
