acid,PRR3,
PI567592,5,8
PI567596,5,8
PI567599,5,8
PI567601,1,8
PI567605,5,8
PI567606,1,8
PI567608,1,8
PI567609,1,8
PI567611,1,8
PI567612,1,8
PI567613,1,8
PI567615,5,8
PI567616,1,8
PI567619,1,8
PI567623,5,8
PI567624,1,8
PI567626,5,8
PI567631,5,8
PI567633,1,8
PI567635,1,8
PI567636,5,8
PI567637,1,8
PI567638,5,8
PI567639,5,8
PI567640,5,8
PI567641,1,8
PI567643,5,8
PI567644,1,8
PI567651,1,8
PI567652,1,8
PI567653,1,8
PI567654,1,8
PI567656,5,8
PI567657,5,8
PI567658,5,8
PI567659,1,8
PI567662,5,8
PI567663,5,8
PI567665,1,8
PI567666,1,8
PI567668,5,8
PI567669,5,8
PI567670,5,8
PI567674,1,8
PI567675,1,8
PI567677,5,8
PI567678,1,8
PI567680,5,8
PI567681,1,8
PI567685,5,8
PI567686,1,8
PI567687,1,8
PI567689,1,8
PI567690,1,8
PI567691,1,8
PI567692,1,8
PI567693,1,8
PI567694,1,8
PI567695,1,8
PI567697,1,8
PI567699,1,8
PI567700,1,8
PI567701,5,8
PI567704,5,8
PI567705,1,8
PI567707,5,8
PI567708,1,8
PI567709,1,8
PI567710,1,8
PI567712,1,8
PI567714,1,8
PI567715,1,8
PI567719,1,8
PI567721,1,8
PI567722,1,8
PI567723,1,8
PI567724,5,8
PI567725,5,8
PI567726,5,8
PI567728,1,8
PI567729,1,8
PI567730,1,8
PI567731,1,8
PI567732,5,8
PI567733,5,8
PI567735,1,8
PI567737,1,8
PI567747,5,8
PI567748,5,8
PI567750,1,8
PI567752,5,8
PI567754,1,8
PI567756,1,8
PI567757,5,8
PI567758,1,8
PI567759,1,8
PI567760,5,8
PI567763,1,8
PI567764,1,8
PI567766,1,8
PI567768,1,8
PI567769,1,8
PI567773,1,8
PI567776,1,8
PI567777,1,8
PI567778,5,8
PI567781,1,8
PI587552,5,8
PI587554,5,8
PI587561,5,8
PI587562,1,8
PI587569,5,8
PI587571,1,8
PI587576,5,8
PI587578,5,8
PI587581,5,8
PI587582,5,8
PI587584,5,8
PI587586,1,8
PI587589,5,8
PI587590,5,8
PI587591,5,8
PI587593,5,8
PI587594,5,8
PI587599,1,8
PI587602,5,8
PI587605,5,8
PI587613,5,8
PI587614,5,8
PI587615,1,8
PI587616,1,8
PI587617,5,8
PI587619,5,8
PI587626,1,8
PI587629,1,8
PI587635,5,8
PI587636,1,8
PI587637,5,8
PI587638,5,8
PI587639,5,8
PI587640,5,8
PI587644,5,8
PI587645,1,8
PI587646,1,8
PI587648,5,8
PI587649,5,8
PI587650,5,8
PI587651,5,8
PI587652,5,8
PI587654,5,8
PI587655,5,8
PI587656,1,8
PI587657,1,8
PI587663,1,8
PI587665,1,8
PI587666,5,8
PI587667,5,8
PI587669,1,8
PI587671,1,8
PI587672,5,8
PI587673,1,8
PI587676,1,8
PI587677,5,8
PI587679,5,8
PI587680,5,8
PI587681,1,8
PI587683,1,8
PI587685,5,8
PI587688,5,8
PI587689,5,8
PI587690,5,8
PI587691,5,8
PI587693,1,8
PI587694,1,8
PI587695,5,8
PI587696,1,8
PI587697,1,8
PI587699,5,8
PI587701,5,8
PI587702,5,8
PI587704,1,8
PI587706,1,8
PI587707,5,8
PI587708,5,8
PI587710,5,8
PI587711,5,8
PI587715,5,8
PI587717,5,8
PI587718,5,8
PI587720,1,8
PI587722,1,8
PI587724,5,8
PI587727,1,8
PI587728,5,8
PI587729,5,8
PI587731,5,8
PI587732,1,8
PI587733,1,8
PI587734,5,8
PI587735,1,8
PI587737,1,8
PI587738,1,8
PI587740,1,8
PI587741,1,8
PI587743,1,8
PI587744,1,8
PI587747,1,8
PI587748,5,8
PI587749,1,8
PI587750,5,8
PI587751,1,8
PI587754,1,8
PI587755,5,8
PI587756,1,8
PI587759,1,8
PI587760,1,8
PI587761,5,8
PI587763,1,8
PI587764,1,8
PI587765,1,8
PI587766,1,8
PI587768,5,8
PI587769,1,8
PI587770,1,8
PI587771,5,8
PI587772,1,8
PI587773,5,8
PI587774,5,8
PI587775,1,8
PI587776,5,8
PI587777,1,8
PI587778,5,8
PI587780,5,8
PI587781,5,8
PI587783,1,8
PI587784,1,8
PI587785,5,8
PI587791,1,8
PI587793,5,8
PI587794,5,8
PI587795,5,8
PI587797,1,8
PI587798,1,8
PI587799,1,8
PI587800,5,8
PI587801,1,8
PI587802,1,8
PI587803,5,8
PI587804,5,8
PI587805,5,8
PI587807,5,8
PI587813,1,8
PI587816,1,8
PI587817,5,8
PI587818,1,8
PI587819,5,8
PI587824,1,8
PI587826,1,8
PI587827,5,8
PI587828,5,8
PI587829,5,8
PI587831,5,8
PI587833,5,8
PI587834,5,8
PI587835,1,8
PI587836,1,8
PI587837,1,8
PI587838,5,8
PI587840,5,8
PI587842,1,8
PI587843,5,8
PI587847,1,8
PI587848,5,8
PI587850,1,8
PI587852,1,8
PI587853,5,8
PI587857,5,8
PI587858,1,8
PI587859,5,8
PI587860,5,8
PI587865,5,8
PI587866,5,8
PI587867,5,8
PI587868,5,8
PI587870,5,8
PI587871,5,8
PI587872,1,8
PI587873,1,8
PI587874,1,8
PI587875,1,8
PI587876,5,8
PI587878,1,8
PI587879,5,8
PI587881,1,8
PI587882,1,8
PI587884,5,8
PI587885,1,8
PI587886,5,8
PI587888,5,8
PI587889,1,8
PI587894,1,8
PI587895,5,8
PI587896,5,8
PI587897,5,8
PI587898,5,8
PI587899,5,8
PI587901,5,8
PI587904,5,8
PI587905,5,8
PI587967,1,8
PI587969,5,8
PI587972,5,8
PI587974,5,8
PI587975,1,8
PI587977,5,8
PI587990,5,8
PI587991,5,8
PI587993,5,8
PI587995,5,8
PI588001,5,8
PI588002,1,8
PI588003,5,8
PI588004,5,8
PI588009,1,8
PI588013,5,8
PI588016,1,8
PI588018,5,8
PI588020,5,8
PI588025,5,8
PI588028,5,8
PI588029,5,8
PI588030,5,8
PI588031,5,8
PI588039,5,8
PI588051,5,8
PI591509,1,8
PI591510,1,8
PI591511,1,8
PI591512,5,8
PI594392,5,8
PI594394,5,8
PI594400,1,8
PI594402,1,8
PI594404,5,8
PI594405,1,8
PI594406,1,8
PI594407,5,8
PI594408,1,8
PI594410,1,8
PI594412,1,8
PI594416,1,8
PI594419,1,8
PI594420,5,8
PI594422,1,8
PI594423,1,8
PI594424,1,8
PI594425,1,8
PI594428,1,8
PI594431,1,8
PI594432,5,8
PI594434,1,8
PI594436,1,8
PI594438,1,8
PI594440,1,8
PI594441,1,8
PI594443,1,8
PI594445,1,8
PI594446,1,8
PI594447,1,8
PI594449,5,8
PI594450,5,8
PI594452,1,8
PI594453,1,8
PI594459,5,8
PI594460,1,8
PI594462,1,8
PI594464,1,8
PI594466,1,8
PI594467,1,8
PI594468,5,8
PI594473,1,8
PI594474,1,8
PI594476,1,8
PI594477,1,8
PI594478,1,8
PI594479,1,8
PI594481,1,8
PI594482,5,8
PI594483,1,8
PI594484,1,8
PI594485,1,8
PI594487,1,8
PI594488,1,8
PI594489,1,8
PI594491,1,8
PI594493,1,8
PI594495,5,8
PI594499,1,8
PI594502,5,8
PI594503,1,8
PI594507,1,8
PI594508,5,8
PI594513,1,8
PI594515,1,8
PI594547,1,8
PI594548,5,8
PI594550,1,8
PI594551,1,8
PI594553,1,8
PI594556,1,8
PI594558,1,8
PI594561,1,8
PI594564,1,8
PI594573,5,8
PI594574,1,8
PI594577,5,8
PI594578,1,8
PI594579,1,8
PI594580,1,8
PI594581,1,8
PI594583,1,8
PI594584,1,8
PI594585,1,8
PI594587,1,8
PI594588,5,8
PI594589,5,8
PI594590,5,8
PI594592,1,8
PI594594,5,8
PI594599,1,8
PI594600,1,8
PI594601,1,8
PI594602,5,8
PI594604,1,8
PI594606,5,8
PI594607,1,8
PI594609,5,8
PI594611,5,8
PI594612,5,8
PI594613,5,8
PI594615,1,8
PI594616,1,8
PI594617,5,8
PI594619,1,8
PI594620,1,8
PI594622,5,8
PI594623,5,8
PI594624,5,8
PI594625,1,8
PI594626,5,8
PI594628,5,8
PI594629,5,8
PI594630,5,8
PI594632,5,8
PI594633,1,8
PI594634,5,8
PI594636,1,8
PI594637,1,8
PI594639,5,8
PI594640,1,8
PI594641,1,8
PI594642,1,8
PI594643,1,8
PI594645,1,8
PI594653,1,8
PI594654,1,8
PI594655,1,8
PI594656,1,8
PI594657,1,8
PI594658,1,8
PI594661,1,8
PI594663,1,8
PI594665,1,8
PI594667,1,8
PI594668,1,8
PI594669,5,8
PI594671,1,8
PI594672,1,8
PI594673,5,8
PI594675,5,8
PI594676,5,8
PI594677,1,8
PI594678,1,8
PI594679,1,8
PI594680,1,8
PI594681,1,8
PI594686,1,8
PI594687,5,8
PI594688,1,8
PI594689,1,8
PI594692,5,8
PI594694,1,8
PI594695,1,8
PI594697,1,8
PI594698,5,8
PI594701,1,8
PI594703,5,8
PI594704,1,8
PI594705,1,8
PI594706,1,8
PI594709,1,8
PI594710,1,8
PI594714,1,8
PI594736,1,8
PI594761,1,8
PI594774,5,8
PI594776,5,8
PI594777,5,8
PI594778,5,8
PI594780,5,8
PI594781,1,8
PI594785,5,8
PI594791,1,8
PI594793,1,8
PI594796,1,8
PI594797,1,8
PI594798,1,8
PI594800,5,8
PI594804,1,8
PI594808,5,8
PI594812,5,8
PI594814,1,8
PI594816,1,8
PI594817,5,8
PI594818,5,8
PI594823,5,8
PI594831,1,8
PI594836,1,8
PI594842,1,8
PI594843,1,8
PI594845,1,8
PI594846,1,8
PI594847,1,8
PI594853,5,8
PI594854,5,8
PI594856,5,8
PI594857,5,8
PI594859,5,8
PI594860,5,8
PI594861,5,8
PI594862,1,8
PI594866,1,8
PI594867,1,8
PI594868,5,8
PI594870,1,8
PI594872,5,8
PI594873,1,8
PI594874,5,8
PI594877,5,8
PI594878,5,8
PI594879,5,8
PI594880,5,8
PI594881,5,8
PI594883,1,8
PI594884,5,8
PI594886,5,8
PI594887,5,8
PI594888,5,8
PI594889,1,8
FC004002N,1,9
PI082312N,1,9
PI085666S,1,9
PI089061N,1,9
PI093055S,1,9
PI094159B,1,9
PI253651B,1,9
PI253652B,1,9
PI253656B,1,9
PI266807D,1,9
PI273483B,1,9
PI273483C,1,9
PI273483D,1,9
PI273483F,1,9
PI291274B,5,9
PI291309C,5,9
PI291309D,1,9
PI291310B,1,9
PI339864A,1,9
PI339864B,1,9
PI339868D,1,9
PI340031B,1,9
PI342435A,1,9
PI342435B,1,9
PI347546A,5,9
PI358315C,5,9
PI358316A,1,9
PI358318B,1,9
PI358321A,5,9
PI358321B,5,9
PI358321C,5,9
PI378676B,5,9
PI378682A,1,9
PI378682C,1,9
PI379559A,1,9
PI379559B,1,9
PI379562A,5,9
PI379562B,5,9
PI384469B,5,9
PI423747A,1,9
PI423748A,5,9
PI423748B,1,9
PI423753B,1,9
PI423769B,1,9
PI423798B,1,9
PI423808A,1,9
PI423808B,1,9
PI423814A,1,9
PI423814B,5,9
PI423826A,1,9
PI423826B,1,9
PI423826C,1,9
PI423827A,1,9
PI423830A,1,9
PI423833A,1,9
PI423837A,1,9
PI423845A,1,9
PI423863B,1,9
PI423882A,1,9
PI423882B,1,9
PI423890B,1,9
PI423914A,1,9
PI423930A,1,9
PI423948B,1,9
PI423987B,1,9
PI424214A,1,9
PI424214B,1,9
PI424214C,1,9
PI424219A,1,9
PI424221A,1,9
PI424221B,1,9
PI424222A,1,9
PI424229A,1,9
PI424229B,1,9
PI424234A,1,9
PI424234B,1,9
PI424237A,1,9
PI424247A,1,9
PI424247B,1,9
PI424249C,1,9
PI424249D,1,9
PI424250B,1,9
PI424251A,1,9
PI424255C,1,9
PI424277A,1,9
PI424278A,1,9
PI424278B,1,9
PI424285A,1,9
PI424285C,1,9
PI424300A,1,9
PI424324A,1,9
PI424342A,1,9
PI424342B,1,9
PI424349A,1,9
PI424349B,1,9
PI424349C,1,9
PI424368A,1,9
PI424368B,1,9
PI424405C,1,9
PI424406A,1,9
PI424406B,1,9
PI424444B,1,9
PI424481B,1,9
PI424484B,1,9
