acid,Fe026,
PI423861,4,8
PI423878,2,8
PI423879,4,8
PI423895,4,8
PI423898,2,8
PI423900,1,8
PI423905,4,8
PI423906,4,8
PI423907,2,8
PI423911,2,8
PI423918,5,8
PI423920,4,8
PI423921,2,8
PI423923,1,8
PI423925,5,8
PI423931,4,8
PI423964,2,8
PI423965,4,8
PI423969,5,8
PI423978,2,8
PI423986,5,8
PI424131,2,8
PI424139,2,8
PI424142,4,8
PI424145,4,8
PI424146,2,8
PI424147,2,8
PI424161,2,8
PI424163,5,8
PI424174,2,8
PI424185,2,8
PI424304,4,8
PI424360,3,8
PI424361,4,8
PI424371,2,8
PI424375,2,8
PI424391,4,8
PI424416,2,8
PI424433,4,8
PI424434,5,8
PI424437,0,8
PI424438,2,8
PI424442,4,8
PI424447,4,8
PI424453,2,8
PI424456,4,8
PI424461,4,8
PI424464,2,8
PI424473,2,8
PI424475,2,8
PI424478,2,8
PI424501,2,8
PI424502,0,8
PI424534,4,8
PI424591,5,8
PI424594,5,8
PI424595,5,8
PI427241,5,8
PI429329,2,8
PI430736,2,8
PI430737,4,8
PI436567,3,8
PI437667,5,8
PI437708,4,8
PI437726,3,8
PI437730,4,8
PI438280,4,8
PI438284,1,8
PI438342,4,8
PI438347,5,8
PI438426,4,8
PI438430,2,8
PI438431,4,8
PI438438,5,8
PI438439,4,8
PI441358,5,8
PI442014,2,8
PI442020,2,8
PI445683,4,8
PI458122,4,8
PI458155,3,8
PI458187,2,8
PI458198,4,8
PI458206,4,8
PI458210,1,8
PI458211,4,8
PI458212,5,8
PI458213,1,8
PI458218,4,8
PI458220,4,8
PI458228,2,8
PI458241,1,8
PI458242,5,8
PI458243,1,8
PI458251,4,8
PI458257,1,8
PI458261,2,8
PI464932,5,8
PI468130,4,8
PI468131,4,8
PI468964,2,8
PI468966,5,8
PI468970,2,8
PI468971,5,8
PI468972,4,8
PI468973,4,8
PI471901,5,8
PI471903,3,8
PI471925,2,8
PI471926,2,8
PI471927,5,8
PI471928,5,8
PI471930,2,8
PI471940,2,8
PI476878,5,8
PI476882,5,8
PI476885,4,8
PI476897,5,8
PI476900,5,8
