acid,PRR1.488001,
PI090243,5,8
PI090251,5,8
PI090406,5,8
PI090481,1,8
PI090495,5,8
PI090499,5,8
PI090577,5,8
PI090768,1,8
PI091100,5,8
PI091646,5,8
PI091725,5,8
PI092567,1,8
PI092601,5,8
PI092743,1,8
PI094159,1,8
PI095780,5,8
PI095860,1,8
PI095959,5,8
PI095960,1,8
PI095969,1,8
PI096035,1,8
PI096089,1,8
PI096169,5,8
PI096257,1,8
PI096354,5,8
PI096786,1,8
PI096983,1,8
PI097066,1,8
PI097081,1,8
PI097094,1,8
PI097100,5,8
PI097150,5,8
PI097161,1,8
PI103079,1,8
PI123439,5,8
PI123440,5,8
PI123587,1,8
PI123590,5,8
PI133226,1,8
PI145079,1,8
PI148259,5,8
PI148260,5,8
PI153681,5,8
PI153682,5,8
PI157394,1,8
PI157406,5,8
PI157413,5,8
PI157422,5,8
PI157430,1,8
PI157432,1,8
PI157440,1,8
PI157443,5,8
PI157444,1,8
PI157451,1,8
PI157469,1,8
PI157470,5,8
PI157473,5,8
PI157475,5,8
PI157476,5,8
PI157478,1,8
PI157484,1,8
PI157488,5,8
PI157493,5,8
PI158751,1,8
PI159093,5,8
PI159094,1,8
PI159095,5,8
PI159096,1,8
PI159097,5,8
PI159319,5,8
PI159321,5,8
PI159322,5,8
PI159922,5,8
PI159924,5,8
PI159925,5,8
PI159926,5,8
PI159927,5,8
PI164885,5,8
PI165524,1,8
PI165563,5,8
PI165578,5,8
PI165583,5,8
PI165671,1,8
PI165672,5,8
PI165673,5,8
PI165674,1,8
PI165675,5,8
PI165676,5,8
PI165896,5,8
PI165914,1,8
PI165926,1,8
PI165929,5,8
PI165943,5,8
PI165947,5,8
PI165989,1,8
PI166028,1,8
PI166032,1,8
PI166048,5,8
PI166105,5,8
PI166140,5,8
PI166141,5,8
PI166147,5,8
PI170886,5,8
PI170887,5,8
PI170888,5,8
PI170889,5,8
PI170890,5,8
PI170891,5,8
PI170892,5,8
PI170893,5,8
PI170895,5,8
PI170896,5,8
PI170899,5,8
PI171430,1,8
PI171436,5,8
PI171437,1,8
PI171438,5,8
PI171439,1,8
PI171440,5,8
PI171441,5,8
PI171442,1,8
PI171443,5,8
PI171444,5,8
PI171445,5,8
PI171446,5,8
PI171451,5,8
PI172902,1,8
PI174852,5,8
PI174853,5,8
PI174854,5,8
PI174855,5,8
PI174856,5,8
PI174857,5,8
PI174858,5,8
PI174859,5,8
PI174860,5,8
PI174861,5,8
PI174862,1,8
PI174863,1,8
PI174866,5,8
PI174867,5,8
PI174868,5,8
PI175174,1,8
PI175175,5,8
PI175176,5,8
PI175177,5,8
PI175178,5,8
PI175179,5,8
PI175180,5,8
PI175181,5,8
PI175182,5,8
PI175183,1,8
PI175184,5,8
PI175185,1,8
PI175186,1,8
PI175187,5,8
PI175188,5,8
PI175189,5,8
PI175190,5,8
PI175191,5,8
PI175192,5,8
PI175193,5,8
PI175194,5,8
PI175195,5,8
PI175196,5,8
PI175197,5,8
PI175198,5,8
PI175199,5,8
PI179823,5,8
PI179825,5,8
PI179935,1,8
PI180051,5,8
PI180445,1,8
PI181543,1,8
PI181544,1,8
PI181545,1,8
PI181546,5,8
PI181547,1,8
PI181556,1,8
PI181558,5,8
PI181559,1,8
PI181560,5,8
PI181561,5,8
PI181562,1,8
PI181564,1,8
PI181565,1,8
PI181566,1,8
PI181567,1,8
PI181568,1,8
PI181569,1,8
PI181696,1,8
PI181697,1,8
PI181698,1,8
PI183900,1,8
PI183929,1,8
PI183930,5,8
PI187154,1,8
PI187155,1,8
PI187156,1,8
PI189402,5,8
PI192867,5,8
PI192868,1,8
PI192869,1,8
PI192870,1,8
PI192871,1,8
PI192872,1,8
PI192873,1,8
PI192874,1,8
PI194773,5,8
PI196166,1,8
PI196168,1,8
PI196175,1,8
PI196177,1,8
PI197182,5,8
PI198078,5,8
PI200445,1,8
PI200446,1,8
PI200447,5,8
PI200448,5,8
PI200449,1,8
PI200450,1,8
PI200451,5,8
PI200452,1,8
PI200454,5,8
PI200455,5,8
PI200456,5,8
PI200459,1,8
PI200461,1,8
PI200462,5,8
PI200464,1,8
PI200465,1,8
PI200466,1,8
PI200468,1,8
PI200469,1,8
PI200472,1,8
PI200474,1,8
PI200475,1,8
PI200476,1,8
PI200477,1,8
PI200483,1,8
PI200484,5,8
PI200486,1,8
PI200487,5,8
PI200488,5,8
PI200490,1,8
PI200491,1,8
PI200492,1,8
PI200493,1,8
PI200494,1,8
PI200497,5,8
PI200498,5,8
PI200500,1,8
PI200502,1,8
PI200503,1,8
PI200505,1,8
PI200506,1,8
PI200507,1,8
PI200509,1,8
PI200510,1,8
PI200515,5,8
PI200516,1,8
PI200520,5,8
PI200521,5,8
PI200523,1,8
PI200524,1,8
PI200525,1,8
PI200526,5,8
PI200527,1,8
PI200528,1,8
PI200529,1,8
PI200530,1,8
PI200531,5,8
PI200532,1,8
PI200534,5,8
PI200538,5,8
PI200539,5,8
PI200542,1,8
PI200543,1,8
PI200544,1,8
PI200546,1,8
PI200547,5,8
PI200549,5,8
PI200550,5,8
PI200551,5,8
PI200553,1,8
PI200832,5,8
PI201421,1,8
PI201422,5,8
PI201423,5,8
PI201428,5,8
PI201431,5,8
PI203398,5,8
PI203399,1,8
PI203400,5,8
PI203402,5,8
PI203403,1,8
PI203404,5,8
PI203405,1,8
PI203406,5,8
PI204331,1,8
PI204332,1,8
PI204333,1,8
PI204334,1,8
PI204335,5,8
PI204336,1,8
PI204337,1,8
PI204338,1,8
PI204339,5,8
PI204340,5,8
PI205083,1,8
PI205384,5,8
PI205899,5,8
PI205903,5,8
PI205906,5,8
PI205907,5,8
PI205908,5,8
PI205909,5,8
PI205911,5,8
PI205912,5,8
PI205913,5,8
PI205914,5,8
PI205915,5,8
PI206258,5,8
PI208203,5,8
PI208204,5,8
PI208429,5,8
PI208430,5,8
PI208431,5,8
PI208432,5,8
PI208433,5,8
PI208434,5,8
PI208435,5,8
PI208437,5,8
PI208438,5,8
PI208439,5,8
PI208782,1,8
PI208783,1,8
PI208784,5,8
PI208785,5,8
PI208788,5,8
PI208789,5,8
PI209333,5,8
PI209340,5,8
PI209577,5,8
PI209578,5,8
PI209832,5,8
PI209833,5,8
PI209836,5,8
PI209837,5,8
PI209908,5,8
PI210178,5,8
PI210179,1,8
PI210348,5,8
PI210349,1,8
PI210352,5,8
PI210353,5,8
PI212604,5,8
PI212605,1,8
PI212606,1,8
PI212716,5,8
PI215688,5,8
PI215690,5,8
PI215692,5,8
PI215693,5,8
PI215755,1,8
PI215811,5,8
PI219652,1,8
PI219653,5,8
PI219654,5,8
PI219655,5,8
PI219656,1,8
PI219698,5,8
PI219732,5,8
PI219780,1,8
PI219785,1,8
PI219789,5,8
PI221713,5,8
PI221714,5,8
PI221715,5,8
PI221716,5,8
PI221717,5,8
PI221972,1,8
PI221973,1,8
PI222397,5,8
PI222546,5,8
PI222547,5,8
PI222548,5,8
PI222549,5,8
PI222550,5,8
PI224268,5,8
PI224269,1,8
PI224270,1,8
PI224273,1,8
PI227158,5,8
PI227159,1,8
PI227160,5,8
PI227214,1,8
PI227219,1,8
PI227221,1,8
PI227222,5,8
PI227224,5,8
PI227555,1,8
PI227557,1,8
PI227567,5,8
PI227687,1,8
PI228056,5,8
PI228064,5,8
PI228065,1,8
PI229315,1,8
PI229320,5,8
PI229321,1,8
PI229335,5,8
PI229337,5,8
PI229339,5,8
PI229346,5,8
PI229347,5,8
PI229350,1,8
PI229358,5,8
PI230970,1,8
PI230971,1,8
PI230972,1,8
PI230973,1,8
PI230974,1,8
PI230975,1,8
PI230976,1,8
PI230977,1,8
PI230978,1,8
PI230979,1,8
PI230980,1,8
PI230981,1,8
PI235347,5,8
PI238108,5,8
PI238109,5,8
PI238928,1,8
PI238929,1,8
PI238932,1,8
PI239235,5,8
PI239236,5,8
PI239237,5,8
PI239484,5,8
PI240664,5,8
PI240665,5,8
PI240666,5,8
PI240669,5,8
PI240670,1,8
PI240671,5,8
PI240672,5,8
PI241424,1,8
PI243526,5,8
PI245007,5,8
PI245008,5,8
PI247678,5,8
PI247679,5,8
PI248510,5,8
PI253657,5,8
PI253662,5,8
PI253664,1,8
PI255734,5,8
PI256376,5,8
PI259538,5,8
PI259539,5,8
PI259540,1,8
PI259542,5,8
PI259543,1,8
PI262180,5,8
PI263044,5,8
PI265491,5,8
PI265497,5,8
PI265498,5,8
PI274422,1,8
PI274506,5,8
PI274507,5,8
PI274508,1,8
PI279081,5,8
PI279088,1,8
PI281885,5,8
PI281888,5,8
PI281889,5,8
PI281894,5,8
PI281904,5,8
PI281905,5,8
PI281907,5,8
PI281908,5,8
PI281909,5,8
PI281910,5,8
PI283326,1,8
PI283327,1,8
PI283328,1,8
PI284814,5,8
PI284815,1,8
PI284873,5,8
PI285090,5,8
PI285091,5,8
PI285092,5,8
PI285093,5,8
PI285094,5,8
PI285095,5,8
PI285096,1,8
PI285097,1,8
PI303652,5,8
PI303653,5,8
PI304217,5,8
PI305074,5,8
PI306712,1,8
PI307597,5,8
PI307836,5,8
PI307837,5,8
PI307839,5,8
PI307840,5,8
PI307844,5,8
PI307845,5,8
PI307846,5,8
PI307849,5,8
PI307853,1,8
PI307854,5,8
PI307855,5,8
PI307856,5,8
PI307857,5,8
PI307861,5,8
PI307862,5,8
PI307863,5,8
PI307864,5,8
PI307866,5,8
PI307869,5,8
PI307874,5,8
PI307875,5,8
PI307877,5,8
PI307879,5,8
PI307881,5,8
PI307883,5,8
PI307885,5,8
PI307886,5,8
PI307887,5,8
PI307890,1,8
PI307892,5,8
PI307893,5,8
PI307894,5,8
PI307895,5,8
PI307897,5,8
PI307898,5,8
PI307900,5,8
PI309658,1,8
PI310439,5,8
PI310441,5,8
PI312222,5,8
PI315701,5,8
PI319525,1,8
PI319526,5,8
PI319527,5,8
PI319528,5,8
PI319529,1,8
PI319530,1,8
PI319531,1,8
PI319532,5,8
PI319533,5,8
PI322689,5,8
PI322690,1,8
PI322691,5,8
PI322692,5,8
PI322693,5,8
PI322694,5,8
PI322695,5,8
PI323275,5,8
PI323276,5,8
PI323278,1,8
PI323550,5,8
PI323551,5,8
PI323552,5,8
PI323553,5,8
PI323554,5,8
PI323557,5,8
PI323558,5,8
PI323559,5,8
PI323560,5,8
PI323561,5,8
PI323562,5,8
PI323563,5,8
PI323564,1,8
PI323565,5,8
PI323567,5,8
PI323568,5,8
PI323569,5,8
PI323570,5,8
PI323572,5,8
PI323573,5,8
PI323574,5,8
PI323575,5,8
PI323576,5,8
PI323577,5,8
PI323578,5,8
PI323579,5,8
PI323580,1,8
PI324066,5,8
PI324067,5,8
PI324068,1,8
PI324189,1,8
PI324190,1,8
PI324924,5,8
PI326578,1,8
PI330633,5,8
PI330634,5,8
PI330635,5,8
PI331793,1,8
PI331794,5,8
PI331795,5,8
PI339866,5,8
PI339867,1,8
PI339869,5,8
PI339978,5,8
PI339979,5,8
PI339980,5,8
PI339982,1,8
PI339986,1,8
PI339988,5,8
PI339989,1,8
PI339992,1,8
PI339998,5,8
PI339999,1,8
PI340000,1,8
PI340001,5,8
PI340003,1,8
PI340004,5,8
PI340006,5,8
PI340008,1,8
PI340009,1,8
PI340013,5,8
PI340014,1,8
PI340016,5,8
PI340019,5,8
PI340022,1,8
PI340023,5,8
PI340024,1,8
PI340025,5,8
PI340026,1,8
PI340028,1,8
PI340029,1,8
PI340030,1,8
PI340032,1,8
PI340043,5,8
PI340044,1,8
PI340045,1,8
PI340050,1,8
PI340051,1,8
PI340902,5,8
PI340903,5,8
PI341243,1,8
PI341245,5,8
PI341252,1,8
PI341253,1,8
PI341255,1,8
PI341258,5,8
PI341259,1,8
PI341261,1,8
PI341263,5,8
PI341264,1,8
PI342002,1,8
PI342003,1,8
PI346298,5,8
PI346300,5,8
PI346301,1,8
PI346302,5,8
PI346304,5,8
PI346305,5,8
PI346306,5,8
PI346307,5,8
PI346308,5,8
PI346309,5,8
PI360834,1,8
PI360839,1,8
PI360851,5,8
PI365426,1,8
PI366036,1,8
PI368037,1,8
PI368038,5,8
PI368039,1,8
PI371607,5,8
PI371609,5,8
PI371610,5,8
PI371611,5,8
PI371612,5,8
PI374154,5,8
PI374155,1,8
PI374156,1,8
PI374157,1,8
PI374158,1,8
PI374159,5,8
PI374160,1,8
PI374161,1,8
PI374162,1,8
PI374163,1,8
PI374164,5,8
PI374165,5,8
PI374166,1,8
PI374167,1,8
PI374168,1,8
PI374169,1,8
PI374171,1,8
PI374172,5,8
PI374173,1,8
PI374174,1,8
PI374175,1,8
PI374176,5,8
PI374177,1,8
PI374178,1,8
PI374179,1,8
PI374180,1,8
PI374181,5,8
PI374182,1,8
PI374183,1,8
PI374184,5,8
PI374185,5,8
PI374186,1,8
PI374189,1,8
PI374190,1,8
PI374191,1,8
PI374193,5,8
PI374194,5,8
PI374196,5,8
PI374197,5,8
PI374198,5,8
PI374199,5,8
PI374201,5,8
PI374202,5,8
PI374203,5,8
PI374204,5,8
PI374205,5,8
PI374206,5,8
PI374207,5,8
PI374219,5,8
PI374220,5,8
PI374221,5,8
PI376069,1,8
PI376070,1,8
PI376844,1,8
PI376845,1,8
PI377573,1,8
PI377575,1,8
PI377576,5,8
PI377577,5,8
PI377578,1,8
PI379618,5,8
PI379619,5,8
PI379620,5,8
PI379621,5,8
PI379622,1,8
PI379623,5,8
PI381656,5,8
PI381657,1,8
PI381659,5,8
PI381660,5,8
PI381661,5,8
PI381662,5,8
PI381663,5,8
PI381664,5,8
PI381665,5,8
PI381666,5,8
PI381667,5,8
PI381668,5,8
PI381669,5,8
PI381670,5,8
PI381671,5,8
PI381672,1,8
PI381673,5,8
PI381674,1,8
PI381675,5,8
PI381676,5,8
PI381677,1,8
PI381678,5,8
PI381679,5,8
PI381680,5,8
PI381681,5,8
PI381682,1,8
PI381683,5,8
PI381684,5,8
PI381685,5,8
PI385943,1,8
PI391597,1,8
PI393542,1,8
PI393543,1,8
PI393544,1,8
PI393545,1,8
PI393546,1,8
PI393547,1,8
PI393548,1,8
PI393549,1,8
PI393550,1,8
PI398183,1,8
PI398184,5,8
PI398186,5,8
PI398187,5,8
PI398189,5,8
PI398192,5,8
PI398193,5,8
PI398194,5,8
PI398195,5,8
PI398196,5,8
PI398203,5,8
PI398207,5,8
PI398209,5,8
PI398210,1,8
PI398212,5,8
PI398213,5,8
PI398216,1,8
PI398217,5,8
PI398218,1,8
PI398219,1,8
PI398220,5,8
PI398238,1,8
PI398239,5,8
PI398240,1,8
PI398241,5,8
PI398246,1,8
PI398253,5,8
PI398254,5,8
PI398255,5,8
PI398259,5,8
PI398262,5,8
PI398263,5,8
PI398264,5,8
PI398266,5,8
PI398269,5,8
PI398277,5,8
PI398279,1,8
PI398280,5,8
PI398284,5,8
PI398285,1,8
PI398286,1,8
PI398287,5,8
PI398288,5,8
PI398292,5,8
PI398301,5,8
PI398302,5,8
PI398304,1,8
PI398307,5,8
PI398308,1,8
PI398309,1,8
PI398316,5,8
PI398323,1,8
PI398324,5,8
PI398328,5,8
PI398330,5,8
PI398331,5,8
PI398332,5,8
PI398333,5,8
PI398335,5,8
PI398336,1,8
PI398337,5,8
PI398338,1,8
PI398339,5,8
PI398340,5,8
PI398341,5,8
PI398343,5,8
PI398344,1,8
PI398345,1,8
PI398346,5,8
PI398347,5,8
PI398348,5,8
PI398351,5,8
PI398352,5,8
PI398353,5,8
PI398354,5,8
PI398361,1,8
PI398362,5,8
PI398363,5,8
PI398364,5,8
PI398365,5,8
PI398369,1,8
PI398370,5,8
PI398372,1,8
PI398373,5,8
PI398376,5,8
PI398377,5,8
PI398378,5,8
PI398381,5,8
PI398387,1,8
PI398390,1,8
PI398391,1,8
PI398393,5,8
PI398399,1,8
PI398400,5,8
PI398402,5,8
PI398403,5,8
PI398407,5,8
PI398409,5,8
PI398411,5,8
PI398413,5,8
PI398418,5,8
PI398422,5,8
PI398423,5,8
PI398424,5,8
PI398427,5,8
PI398428,5,8
PI398432,1,8
PI398433,1,8
PI398434,1,8
PI398436,5,8
PI398437,5,8
PI398438,5,8
PI398445,1,8
PI398447,1,8
PI398448,5,8
PI398449,5,8
PI398452,5,8
PI398453,5,8
PI398454,5,8
PI398455,5,8
PI398456,5,8
PI398457,5,8
PI398458,5,8
PI398459,5,8
PI398460,1,8
PI398461,5,8
PI398462,5,8
PI398465,5,8
PI398466,1,8
PI398467,5,8
PI398468,5,8
PI398469,5,8
PI398471,5,8
PI398473,5,8
PI398474,1,8
PI398476,5,8
PI398477,5,8
PI398478,5,8
PI398479,5,8
PI398480,5,8
PI398481,5,8
PI398483,5,8
PI398485,5,8
PI398487,1,8
PI398488,5,8
PI398496,5,8
PI398497,5,8
PI398498,5,8
PI398500,1,8
PI398502,1,8
PI398506,5,8
PI398507,5,8
PI398508,5,8
PI398509,1,8
PI398510,5,8
PI398511,1,8
PI398512,1,8
PI398513,5,8
PI398515,1,8
PI398517,1,8
PI398518,1,8
PI398520,1,8
PI398521,5,8
PI398524,1,8
PI398525,5,8
PI398526,5,8
PI398527,5,8
PI398528,5,8
PI398530,5,8
PI398533,1,8
PI398534,5,8
PI398535,5,8
PI398536,5,8
PI398538,5,8
PI398539,1,8
PI398541,1,8
PI398542,5,8
PI398543,5,8
PI398544,5,8
PI398545,5,8
PI398546,1,8
PI398547,5,8
PI398548,1,8
PI398550,5,8
PI398552,5,8
PI398553,5,8
PI398554,1,8
PI398555,5,8
PI398556,5,8
PI398557,5,8
PI398560,5,8
PI398561,5,8
PI398562,1,8
PI398563,5,8
PI398564,5,8
PI398567,5,8
PI398568,5,8
PI398569,5,8
PI398570,5,8
PI398571,5,8
PI398573,5,8
PI398574,5,8
PI398575,5,8
PI398576,5,8
PI398577,1,8
PI398578,5,8
PI398579,1,8
PI398580,5,8
PI398581,1,8
PI398582,1,8
PI398583,5,8
PI398584,5,8
PI398585,5,8
PI398586,5,8
PI398587,5,8
PI398589,5,8
PI398590,5,8
PI398591,1,8
PI398592,1,8
PI398593,1,8
PI398594,5,8
PI398595,5,8
PI398596,1,8
PI398597,1,8
PI398598,5,8
PI398602,5,8
PI398603,1,8
PI398605,1,8
PI398606,5,8
PI398607,1,8
PI398608,5,8
PI398610,1,8
PI398611,5,8
PI398612,5,8
PI398613,5,8
PI398614,1,8
PI398616,5,8
PI398618,5,8
PI398622,1,8
PI398623,5,8
PI398627,5,8
PI398629,5,8
PI398630,5,8
PI398632,5,8
PI398633,1,8
PI398635,1,8
PI398646,1,8
PI398647,1,8
PI398648,5,8
PI398649,5,8
PI398650,5,8
PI398651,5,8
PI398653,5,8
PI398658,5,8
PI398659,1,8
PI398660,5,8
PI398661,5,8
PI398662,1,8
PI398663,5,8
PI398665,1,8
PI398668,5,8
PI398670,5,8
PI398671,5,8
PI398673,1,8
PI398675,1,8
PI398676,1,8
PI398677,1,8
PI398678,1,8
PI398679,1,8
PI398683,1,8
PI398688,1,8
PI398689,1,8
PI398690,1,8
PI398692,1,8
PI398699,5,8
PI398703,1,8
PI398711,5,8
PI398713,1,8
PI398714,1,8
PI398715,5,8
PI398718,5,8
PI398719,5,8
PI398721,5,8
PI398722,5,8
PI398723,1,8
PI398724,5,8
PI398725,5,8
PI398729,1,8
PI398731,5,8
PI398732,5,8
PI398733,5,8
PI398734,5,8
PI398736,5,8
PI398740,5,8
PI398742,1,8
PI398745,1,8
PI398756,1,8
PI398760,1,8
PI398769,1,8
PI398770,5,8
PI398771,5,8
PI398777,5,8
PI398778,5,8
PI398779,5,8
PI398780,5,8
PI398781,1,8
PI398782,1,8
PI398783,1,8
PI398784,1,8
PI398785,5,8
PI398786,5,8
PI398787,5,8
PI398789,1,8
PI398792,5,8
PI398793,1,8
PI398794,1,8
PI398795,5,8
PI398796,5,8
PI398797,1,8
PI398798,1,8
PI398799,1,8
PI398800,1,8
PI398809,5,8
PI398810,5,8
PI398811,1,8
PI398812,5,8
PI398817,1,8
PI398818,5,8
PI398819,1,8
PI398824,1,8
PI398825,1,8
PI398826,1,8
PI398827,1,8
PI398828,1,8
PI398829,1,8
PI398833,1,8
PI398834,1,8
PI398835,5,8
PI398836,1,8
PI398837,5,8
PI398840,5,8
PI398844,1,8
PI398845,1,8
PI398846,1,8
PI398850,5,8
PI398851,1,8
PI398852,1,8
PI398853,5,8
PI398855,1,8
PI398860,5,8
PI398861,5,8
PI398862,5,8
PI398863,5,8
PI398865,1,8
PI398866,1,8
PI398869,1,8
PI398870,5,8
PI398874,1,8
PI398876,5,8
PI398882,5,8
PI398892,5,8
PI398893,5,8
PI398894,1,8
PI398895,1,8
PI398896,5,8
PI398897,1,8
PI398900,1,8
PI398907,5,8
PI398911,1,8
PI398917,5,8
PI398918,1,8
PI398925,1,8
PI398928,5,8
PI398932,1,8
PI398943,5,8
PI398945,1,8
PI398947,1,8
PI398948,5,8
PI398949,1,8
PI398950,1,8
PI398951,1,8
PI398952,1,8
PI398956,1,8
PI398958,1,8
PI398961,1,8
PI398962,1,8
PI398966,1,8
PI398967,5,8
PI398968,1,8
PI398969,1,8
PI398971,1,8
PI398972,1,8
PI398973,1,8
PI398974,5,8
PI398976,5,8
PI398977,5,8
PI398978,5,8
PI398979,1,8
PI398983,1,8
PI398984,5,8
PI398986,1,8
PI398991,5,8
PI398998,1,8
PI398999,5,8
PI399000,1,8
PI399002,1,8
PI399003,1,8
PI399007,5,8
PI399009,1,8
PI399012,5,8
PI399013,1,8
PI399014,1,8
PI399021,5,8
PI399024,1,8
PI399025,5,8
PI399026,5,8
PI399029,1,8
PI399032,5,8
PI399033,1,8
PI399037,5,8
PI399038,1,8
PI399040,1,8
PI399041,5,8
PI399042,5,8
PI399044,5,8
PI399045,5,8
PI399047,1,8
PI399048,1,8
PI399049,1,8
PI399050,5,8
PI399052,5,8
PI399053,1,8
PI399055,5,8
PI399056,5,8
PI399057,1,8
PI399058,1,8
PI399059,1,8
PI399060,5,8
PI399061,5,8
PI399062,1,8
PI399064,1,8
PI399065,1,8
PI399067,5,8
PI399071,1,8
PI399075,1,8
PI399076,1,8
PI399078,5,8
PI399081,1,8
PI399082,5,8
PI399083,1,8
PI399084,1,8
PI399085,1,8
PI399086,5,8
PI399087,5,8
PI399088,1,8
PI399089,1,8
PI399090,1,8
PI399095,5,8
PI399096,5,8
PI399097,5,8
PI399098,1,8
PI399099,1,8
PI399100,1,8
PI399101,5,8
PI399102,1,8
PI399103,1,8
PI399104,5,8
PI399105,1,8
PI399107,5,8
PI399108,5,8
PI399109,1,8
PI399110,5,8
PI399111,5,8
PI399113,1,8
PI399114,5,8
PI399115,5,8
PI399116,1,8
PI399117,5,8
PI399118,5,8
PI399120,5,8
PI399121,5,8
PI399122,5,8
PI399123,5,8
PI399124,5,8
PI399125,5,8
PI399126,1,8
PI407737,5,8
PI407738,1,8
PI407739,5,8
PI407742,5,8
PI407743,5,8
PI407744,5,8
PI407747,5,8
PI407748,5,8
PI407749,5,8
PI407750,5,8
PI407751,1,8
PI407752,5,8
PI407753,5,8
PI407755,5,8
PI407756,5,8
PI407757,5,8
PI407758,5,8
PI407759,5,8
PI407761,5,8
PI407762,5,8
PI407763,5,8
PI407764,1,8
PI407765,5,8
PI407766,1,8
PI407769,1,8
PI407771,1,8
PI407774,1,8
PI407775,1,8
PI407777,1,8
PI407779,1,8
PI407784,5,8
PI407785,1,8
PI407787,1,8
PI407789,1,8
PI407791,1,8
PI407792,1,8
PI407793,1,8
PI407794,1,8
PI407797,1,8
PI407798,1,8
PI407799,5,8
PI407800,5,8
PI407801,1,8
PI407802,1,8
PI407803,5,8
PI407804,5,8
PI407807,5,8
PI407809,1,8
PI407811,5,8
PI407813,5,8
PI407815,5,8
PI407816,5,8
PI407819,5,8
PI407822,5,8
PI407824,5,8
PI407825,1,8
PI407826,1,8
PI407830,5,8
PI407834,1,8
PI407835,1,8
PI407836,5,8
PI407837,5,8
PI407838,1,8
PI407840,1,8
PI407841,1,8
PI407842,5,8
PI407843,5,8
PI407844,5,8
PI407846,1,8
PI407852,1,8
PI407853,1,8
PI407854,1,8
PI407855,1,8
PI407856,5,8
PI407857,1,8
PI407864,5,8
PI407865,5,8
PI407866,5,8
PI407871,5,8
PI407876,1,8
PI407878,1,8
PI407879,5,8
PI407880,5,8
PI407881,5,8
PI407882,1,8
PI407884,1,8
PI407885,5,8
PI407887,5,8
PI407888,5,8
PI407889,1,8
PI407891,5,8
PI407893,5,8
PI407894,5,8
PI407896,1,8
PI407899,1,8
PI407901,5,8
PI407909,5,8
PI407910,1,8
PI407911,5,8
PI407912,5,8
PI407915,5,8
PI407916,5,8
PI407919,1,8
PI407920,1,8
PI407921,1,8
PI407923,5,8
PI407929,5,8
PI407930,1,8
PI407931,5,8
PI407935,5,8
PI407936,5,8
PI407938,1,8
PI407940,5,8
PI407942,5,8
PI407943,5,8
PI407944,1,8
PI407945,1,8
PI407948,1,8
PI407951,5,8
PI407953,5,8
PI407954,5,8
PI407955,5,8
PI407956,5,8
PI407957,5,8
PI407963,1,8
PI407964,5,8
PI407965,5,8
PI407967,1,8
PI407968,1,8
PI407969,1,8
PI407970,1,8
PI407978,1,8
PI407980,1,8
PI407982,5,8
PI407983,5,8
PI407984,1,8
PI407987,5,8
PI407989,5,8
PI407990,5,8
PI407993,5,8
PI407994,1,8
PI407995,1,8
PI407997,1,8
PI408000,1,8
PI408001,1,8
PI408002,1,8
PI408007,1,8
PI408009,1,8
PI408011,1,8
PI408012,5,8
PI408022,1,8
PI408023,5,8
PI408024,5,8
PI408027,1,8
PI408030,1,8
PI408031,1,8
PI408034,1,8
PI408035,1,8
PI408037,1,8
PI408038,1,8
PI408041,1,8
PI408042,5,8
PI408043,1,8
PI408044,5,8
PI408045,5,8
PI408046,1,8
PI408047,5,8
PI408049,5,8
PI408051,1,8
PI408053,1,8
