acid,SDS.493025
PI567400,5
PI567625,5
PI567334,5
PI567670,5
PI567727B,5
PI567568B,5
PI567385,5
PI567408,5
PI567338,5
PI567517,5
PI567377A,5
PI567404E,5
PI567695,5
PI567326A,5
PI567634,5
PI567488B,5
PI567650C,5
PI567699,5
PI567373B,5
PI567660B,5
PI567328,5
PI567720A,5
PI567730,5
PI567744B,5
PI567325B,5
PI567382A,5
PI567312,5
PI567377B,5
PI567379C,5
PI567409B,5
PI567298,5
PI567303B,5
PI567333B,5
PI567347,5
PI567355A,5
PI567415B,5
PI567370B,5
PI567396C,5
PI567404C,5
PI567406B,5
PI567445C,5
PI567447D,5
PI567290B,5
PI567299B,5
PI567336C,5
PI567350A,5
PI567308,5
PI567459,5
PI567466B,5
PI567380,5
PI567382C,5
PI567384,5
PI567412,5
PI567417B,5
PI567629A,5
PI567629B,5
PI567667C,5
PI567619,5
PI567299A,5
PI567316B,5
PI567321B,5
PI567343,5
PI567355B,5
PI567322,5
PI567375C,5
PI567375D,5
PI567376B,5
PI567379B,5
PI567381B,5
PI567394B,5
PI567394C,5
PI567396D,5
PI567404B,5
PI567407,5
PI567413,5
PI567613,5
PI567507E,5
PI567346,5
PI567332,5
PI567352C,5
PI567386,5
PI567349B,5
PI567295,5
PI567345,5
PI567350B,5
PI567383,5
PI567403A,5
PI567403B,5
PI567404D,5
PI567404F,5
PI567410B,5
PI567410C,5
PI567650D,5
PI567682A,5
PI567682B,5
PI567736,5
PI567742B,5
PI567744C,5
PI567751C,5
PI567755C,5
PI567763,5
PI567764,5
PI567766,5
PI567779C,5
PI567310B,5
PI567683B,5
PI525454,5
