acid,Fe32perc,
PI398606,0.072,8
PI398611,0.016,8
PI398635,0.107,8
PI398646,0.129,8
PI398648,0.008,8
PI398718,0.082,8
PI398719,0.015,8
PI398721,0.008,8
PI398724,0.008,8
PI398729,0.012,8
PI398731,0.018,8
PI398732,0.104,8
PI398734,0.118,8
PI398736,0.093,8
PI398742,0.015,8
PI398769,0.095,8
PI398771,0.101,8
PI398781,0.016,8
PI398789,0.079,8
PI398794,0.016,8
PI398817,0.086,8
PI398824,0.098,8
PI398826,0.104,8
PI398827,0.093,8
PI398850,0.011,8
PI398853,0.016,8
PI398896,0.114,8
PI398925,0.007,8
PI398945,0.008,8
PI398950,0.017,8
PI398952,0.009,8
PI398956,0.093,8
PI398966,0.013,8
PI398967,0.103,8
PI398973,0.112,8
PI398978,0.088,8
PI398983,0.1,8
PI398998,0.003,8
PI398999,0.106,8
PI399041,0.106,8
PI399047,0.019,8
PI399048,0.026,8
PI399049,0.114,8
PI399053,0.107,8
PI399061,0.102,8
PI399087,0.104,8
PI399088,0.099,8
PI399090,0.01,8
PI399102,0.114,8
PI399104,0.127,8
PI407738,0.008,8
PI407743,0.007,8
PI407744,0.099,8
PI407771,0.093,8
PI407801,0.02,8
PI407945,0.093,8
PI407964,0.012,8
PI407967,0.003,8
PI407969,0.003,8
PI407997,0.013,8
PI408007,0,8
PI408030,0.107,8
PI408043,0.006,8
PI408044,0.01,8
PI408051,0.009,8
PI408061,0.096,8
PI408085,0.014,8
PI408101,0.113,8
PI408240,0.068,8
PI408241,0.098,8
PI408253,0.019,8
PI408254,0.021,8
PI408257,0.02,8
PI408266,0.088,8
PI408340,0.009,8
PI408342,0.013,8
PI416754,0.086,8
PI416760,0.102,8
PI416766,0.08,8
PI416767,0.091,8
PI416770,0.088,8
PI416775,0.08,8
PI416781,0.026,8
PI416787,0.026,8
PI416790,0.019,8
PI416794,0.098,8
PI416796,0.015,8
PI416798,0.009,8
PI416809,0.087,8
PI416812,0.103,8
PI416813,0.09,8
PI416824,0.089,8
PI416848,0.013,8
PI416867,0.013,8
PI416876,0.014,8
PI416883,0.106,8
PI416885,0.113,8
PI416893,0.004,8
PI416895,0.103,8
PI416903,0.117,8
PI416907,0.013,8
PI416912,0.018,8
PI416922,0.104,8
PI416924,0.069,8
PI416925,0.112,8
PI416928,0.008,8
PI416932,0.099,8
PI416933,0.095,8
PI416937,0.1,8
PI416947,0.012,8
PI416948,0.011,8
PI416951,0.013,8
PI416955,0.073,8
PI416969,0.111,8
PI416980,0.094,8
PI417011,0.094,8
PI417038,0.004,8
PI417047,0.022,8
PI417063,0.003,8
PI417083,0.084,8
PI417097,0.008,8
PI417112,0.004,8
PI417113,0.129,8
PI417115,0.024,8
PI417116,0.1,8
PI417122,0.075,8
PI417127,0.007,8
PI417128,0.012,8
PI417132,0.01,8
PI417133,0.015,8
PI417153,0.105,8
PI417164,0.099,8
PI417181,0.016,8
PI417188,0.069,8
PI417194,0.093,8
PI417197,0.104,8
PI417203,0.081,8
PI417204,0.013,8
PI417206,0.022,8
PI417212,0.111,8
PI417216,0.021,8
PI417220,0.017,8
PI417221,0.026,8
PI417222,0.099,8
PI417223,0.112,8
PI417224,0.102,8
PI417256,0.128,8
PI417266,0.093,8
PI417267,0.089,8
PI417270,0.114,8
PI417289,0.009,8
PI417310,0.109,8
PI417311,0.101,8
PI417318,0.073,8
PI417319,0.003,8
PI417320,0.089,8
PI417330,0.026,8
PI417357,0.021,8
PI417358,0.018,8
PI417375,0.082,8
PI417376,0.082,8
PI417378,0.016,8
PI417405,0,8
PI417406,0.011,8
PI417407,0.118,8
PI417408,0.084,8
PI417409,0.016,8
PI417410,0.005,8
PI417416,0.016,8
PI417421,0.109,8
PI417422,0.094,8
PI417427,0.121,8
PI417439,0.015,8
PI417442,0.098,8
PI417443,0.108,8
PI417444,0.032,8
PI417469,0.095,8
PI417473,0.092,8
PI417477,0.095,8
PI417490,0.005,8
PI417496,0.077,8
PI417497,0.1,8
PI417503,0.027,8
PI417561,0.016,8
PI417562,0.097,8
PI417563,0.107,8
PI423755,0.083,8
PI423780,0.091,8
PI423821,0.086,8
PI423822,0.03,8
PI423831,0.082,8
PI423849,0.015,8
PI423852,0.104,8
PI423853,0.026,8
PI423859,0.006,8
PI423861,0.088,8
PI423878,0.013,8
PI423879,0.086,8
PI423895,0.099,8
PI423898,0.018,8
PI423900,0.004,8
PI423905,0.097,8
PI423906,0.088,8
PI423907,0.021,8
PI423911,0.013,8
PI423918,0.105,8
PI423920,0.097,8
PI423921,0.014,8
PI423923,0.004,8
PI423925,0.114,8
PI423931,0.089,8
PI423964,0.009,8
PI423965,0.083,8
PI423969,0.103,8
PI423978,0.014,8
PI423986,0.106,8
PI424131,0.008,8
PI424139,0.014,8
PI424142,0.095,8
PI424145,0.093,8
PI424146,0.009,8
PI424147,0.02,8
PI424161,0.017,8
PI424163,0.104,8
PI424174,0.018,8
PI424185,0.01,8
PI424304,0.082,8
PI424360,0.033,8
PI424361,0.091,8
PI424371,0.02,8
PI424375,0.016,8
PI424391,0.099,8
PI424416,0.013,8
PI424433,0.085,8
PI424434,0.101,8
PI424437,0,8
PI424438,0.022,8
PI424442,0.092,8
PI424447,0.087,8
PI424453,0.025,8
PI424456,0.082,8
PI424461,0.094,8
PI424464,0.018,8
PI424473,0.016,8
PI424475,0.018,8
PI424478,0.007,8
PI424501,0.012,8
PI424502,0,8
PI424534,0.092,8
PI424591,0.159,8
PI424594,0.114,8
PI424595,0.111,8
PI427241,0.116,8
PI429329,0.013,8
PI430736,0.016,8
PI430737,0.099,8
PI436567,0.033,8
PI437667,0.119,8
PI437708,0.096,8
PI437726,0.044,8
PI437730,0.095,8
PI438280,0.095,8
PI438284,0.004,8
PI438342,0.076,8
PI438347,0.106,8
PI438426,0.088,8
PI438430,0.011,8
PI438431,0.086,8
PI438438,0.13,8
PI438439,0.099,8
PI441358,0.109,8
PI442014,0.023,8
PI442020,0.02,8
PI445683,0.096,8
PI458122,0.094,8
PI458155,0.032,8
PI458187,0.012,8
PI458198,0.055,8
PI458206,0.093,8
PI458210,0.005,8
PI458211,0.096,8
PI458212,0.141,8
PI458213,0.003,8
PI458218,0.092,8
PI458220,0.098,8
PI458228,0.007,8
PI458241,0.005,8
PI458242,0.132,8
PI458243,0.005,8
PI458251,0.091,8
PI458257,0.005,8
PI458261,0.018,8
PI464932,0.105,8
PI468130,0.093,8
PI468131,0.087,8
PI468964,0.014,8
PI468966,0.123,8
PI468970,0.023,8
PI468971,0.107,8
PI468972,0.098,8
PI468973,0.093,8
PI471901,0.104,8
PI471903,0.044,8
PI471925,0.014,8
PI471926,0.022,8
PI471927,0.112,8
PI471928,0.121,8
PI471930,0.009,8
PI471940,0.02,8
PI476878,0.107,8
PI476882,0.11,8
PI476885,0.091,8
PI476897,0.123,8
PI476900,0.107,8
PI476904,0.081,8
PI476907,0.026,8
PI476916,0.008,8
PI476918,0,8
PI476923,0.1,8
PI476925,0.089,8
PI476926,0.051,8
PI476927,0.113,8
PI476928,0.098,8
PI476930,0.082,8
PI476934,0.128,8
PI481679,0.012,8
PI481686,0,8
PI481690,0.026,8
PI486335,0.102,8
PI494181,0.096,8
PI494851,0.091,8
PI497962,0.096,8
PI497966,0.124,8
PI497967,0.11,8
PI499955,0.026,8
PI504507,0.016,8
PI506471,0.068,8
PI506473,0.026,8
PI506475,0.029,8
PI506483,0.098,8
PI506484,0.017,8
PI506486,0.105,8
PI506490,0.061,8
PI506493,0.086,8
PI506494,0.111,8
PI506495,0.03,8
PI506496,0.024,8
PI506497,0.108,8
PI506499,0.111,8
PI506500,0.024,8
PI506501,0.098,8
PI506502,0.1,8
PI506503,0.004,8
PI506504,0.113,8
PI506505,0.119,8
PI506509,0.112,8
PI506510,0.109,8
PI506512,0.018,8
PI506513,0,8
PI506514,0.103,8
PI506530,0.126,8
PI506531,0.097,8
PI506532,0.019,8
PI506533,0.103,8
PI506534,0.017,8
PI506536,0.037,8
PI506537,0.017,8
